votes,seatsR,seatsD
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,2,2
27,4,4
28,6,6
29,8,8
30,10,10
31,12,12
32,14,14
33,16,16
34,18,18
35,20,20
36,22,22
37,24,24
38,26,26
39,28,28
40,30,30
41,32,32
42,34,34
43,36,36
44,38,38
45,40,40
46,42,42
47,44,44
48,46,46
49,48,48
50,50,50
51,52,52
52,54,54
53,56,56
54,58,58
55,60,60
56,62,62
57,64,64
58,66,66
59,68,68
60,70,70
61,72,72
62,74,74
63,76,76
64,78,78
65,80,80
66,82,82
67,84,84
68,86,86
69,88,88
70,90,90
71,92,92
72,94,94
73,96,96
74,98,98
75,100,100
76,100,100
77,100,100
78,100,100
79,100,100
80,100,100
81,100,100
82,100,100
83,100,100
84,100,100
85,100,100
86,100,100
87,100,100
88,100,100
89,100,100
90,100,100
91,100,100
92,100,100
93,100,100
94,100,100
95,100,100
96,100,100
97,100,100
98,100,100
99,100,100
