votes,seatsR,seatsD
0,0.0,0.0
1,2.9404,2.9404
2,5.7632,5.7632
3,8.4708,8.4708
4,11.0656,11.0656
5,13.55,13.55
6,15.9264,15.9264
7,18.1972,18.1972
8,20.3648,20.3648
9,22.4316,22.4316
10,24.4,24.4
11,26.2724,26.2724
12,28.0512,28.0512
13,29.7388,29.7388
14,31.3376,31.3376
15,32.85,32.85
16,34.2784,34.2784
17,35.6252,35.6252
18,36.8928,36.8928
19,38.0836,38.0836
20,39.2,39.2
21,40.2444,40.2444
22,41.2192,41.2192
23,42.1268,42.1268
24,42.9696,42.9696
25,43.75,43.75
26,44.4704,44.4704
27,45.1332,45.1332
28,45.7408,45.7408
29,46.2956,46.2956
30,46.8,46.8
31,47.2564,47.2564
32,47.6672,47.6672
33,48.0348,48.0348
34,48.3616,48.3616
35,48.65,48.65
36,48.9024,48.9024
37,49.1212,49.1212
38,49.3088,49.3088
39,49.4676,49.4676
40,49.6,49.6
41,49.7084,49.7084
42,49.7952,49.7952
43,49.8628,49.8628
44,49.9136,49.9136
45,49.95,49.95
46,49.9744,49.9744
47,49.9892,49.9892
48,49.9968,49.9968
49,49.9996,49.9996
50,50.0,50.0
51,50.0004,50.0004
52,50.0032,50.0032
53,50.0108,50.0108
54,50.0256,50.0256
55,50.05,50.05
56,50.0864,50.0864
57,50.1372,50.1372
58,50.2048,50.2048
59,50.2916,50.2916
60,50.4,50.4
61,50.5324,50.5324
62,50.6912,50.6912
63,50.8788,50.8788
64,51.0976,51.0976
65,51.35,51.35
66,51.6384,51.6384
67,51.9652,51.9652
68,52.3328,52.3328
69,52.7436,52.7436
70,53.2,53.2
71,53.7044,53.7044
72,54.2592,54.2592
73,54.8668,54.8668
74,55.5296,55.5296
75,56.25,56.25
76,57.0304,57.0304
77,57.8732,57.8732
78,58.7808,58.7808
79,59.7556,59.7556
80,60.8,60.8
81,61.9164,61.9164
82,63.1072,63.1072
83,64.3748,64.3748
84,65.7216,65.7216
85,67.15,67.15
86,68.6624,68.6624
87,70.2612,70.2612
88,71.9488,71.9488
89,73.7276,73.7276
90,75.6,75.6
91,77.5684,77.5684
92,79.6352,79.6352
93,81.8028,81.8028
94,84.0736,84.0736
95,86.45,86.45
96,88.9344,88.9344
97,91.5292,91.5292
98,94.2368,94.2368
99,97.0596,97.0596
100,100.0,100.0
