votes,seatsR,seatsD
0,0.0354861747411,-0.0864885552355
1,0.512578096816,0.08018090592
2,1.0058456737,0.249248570982
3,1.51642437695,0.420784464181
4,2.04557359964,0.594861722156
5,2.59469537179,0.77155678119
6,3.16535674817,0.950949578726
7,3.75931676844,1.13312377052
8,4.37855915823,1.3181669649
9,5.02533230364,1.50617097572
10,5.70219853112,1.69723209596
11,6.41209541979,1.89145139389
12,7.15841285313,2.08893503411
13,7.94509092261,2.28979462608
14,8.77674584398,2.49414760294
15,9.65883409141,2.70211763386
16,10.597869574,2.91383507352
17,11.6017158541,3.12943745287
18,12.6799868489,3.34907001576
19,13.8446082456,3.57288630667
20,15.1106237808,3.80104881549
21,16.4973868969,4.03372968622
22,18.0303823998,4.2711114972
23,19.7441255686,4.51338812183
24,21.6870073312,4.76076567991
25,23.9298997227,5.01346359125
26,26.5826783741,5.2717157452
27,29.8294170457,5.53577180146
28,34.0151911999,5.8058986406
29,39.9147085229,6.08238198517
30,50.0,6.36552821622
31,58.1444793716,6.65566641416
32,62.9086943919,6.95315065798
33,66.2889587432,7.25836262321
34,68.9108954711,7.57171452643
35,71.0531737634,7.89365247314
36,72.8644442514,8.2246602775
37,74.4334381147,8.56526383576
38,75.8173887837,8.91603615277
39,77.0553748427,9.2776031421
40,78.1752694554,9.6506503473
41,79.197653135,10.0359307655
42,80.1381549502,10.4342739977
43,81.008923623,10.8465970054
44,81.819589863,11.2739168244
45,82.5779174863,11.7173656782
46,83.2902567927,12.1782090578
47,83.9618681553,12.6578674934
48,84.5971580052,13.1579429628
49,85.1998542143,13.680251173
50,85.7731386433,14.2268613567
51,86.319748827,14.8001457857
52,86.8420570372,15.4028419948
53,87.3421325066,16.0381318447
54,87.8217909422,16.7097432073
55,88.2826343218,17.4220825137
56,88.7260831756,18.180410137
57,89.1534029946,18.991076377
58,89.5657260023,19.8618450498
59,89.9640692345,20.802346865
60,90.3493496527,21.8247305446
61,90.7223968579,22.9446251573
62,91.0839638472,24.1826112163
63,91.4347361642,25.5665618853
64,91.7753397225,27.1355557486
65,92.1063475269,28.9468262366
66,92.4282854736,31.0891045289
67,92.7416373768,33.7110412568
68,93.046849342,37.0913056081
69,93.3443335858,41.8555206284
70,93.6344717838,50.0
71,93.9176180148,60.0852914771
72,94.1941013594,65.9848088001
73,94.4642281985,70.1705829543
74,94.7282842548,73.4173216259
75,94.9865364087,76.0701002773
76,95.2392343201,78.3129926688
77,95.4866118782,80.2558744314
78,95.7288885028,81.9696176002
79,95.9662703138,83.5026131031
80,96.1989511845,84.8893762192
81,96.4271136933,86.1553917544
82,96.6509299842,87.3200131511
83,96.8705625471,88.3982841459
84,97.0861649265,89.402130426
85,97.2978823661,90.3411659086
86,97.5058523971,91.223254156
87,97.7102053739,92.0549090774
88,97.9110649659,92.8415871469
89,98.1085486061,93.5879045802
90,98.302767904,94.2978014689
91,98.4938290243,94.9746676964
92,98.6818330351,95.6214408418
93,98.8668762295,96.2406832316
94,99.0490504213,96.8346432518
95,99.2284432188,97.4053046282
96,99.4051382778,97.9544264004
97,99.5792155358,98.483575623
98,99.750751429,98.9941543263
99,99.9198190941,99.4874219032
100,100,100
