votes,seatsR,seatsD
0,0,0
1.0,0.0,0.0
2.0,0.0,0.0
3.0,0.0,0.0
4.0,0.0,0.0
5.0,0.0,0.0
6.0,0.0,0.0
7.0,0.0,0.0
8.0,0.0,0.0
9.0,0.0,0.0
10.0,0.0,0.0
11.0,0.0,0.0
12.0,0.0,0.0
13.0,0.0,0.0
14.0,0.0,0.0
15.0,0.0,0.0
16.0,0.0,0.0
17.0,0.0,0.0
18.0,0.0,0.0
19.0,0.0,0.0
20.0,0.0,0.0
21.0,0.0,0.0
22.0,0.0,0.0
23.0,0.0,0.0
24.0,0.0,0.0
25.0,0.0,0.0
26.0,0.0,0.0
27.0,0.0,0.0
28.0,0.0,0.0
29.0,0.0,0.0
30.0,3.52,3.52
31.0,6.36,6.28
32.0,9.96,9.92
33.0,13.04,13.32
34.0,16.54,16.46
35.0,23.16,20.0
36.0,27.06,20.0
37.0,29.26,20.0
38.0,33.12,20.0
39.0,36.42,20.0
40.0,40.0,23.24
41.0,40.0,26.36
42.0,40.0,29.76
43.0,40.0,33.42
44.0,40.0,36.94
45.0,40.0,43.28
46.0,40.0,46.94
47.0,40.0,50.32
48.0,40.0,53.38
49.0,40.0,56.58
51.0,40.0,60.0
52.0,43.24,60.0
53.0,45.94,60.0
54.0,49.8,60.0
55.0,53.56,60.0
56.0,56.24,60.0
57.0,63.32,60.0
58.0,66.92,60.0
59.0,70.32,60.0
60.0,73.28,60.0
61.0,76.88,60.0
62.0,80.0,63.3
63.0,80.0,67.44
64.0,80.0,69.8
65.0,80.0,73.08
66.0,80.0,80.06
67.0,83.46,86.96
68.0,86.84,90.04
69.0,89.96,90.4
70.0,93.24,93.14
71.0,97.04,96.46
72.0,100.0,100.0
73.0,100.0,100.0
74.0,100.0,100.0
75.0,100.0,100.0
76.0,100.0,100.0
77.0,100.0,100.0
78.0,100.0,100.0
79.0,100.0,100.0
80.0,100.0,100.0
81.0,100.0,100.0
82.0,100.0,100.0
83.0,100.0,100.0
84.0,100.0,100.0
85.0,100.0,100.0
86.0,100.0,100.0
87.0,100.0,100.0
88.0,100.0,100.0
89.0,100.0,100.0
90.0,100.0,100.0
91.0,100.0,100.0
92.0,100.0,100.0
93.0,100.0,100.0
94.0,100.0,100.0
95.0,100.0,100.0
96.0,100.0,100.0
97.0,100.0,100.0
98.0,100.0,100.0
99.0,100.0,100.0
100,100,100
