votes,seatsR,seatsD
0,0,0
1,0,3
2,0,4
3,1,5
4,2,6
5,3,7
6,4,8
7,5,9
8,6,10
9,7,11
10,8,12
11,9,13
12,10,14
13,11,15
14,12,16
15,13,17
16,14,18
17,15,19
18,16,20
19,17,21
20,18,22
21,19,23
22,20,24
23,21,25
24,22,26
25,23,27
26,24,28
27,25,29
28,26,30
29,27,31
30,28,32
31,29,33
32,30,34
33,31,35
34,32,36
35,33,37
36,34,38
37,35,39
38,36,40
39,37,41
40,38,42
41,39,43
42,40,44
43,41,45
44,42,46
45,43,47
46,44,48
47,45,49
48,46,50
49,47,51
50,48,52
51,49,53
52,50,54
53,51,55
54,52,56
55,53,57
56,54,58
57,55,59
58,56,60
59,57,61
60,58,62
61,59,63
62,60,64
63,61,65
64,62,66
65,63,67
66,64,68
67,65,69
68,66,70
69,67,71
70,68,72
71,69,73
72,70,74
73,71,75
74,72,76
75,73,77
76,74,78
77,75,79
78,76,80
79,77,81
80,78,82
81,79,83
82,80,84
83,81,85
84,82,86
85,83,87
86,84,88
87,85,89
88,86,90
89,87,91
90,88,92
91,89,93
92,90,94
93,91,95
94,92,96
95,93,97
96,94,98
97,95,99
98,96,100
99,97,100
100,100,100
