votes,seatsR,seatsD
0,0,0
1,0,0
2,0.184700184184,0.184700184184
3,0.448627060379,0.448627060379
4,0.718110698111,0.718110698111
5,0.99339012494,0.99339012494
6,1.27472013094,1.27472013094
7,1.56237268585,1.56237268585
8,1.85663851912,1.85663851912
9,2.15782888597,2.15782888597
10,2.46627754618,2.46627754618
11,2.78234298734,2.78234298734
12,3.10641092954,3.10641092954
13,3.4388971555,3.4388971555
14,3.78025071815,3.78025071815
15,4.13095758776,4.13095758776
16,4.49154481294,4.49154481294
17,4.86258528491,4.86258528491
18,5.24470321323,5.24470321323
19,5.63858044416,5.63858044416
20,6.04496378259,6.04496378259
21,6.46467351472,6.46467351472
22,6.89861337617,6.89861337617
23,7.34778226976,7.34778226976
24,7.81328811514,7.81328811514
25,8.29636431333,8.29636431333
26,8.79838944169,8.79838944169
27,9.32091097155,9.32091097155
28,9.86567403611,9.86567403611
29,10.434656597,10.434656597
30,11.0301127971,11.0301127971
31,11.6546268985,11.6546268985
32,12.3111810667,12.3111810667
33,13.0032414989,13.0032414989
34,13.7348691961,13.7348691961
35,14.5108643553,14.5108643553
36,15.3369574259,15.3369574259
37,16.2200661809,16.2200661809
38,17.1686482245,17.1686482245
39,18.1931948827,18.1931948827
40,19.3069405082,19.3069405082
41,20.5269108097,20.5269108097
42,21.8755254101,21.8755254101
43,23.3831482665,23.3831482665
44,25.0923500921,25.0923500921
45,27.0654787939,27.0654787939
46,29.3991947208,29.3991947208
47,32.2554321777,32.2554321777
48,35.937762705,35.937762705
49,41.1277160888,41.1277160888
50,50,50
51,58.8722839112,58.8722839112
52,64.062237295,64.062237295
53,67.7445678223,67.7445678223
54,70.6008052792,70.6008052792
55,72.9345212061,72.9345212061
56,74.9076499079,74.9076499079
57,76.6168517335,76.6168517335
58,78.1244745899,78.1244745899
59,79.4730891903,79.4730891903
60,80.6930594918,80.6930594918
61,81.8068051173,81.8068051173
62,82.8313517755,82.8313517755
63,83.7799338191,83.7799338191
64,84.6630425741,84.6630425741
65,85.4891356447,85.4891356447
66,86.2651308039,86.2651308039
67,86.9967585011,86.9967585011
68,87.6888189333,87.6888189333
69,88.3453731015,88.3453731015
70,88.9698872029,88.9698872029
71,89.565343403,89.565343403
72,90.1343259639,90.1343259639
73,90.6790890285,90.6790890285
74,91.2016105583,91.2016105583
75,91.7036356867,91.7036356867
76,92.1867118849,92.1867118849
77,92.6522177302,92.6522177302
78,93.1013866238,93.1013866238
79,93.5353264853,93.5353264853
80,93.9550362174,93.9550362174
81,94.3614195558,94.3614195558
82,94.7552967868,94.7552967868
83,95.1374147151,95.1374147151
84,95.5084551871,95.5084551871
85,95.8690424122,95.8690424122
86,96.2197492818,96.2197492818
87,96.5611028445,96.5611028445
88,96.8935890705,96.8935890705
89,97.2176570127,97.2176570127
90,97.5337224538,97.5337224538
91,97.842171114,97.842171114
92,98.1433614809,98.1433614809
93,98.4376273142,98.4376273142
94,98.7252798691,98.7252798691
95,99.0066098751,99.0066098751
96,99.2818893019,99.2818893019
97,99.5513729396,99.5513729396
98,99.8152998158,99.8152998158
99,100,100
100,100,100
