STATE ABBREVIATION,DISTRICT,INCUMBENT INDICATOR,NAME,PARTY,PRIMARY RESULTS,RUNOFF RESULTS,GENERAL ,COMBINED PARTIES
AL,1,,"Coffee, Dick",LBT,,,"14,031",
AL,1,(I),"Callahan, H. L. ""Sonny""",R,Unopposed,,"151,188",
AL,1,,Scattered,W,,,450,
AL,2,,"Woods, Charles",D,Unopposed,,"64,958",
AL,2,,"McGahan, Wallace B.",LBT,,,"4,111",
AL,2,(I),"Everett, Terry",R,Unopposed,,"151,830",
AL,2,,Scattered,W,,,"1,737",
AL,3,,"Sophocleus, John",LBT,,,"21,119",
AL,3,(I),"Riley, Bob",R,Unopposed,,"147,317",
AL,3,,Scattered,W,,,"1,083",
AL,4,,"Folsom, Marsha",D,Unopposed,,"86,400",
AL,4,,"Goodrich, Craig",LBT,,,"3,519",
AL,4,(I),"Aderholt, Robert",R,Unopposed,,"140,009",
AL,4,,Scattered,W,,,"1,178",
AL,5,(I),"Cramer, Bud",D,Unopposed,,"186,059",
AL,5,,"Barksdale, Alan",LBT,,,"22,110",
AL,5,,Scattered,W,,,"1,345",
AL,6,,"Reagin, Terry",LBT,,,"28,189",
AL,6,(I),"Bachus, Spencer",R,Unopposed,,"212,751",
AL,6,,Scattered,W,,,977,
AL,7,,"Davis, Artur",D,"30,973",,,
AL,7,(I),"Hilliard, Earl F.",D,"36,249",,"148,243",
AL,7,,"Sowell, Wayne",D,"5,155",,,
AL,7,,"Hager, Ken",LBT,,,"3,829",
AL,7,,"Bethune, Milton",R,"1,923",,,
AL,7,,"Martin, Ed",R,"3,018",,"46,134",
AL,7,,Scattered,W,,,427,
AK,0,,"Dore, Jim",AKI,"5,725",,"10,085",
AK,0,,"Greene, Clifford Mark",D,"11,688",,"45,372",
AK,0,,"Miles, Dae",D,"5,430",,,
AK,0,,"Vondersaar, Frank",D,"4,095",,,
AK,0,,"Young, Anna C.",GRN,"7,198",,"22,440",
AK,0,,"Karpinski, Leonard J. ""Len""",LBT,"1,862",,"4,802",
AK,0,(I),"Young, Don E.",R,"33,792",,"190,862",
AK,0,,Scattered,W,,,832,
AZ,1,,"Mendoza, David",D,"15,573",,"97,455",
AZ,1,,"Burroughs, Jon",LBT,313,,"9,227",
AZ,1,,"DiCiccio, Sal",R,"12,490",,,
AZ,1,,"Flake, Jeff",R,"16,745",,"123,289",
AZ,1,,"Liddy, Tom",R,"10,898",,,
AZ,1,,"Smith, Susan Bitter",R,"11,763",,,
AZ,1,,"Tollefson, Bert",R,764,,,
AZ,2,(I),"Pastor, Ed",D,"26,354",,"84,034",
AZ,2,,"Weber, Geoffrey",LBT,171,,"3,169",
AZ,2,,"Shelor, Barbara",NL,12,,"2,412",
AZ,2,,"Barenholtz, Bill",R,"10,730",,"32,990",
AZ,3,,"Scharer, Gene",D,"20,471",,"94,676",
AZ,3,,"Carlson, Edward R.",LBT,290,,"8,927",
AZ,3,,"Hensley, Dick",R,"12,427",,,
AZ,3,(I),"Stump, Bob",R,"60,143",,"198,367",
AZ,4,,"Jankowski, Ben",D,"11,413",,"71,803",
AZ,4,,"Gaudreau, Edward",LBT,68,,,
AZ,4,,"Hancock, Ernest",LBT,152,,"7,298",
AZ,4,(I),"Shadegg, John",R,"35,985",,"140,396",
AZ,5,,"Cunningham, George",D,"23,388",,"101,564",
AZ,5,,"Ryan, Mary Judge",D,"21,201",,,
AZ,5,,"Green, Michael Jay",GRN,235,,"9,010",
AZ,5,,"Nost, Aage",LBT,331,,"4,049",
AZ,5,(I),"Kolbe, Jim",R,"35,263",,"172,986",
AZ,5,,"Sweeney, Joseph",R,"9,477",,,
AZ,6,,"Harris, Kevin B.",D,"18,231",,,
AZ,6,,"Nelson, Larry",D,"24,257",,"108,317",
AZ,6,(I),"Hayworth, J.D.",R,"46,743",,"186,687",
AZ,6,,"Duncan, Richard",W/LBT,26,,"9,000",
AR,1,(I),"Berry,  Marion",D,Unopposed,,"120,266",
AR,1,,"Myshka,  Susan",R,"3,250",,"79,437",
AR,1,,"Sutfin,  Jason",R,"1,820",,,
AR,1,,"Moody, George",W,,,253,
AR,2,(I),"Snyder,  Vic",D,Unopposed,,"126,957",
AR,2,,"Martin,  Rod",R,"4,427",,,
AR,2,,"Thomas,  Bob",R,"6,330",,"93,692",
AR,3,(I),"Hutchinson,  Asa",R,Unopposed,,Unopposed,
AR,4,,"Graham,  Dewayne",D,"20,575","20,392",,
AR,4,,"Harris,  Bruce Carleton",D,"10,539",,,
AR,4,,"Ross,  Mike",D,"41,668","28,286","108,143",
AR,4,,"Smith,  Judy",D,"20,341",,,
AR,4,(I),"Dickey,  Jay",R,Unopposed,,"104,017",
AS,0,(I),"Faleomavaega, Eni F.H.",D,"5,491",,"5,500",
AS,0,,"Hannemann, Gus",I,"3,648",,"3,505",
AS,0,,"Pene, Seigafolava R.",I,256,,,
AS,0,,"Coleman, Aumua Amata",R,"2,510",,,
CA,1,(I),"Thompson, Mike ",D,"112,185",,"155,638",
CA,1,,"Rossi, Emil P. ",LBT,"4,394",,"6,376",
CA,1,,"Kreier, Cheryl ",NL,"4,375",,"7,173",
CA,1,,"Chase, Russel J. ""Jim"" ",R,"21,456",,"66,987",
CA,1,,"Hitt, Kenneth A. ",R,"14,489",,,
CA,1,,"Wiesner, Lawrence R. ",R,"14,351",,,
CA,1,,"Elizondo, Pamela ",REF,"2,327",,"3,161",
CA,2,,"Morgan, Stan ",D,"48,858",,"72,075",
CA,2,,"Martin, Charles R. ",LBT,"4,634",,"6,699",
CA,2,,"McDermott, John ",NL,"11,647",,"8,910",
CA,2,(I),"Herger, Wally ",R,"120,375",,"168,172",
CA,3,,"Kent, Bob ",D,"58,250",,"93,067",
