FEC ID,STATE,DISTRICT,FIRST NAME,LAST NAME,"LAST NAME,  FIRST",TOTAL VOTES,PARTY,PRIMARY RESULTS,PRIMARY %,RUNOFF RESULTS,RUNOFF %,GENERAL RESULTS,GENERAL %,GENERAL RUNOFF RESULTS,GENERAL RUNOFF %,INCUMBENT INDICATOR,NOTES (See Endnotes Page)
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,AL,,,,,,,,,,,,,,,,
S6AL00195,AL,S,Jeff,Sessions,"Sessions, Jeff",,R,Unopposed,,,,"792,561",58.58%,,,(I),
S2AL00079,AL,S,Susan,Parker,"Parker, Susan",,D,"190,978",47.99%,"176,582",65.11%,"538,878",39.83%,,,,
S2AL00061,AL,S,Julian,McPhillips,"McPhillips, Julian",,D,"170,222",42.78%,"94,614",34.89%,,,,,,
S2AL00087,AL,S,Wayne,Sowell,"Sowell, Wayne",,D,"36,719",9.23%,,,,,,,,
,AL,S,, , ,Total Party Votes:,D,"397,919", ,"271,196",,,,,,,
S2AL00103,AL,S,Jeff ,Allen,"Allen, Jeff ",,LBT,,,,,"20,234",1.50%,,,,
,AL,S,,Scattered,Scattered ,,W,,,,,"1,350",0.10%,,,,
,AL,S,,, ,Total State Votes:,,"397,919",,"271,196",,"1,353,023",,,,,
H2AL01077,AL,01,Jo,Bonner,"Bonner, Jo",,R,"29,857",40.26%,"32,421",62.44%,"108,102",60.50%,,,,
H2AL01051,AL,01,Tom,Young,"Young, Tom",,R,"15,087",20.34%,"19,501",37.56%,,,,,,
H2AL01069,AL,01,David,Whetstone,"Whetstone, David",,R,"10,997",14.83%,,,,,,,,
H2AL00012,AL,01,Albert,Lipscomb,"Lipscomb, Albert",,R,"7,429",10.02%,,,,,,,,
H2AL01085,AL,01,Chris,Pringle,"Pringle, Chris",,R,"6,001",8.09%,,,,,,,,
H2AL01093,AL,01,Rusty,Glover,"Glover, Rusty",,R,"4,374",5.90%,,,,,,,,
H2AL01168,AL,01,Joe J.,Gottler,"Gottler, Joe J.",,R,411,0.55%,,,,,,,,
,AL,01,,, ,Total Party Votes:,R,"74,156",,"51,922",,,,,,,
H2AL01119,AL,01,Judy McCain,Belk,"Belk, Judy McCain",,D,"14,213",36.01%,"13,007",58.43%,"67,507",37.78%,,,,
H2AL01150,AL,01,J. Don,Foster,"Foster, J. Don",,D,"9,766",24.74%,"9,254",41.57%,,,,,,
H2AL01101,AL,01,James O.,Gordon,"Gordon, James O.",,D,"8,128",20.59%,,,,,,,,
H2AL01127,AL,01,Don,Chamberlain,"Chamberlain, Don",,D,"3,774",9.56%, ,,,,,,,
H2AL01135,AL,01,Buzz,Jordan,"Jordan, Buzz",,D,"3,593",9.10%,,,,,,,,
,AL,01,,,   ,Total Party Votes:,D,"39,474",,"22,261",,,,,,,
H0AL01022,AL,01,Dick,Coffee,"Coffee, Dick",,LBT,,,,,"2,957",1.65%,,,,
,AL,01,,Scattered,Scattered ,,W,,,,,121,0.07%,,,,
,AL,01,,,   ,Total District Votes:,,"113,630",,"74,183",,"178,687",,,,,
