#,STATE,STATE ABBREVIATION,DISTRICT,FEC ID,INCUMBENT INDICATOR,FIRST NAME,LAST NAME,"LAST NAME, FIRST",TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL ,GENERAL %,GE RUNOFF,GE RUNOFF %,Notes (See Endnotes Tab)
1,Alabama,AL,1,H2AL01077,(I),Jo,Bonner,"Bonner, Jo",,R,Unopposed,,,,"161,067",63.12%,,,
2,Alabama,AL,1,H2AL01119,,Judy,Belk,"Belk, Judy",,D,Unopposed,,,,"93,938",36.81%,,,
3,Alabama,AL,1,,,,Scattered,Scattered,,W,,,,,159,0.06%,,,
4,Alabama,AL,1,,,,,,District Votes:,,,,,,"255,164",,,,
5,Alabama,AL,2,H2AL02067,(I),Terry,Everett,"Everett, Terry",,R,Unopposed,,,,"177,086",71.42%,,,
6,Alabama,AL,2,H4AL02063,,Charles D. (Chuck),James,"James, Charles D. (Chuck)",,D,Unopposed,,,,"70,562",28.46%,,,
7,Alabama,AL,2,,,,Scattered,Scattered,,W,,,,,299,0.12%,,,
8,Alabama,AL,2,,,,,,District Votes:,,,,,,"247,947",,,,
9,Alabama,AL,3,H2AL03032,(I),Mike,Rogers,"Rogers, Mike",,R,Unopposed,,,,"150,411",61.20%,,,
10,Alabama,AL,3,H4AL03046 ,,Bill,Fuller,"Fuller, Bill",,D,Unopposed,,,,"95,240",38.75%,,,
11,Alabama,AL,3,,,,Scattered,Scattered,,W,,,,,133,0.05%,,,
12,Alabama,AL,3,,,,,,District Votes:,,,,,,"245,784",,,,
13,Alabama,AL,4,H6AL04098,(I),Robert,Aderholt,"Aderholt, Robert",,R,Unopposed,,,,"191,110",74.73%,,,
14,Alabama,AL,4,H4AL04028,,Carl,Cole,"Cole, Carl",,D,Unopposed,,,,"64,278",25.14%,,,
15,Alabama,AL,4,,,,Scattered,Scattered,,W,,,,,336,0.13%,,,
16,Alabama,AL,4,,,,,,District Votes:,,,,,,"255,724",,,,
17,Alabama,AL,5,H0AL05049,(I),Bud,Cramer,"Cramer, Bud",,D,"37,573",89.53%,,,"200,999",72.97%,,,
18,Alabama,AL,5,H2AL05078,,"Michael People First""""""ichael ""Peopl""""chael""",Williams,"Williams, Michael People First""""""illiams"," Mich""",,D,"4,393",10.47%,,,,,,
19,Alabama,AL,5,,,,,,Party Votes:,D,"41,966",,,,,,,,
20,Alabama,AL,5,H4AL05066,,Gerald (Gerry),Wallace,"Wallace, Gerald (Gerry)",,R,"6,742",45.18%,"2,371",52.68%,"74,145",26.92%,,,
21,Alabama,AL,5,H2AL05060,,Stephen P.,Engel,"Engel, Stephen P.",,R,"6,007",40.25%,"2,130",47.32%,,,,,
22,Alabama,AL,5,H4AL05058,,Nate,Bailie,"Bailie, Nate",,R,"2,175",14.57%,,,,,,,
23,Alabama,AL,5,,,,,,Party Votes:,R,"14,924",,"4,501",,,,,,
24,Alabama,AL,5,,,,Scattered,Scattered,,W,,,,,315,0.11%,,,
25,Alabama,AL,5,,,,,,District Votes:,,"56,890",,"4,501",,"275,459",,,,
26,Alabama,AL,6,H2AL06035,(I),Spencer,Bachus,"Bachus, Spencer",,R,"45,448",86.65%,,,"264,819",98.80%,,,
27,Alabama,AL,6,H4AL06064,,Phillip,Jauregui,"Jauregui, Phillip",,R,"7,000",13.35%,,,,,,,
28,Alabama,AL,6,,,,,,Party Votes:,R,"52,448",,,,,,,,
29,Alabama,AL,6,,,,Scattered,Scattered,,W,,,,,"3,224",1.20%,,,
30,Alabama,AL,6,,,,,,District Votes:,,"52,448",,,,"268,043",,,,
31,Alabama,AL,7,H0AL07060,(I),Artur,Davis,"Davis, Artur",,D,"58,193",87.83%,,,"183,408",74.97%,,,
32,Alabama,AL,7,H4AL07054,,Albert,Turner,"Turner, Albert",,D,"8,061",12.17%,,,,,,,
33,Alabama,AL,7,,,,,,Party Votes:,D,"66,254",,,,,,,,
34,Alabama,AL,7,H4AL07062,,Steve F.,Cameron,"Cameron, Steve F.",,R,Unopposed,,,,"61,019",24.94%,,,
35,Alabama,AL,7,,,,Scattered,Scattered,,W,,,,,211,0.09%,,,
36,Alabama,AL,7,,,,,,District Votes:,,"66,254",,,,"244,638",,,,
37,Alabama,AL,H,,,,,,House Votes:,,"175,592",,"4,501",,"1,792,759",,,,
38,Alabama,AL,S,S6AL00013,(I),Richard,Shelby,"Shelby, Richard",,R,Unopposed,,,,"1,242,200",67.55%,,,
39,Alabama,AL,S,S2AL00087,,Wayne ,Sowell,"Sowell, Wayne ",,D,Unopposed,,,,"595,018",32.35%,,,
40,Alabama,AL,S,,,,Scattered,Scattered,,W,,,,,"1,848",0.10%,,,
41,Alabama,AL,S,,,,,,Senate Votes:,,n/a,,,,"1,839,066",,,,
42,Alabama,AL,,,,,,,Total State Votes:,,"175,592",,"4,501",,"3,631,825",,,,
43,Alaska,AK,0,H4AK00065,(I),Don E.,Young,"Young, Don E.",,R,"70,142",100.00%,,,"213,216",71.07%,,,
44,Alaska,AK,0,,,,,,Party Votes:,R,"70,142",,,,,,,,
45,Alaska,AK,0,H4AK00081,,Thomas M.,Higgins,"Higgins, Thomas M.",,D,"14,109",47.64%,,,"67,074",22.36%,,,
46,Alaska,AK,0,H4AK00057,,Frank,Vondersaar,"Vondersaar, Frank",,D,"9,025",30.48%,,,,,,,
47,Alaska,AK,0,H0AK00063,,Dae,Miles,"Miles, Dae",,D,"6,479",21.88%,,,,,,,
48,Alaska,AK,0,,,,,,Party Votes:,D,"29,613",,,,,,,,
49,Alaska,AK,0,H4AK00099,,Timothy A.,Feller,"Feller, Timothy A.",,GRN,"7,490",100.00%,,,"11,434",3.81%,,,
50,Alaska,AK,0,,,,,,Party Votes:,GRN,"7,490",,,,,,,,
51,Alaska,AK,0,H6AK00045,,Alvin A.,Anders,"Anders, Alvin A.",,LBT,"4,147",100.00%,,,"7,157",2.39%,,,
52,Alaska,AK,0,,,,,,Party Votes:,LBT,"4,147",,,,,,,,
53,Alaska,AK,0,,,,Scattered,Scattered,,W,,,,,"1,115",0.37%,,,
54,Alaska,AK,0,,,,,,District Votes:,,"111,392",,,,"299,996",,,,
55,Alaska,AK,H,,,,,,House Votes:,,"111,392",,,,"299,996",,,,
56,Alaska,AK,S,S4AK00099,(I),Lisa,Murkowski,"Murkowski, Lisa",,R,"45,710",58.13%,,,"149,773",48.58%,,,
57,Alaska,AK,S,S4AK00131,,Mike,Miller,"Miller, Mike",,R,"29,313",37.28%,,,,,,,
58,Alaska,AK,S,S4AK00156,,Wev,Shea,"Shea, Wev",,R,"2,857",3.63%,,,,,,,
59,Alaska,AK,S,S2AK00069,,Jim,Dore,"Dore, Jim",,R,748,0.95%,,,,,,,
60,Alaska,AK,S,,,,,,Party Votes:,R,"78,628",,,,,,,,
61,Alaska,AK,S,S4AK00107,,Tony,Knowles,"Knowles, Tony",,D,"40,881",95.06%,,,"140,424",45.55%,,,
62,Alaska,AK,S,S4AK00149,,Don R.,Wright,"Wright, Don R.",,D,"1,080",2.51%,,,,,,,
63,Alaska,AK,S,S6AK00102,,Theresa Nangle,Obermeyer,"Obermeyer, Theresa Nangle",,D,"1,045",2.43%,,,,,,,
64,Alaska,AK,S,,,,,,Party Votes:,D,"43,006",,,,,,,,
65,Alaska,AK,S,H4AK00115,,Marc J.,Millican,"Millican, Marc J.",,N,,,,,"8,885",2.88%,,,
66,Alaska,AK,S,S4AK00172,,Jerry ,Sanders,"Sanders, Jerry ",,AKI,"1,953",79.58%,,,"3,785",1.23%,,,
67,Alaska,AK,S,S4AK00164,,Daniel,DeNardo,"DeNardo, Daniel",,AKI,501,20.42%,,,,,,,
68,Alaska,AK,S,,,,,,Party Votes:,AKI,"2,454",,,,,,,,
69,Alaska,AK,S,S4AK00093,,Jim,Sykes,"Sykes, Jim",,GRN,"2,868",100.00%,,,"3,053",0.99%,,,
70,Alaska,AK,S,,,,,,Party Votes:,GRN,"2,868",,,,,,,,
71,Alaska,AK,S,S8AK00066,,Scott A.,Kohlhaas,"Kohlhaas, Scott A.",,LBT,775,100.00%,,,"1,240",0.40%,,,
