1,STATE,STATE ABBREVIATION,DISTRICT,FEC ID#,INCUMBENT INDICATOR (I),CANDIDATE NAME (First),Candidate Name (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL ,GENERAL %,GE RUNOFF,GE RUNOFF %,"COMBINED GE PARTY TOTALS (CT, NY)","COMBINED % (CT, NY)",FOOTNOTES,,,,,,,,,,,,,,,,,
2,Alabama,AL,1,H2AL01077,(I),Jo,Bonner,"Bonner, Jo",,R,Unopposed,,,,"210,660",98.27%,,,,,,,,,,,,,,,,,,,,,,
3,Alabama,AL,1,n/a,,,Scattered,Scattered,,W,,,,,"3,707",1.73%,,,,,,,,,,,,,,,,,,,,,,
4,Alabama,AL,1,H8AL01058,,Thomas E.,Fuller,"Fuller, Thomas E. #",,D,Unopposed,,,,#,,,,,,# Thomas Fuller withdrew after the primary election.,,,,,,,,,,,,,,,,,
5,Alabama,AL,1,n/a,,,,,District Votes:,,n/a,,,,"214,367",,,,,,,,,,,,,,,,,,,,,,,
6,Alabama,AL,2,H8AL02130,,Bobby,Bright,"Bright, Bobby",,D,"19,456",66.64%,,,"144,368",50.23%,,,,,,,,,,,,,,,,,,,,,,
7,Alabama,AL,2,H8AL02155,,Cendie,Crawley,"Crawley, Cendie",,D,"5,110",17.50%,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Alabama,AL,2,H8AL02148,,Cheryl,Sabel,"Sabel, Cheryl",,D,"4,631",15.86%,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Alabama,AL,2,n/a,,,,,Party Votes:,D,"29,197",,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Alabama,AL,2,H8AL02080,,Jay,Love,"Love, Jay",,R,"20,131",35.48%,"24,725",53.11%,"142,578",49.61%,,,,,,,,,,,,,,,,,,,,,,
11,Alabama,AL,2,H8AL02106,,Harri Anne,Smith,"Smith, Harri Anne",,R,"12,349",21.77%,"21,827",46.89%,,,,,,,,,,,,,,,,,,,,,,,,
12,Alabama,AL,2,H8AL02122,,Craig D.,Schmidtke,"Schmidtke, Craig D.",,R,"11,350",20.01%,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Alabama,AL,2,H4AL02048,,David,Woods,"Woods, David",,R,"9,757",17.20%,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Alabama,AL,2,H8AL02114,,David,Grimes,"Grimes, David",,R,"2,324",4.10%,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Alabama,AL,2,H8AL02098,,John W.,Martin,"Martin, John W.",,R,824,1.45%,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Alabama,AL,2,n/a,,,,,Party Votes:,R,"56,735",,"46,552",,,,,,,,,,,,,,,,,,,,,,,,,
17,Alabama,AL,2,n/a,,,Scattered,Scattered,,W,,,,,448,0.16%,,,,,,,,,,,,,,,,,,,,,,
18,Alabama,AL,2,n/a,,,,,District Votes:,,"85,932",,"46,552",,"287,394",,,,,,,,,,,,,,,,,,,,,,,
19,Alabama,AL,3,H2AL03032,(I),Mike,Rogers,"Rogers, Mike",,R,Unopposed,,,,"142,708",54.03%,,,,,,,,,,,,,,,,,,,,,,
20,Alabama,AL,3,H8AL03047,,Joshua,Segall,"Segall, Joshua",,D,Unopposed,,,,"121,080",45.84%,,,,,,,,,,,,,,,,,,,,,,
21,Alabama,AL,3,n/a,,,Scattered,Scattered,,W,,,,,332,0.13%,,,,,,,,,,,,,,,,,,,,,,
22,Alabama,AL,3,n/a,,,,,District Votes:,,,,,,"264,120",,,,,,,,,,,,,,,,,,,,,,,
23,Alabama,AL,4,H6AL04098,(I),Robert,Aderholt,"Aderholt, Robert",,R,Unopposed,,,,"196,741",74.76%,,,,,,,,,,,,,,,,,,,,,,
24,Alabama,AL,4,H8AL04052,,Nicholas B.,Sparks,"Sparks, Nicholas B.",,D,"15,777",58.09%,,,"66,077",25.11%,,,,,,,,,,,,,,,,,,,,,,
25,Alabama,AL,4,H8AL04045,,Greg,Warren,"Warren, Greg",,D,"11,381",41.91%,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Alabama,AL,4,n/a,,,,,Party Votes:,D,"27,158",,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Alabama,AL,4,n/a,,,Scattered,Scattered,,W,,,,,349,0.13%,,,,,,,,,,,,,,,,,,,,,,
28,Alabama,AL,4,n/a,,,,,District Votes:,,"27,158",,,,"263,167",,,,,,,,,,,,,,,,,,,,,,,
29,Alabama,AL,5,H8AL05109,,Parker,Griffith,"Griffith, Parker",,D,"34,543",89.92%,,,"158,324",51.52%,,,,,,,,,,,,,,,,,,,,,,
30,Alabama,AL,5,H8AL05117,,David,Maker,"Maker, David",,D,"3,874",10.08%,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Alabama,AL,5,n/a,,,,,Party Votes:,D,"38,417",,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Alabama,AL,5,H4AL05025,,Wayne,Parker,"Parker, Wayne",,R,"18,515",48.80%,"16,031",78.73%,"147,314",47.94%,,,,,,,,,,,,,,,,,,,,,,
33,Alabama,AL,5,H8AL05133,,Cheryl Baswell,Guthrie,"Guthrie, Cheryl Baswell",,R,"6,942",18.30%,"4,330",21.27%,,,,,,,,,,,,,,,,,,,,,,,,
34,Alabama,AL,5,H8AL05166,,"Angelo Doc""""""ngel""",Mancuso,"Mancuso, Angelo Doc""""""ancu""",,R,"6,161",16.24%,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Alabama,AL,5,H8AL05091,,Ray,McKee,"McKee, Ray",,R,"3,342",8.81%,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Alabama,AL,5,H8AL05141,,George C.,Barry,"Barry, George C.",,R,"2,274",5.99%,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Alabama,AL,5,H8AL05158,,Mark,Huff,"Huff, Mark",,R,707,1.86%,,,,,,,,,,,,,,,,,,,,,,,,,,
