1,STATE,STATE ABBREVIATION,DISTRICT,FEC ID#,INCUMBENT INDICATOR (I),CANDIDATE NAME (First),CANDIDATE NAME (Last),"CANDIDATE NAME (Last, First)",TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL ,GENERAL %,"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",FOOTNOTES,,,,,,,,,,,,,,,,,
2,Alabama,AL,1,H2AL01077,(I),Jo,Bonner,"Bonner, Jo",,REP,"56,937",75.25%,,,"129,063",82.58%,,,,,,,,,,,,,,,,,,,,
3,Alabama,AL,1,H0AL01030,,Peter,Gounares,"Gounares, Peter",,REP,"18,725",24.75%,,,,,,,,,,,,,,,,,,,,,,,,
4,Alabama,AL,1,n/a,,,,,Party Votes:,REP,"75,662",,,,,,,,,,,,,,,,,,,,,,,,,
5,Alabama,AL,1,H0AL01048,,David,Walter,"Walter, David",,CPA,,,,,"26,357",16.87%,,,,,,,,,,,,,,,,,,,,
6,Alabama,AL,1,n/a,,,Scattered,Scattered,,W,,,,,861,0.55%,,,,,,,,,,,,,,,,,,,,
7,Alabama,AL,1,n/a,,,,,District Votes:,,"75,662",,,,"156,281",,,,,,,,,,,,,,,,,,,,,
8,Alabama,AL,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Alabama,AL,2,H0AL02087,,Martha,Roby,"Roby, Martha",,REP,"36,295",48.55%,"39,169",60.02%,"111,645",50.97%,,,,,,,,,,,,,,,,,,,,
10,Alabama,AL,2,H0AL02103,,Rick,Barber,"Barber, Rick",,REP,"21,313",28.51%,"26,091",39.98%,,,,,,,,,,,,,,,,,,,,,,
11,Alabama,AL,2,H0AL02111,,Stephanie,Bell,"Bell, Stephanie",,REP,"13,797",18.46%,,,,,,,,,,,,,,,,,,,,,,,,
12,Alabama,AL,2,H0AL02129,,"John Beau, III",McKinney,"McKinney, John Beau, III",,REP,"3,349",4.48%,,,,,,,,,,,,,,,,,,,,,,,,
13,Alabama,AL,2,n/a,,,,,Party Votes:,REP,"74,754",,"65,260",,,,,,,,,,,,,,,,,,,,,,,
14,Alabama,AL,2,H8AL02130,(I),Bobby,Bright,"Bright, Bobby",,DEM,Unopposed,,,,"106,865",48.79%,,,,,,,,,,,,,,,,,,,,
15,Alabama,AL,2,n/a,,,Scattered,Scattered,,W,,,,,518,0.24%,,,,,,,,,,,,,,,,,,,,
16,Alabama,AL,2,n/a,,,,,District Votes:,,"74,754",,"65,260",,"219,028",,,,,,,,,,,,,,,,,,,,,
17,Alabama,AL,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Alabama,AL,3,H2AL03032,(I),Mike,Rogers,"Rogers, Mike",,REP,Unopposed,,,,"117,736",59.42%,,,,,,,,,,,,,,,,,,,,
19,Alabama,AL,3,H0AL03184,,Steve,Segrest,"Segrest, Steve",,DEM,Unopposed,,,,"80,204",40.48%,,,,,,,,,,,,,,,,,,,,
20,Alabama,AL,3,n/a,,,Scattered,Scattered,,W,,,,,199,0.10%,,,,,,,,,,,,,,,,,,,,
21,Alabama,AL,3,n/a,,,,,District Votes:,,,,,,"198,139",,,,,,,,,,,,,,,,,,,,,
22,Alabama,AL,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Alabama,AL,4,H6AL04098,(I),Robert,Aderholt,"Aderholt, Robert",,REP,Unopposed,,,,"167,714",98.82%,,,,,,,,,,,,,,,,,,,,
24,Alabama,AL,4,n/a,,,Scattered,Scattered,,W,,,,,"2,007",1.18%,,,,,,,,,,,,,,,,,,,,
25,Alabama,AL,4,n/a,,,,,District Votes:,,,,,,"169,721",,,,,,,,,,,,,,,,,,,,,
26,Alabama,AL,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Alabama,AL,5,H0AL05163,,Mo,Brooks,"Brooks, Mo",,REP,"35,746",50.81%,,,"131,109",57.89%,,,,,,,,,,,,,,,,,,,,
28,Alabama,AL,5,H8AL05109,(I),Parker,Griffith,"Griffith, Parker",,REP,"23,525",33.44%,,,,,,,,,,,,,,,,,,,,,,,,
29,Alabama,AL,5,H0AL05155,,Les,Phillip,"Phillip, Les",,REP,"11,085",15.76%,,,,,,,,,,,,,,,,,,,,,,,,
30,Alabama,AL,5,n/a,,,,,Party Votes:,REP,"70,356",,,,,,,,,,,,,,,,,,,,,,,,,
31,Alabama,AL,5,H0AL05197,,Steve,Raby,"Raby, Steve",,DEM,"27,814",61.67%,,,"95,192",42.03%,,,,,,,,,,,,,,,,,,,,
32,Alabama,AL,5,H0AL05189,,Taze,Shepard,"Shepard, Taze",,DEM,"10,262",22.75%,,,,,,,,,,,,,,,,,,,,,,,,
33,Alabama,AL,5,H0AL05171,,Mitchell J.,Howie,"Howie, Mitchell J.",,DEM,"5,277",11.70%,,,,,,,,,,,,,,,,,,,,,,,,
34,Alabama,AL,5,H8AL05117,,David J.,Maker,"Maker, David J.",,DEM,"1,751",3.88%,,,,,,,,,,,,,,,,,,,,,,,,
35,Alabama,AL,5,n/a,,,,,Party Votes:,DEM,"45,104",,,,,,,,,,,,,,,,,,,,,,,,,
36,Alabama,AL,5,n/a,,,Scattered,Scattered,,W,,,,,189,0.08%,,,,,,,,,,,,,,,,,,,,
37,Alabama,AL,5,n/a,,,,,District Votes:,,"115,460",,,,"226,490",,,,,,,,,,,,,,,,,,,,,
38,Alabama,AL,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Alabama,AL,6,H2AL06035,(I),Spencer,Bachus,"Bachus, Spencer",,REP,"80,725",75.64%,,,"205,288",98.05%,,,,,,,,,,,,,,,,,,,,
40,Alabama,AL,6,H0AL06088,,Stan,Cooke,"Cooke, Stan",,REP,"25,997",24.36%,,,,,,,,,,,,,,,,,,,,,,,,
41,Alabama,AL,6,n/a,,,,,Party Votes:,REP,"106,722",,,,,,,,,,,,,,,,,,,,,,,,,
42,Alabama,AL,6,n/a,,,Scattered,Scattered,,W,,,,,"4,076",1.95%,,,,,,,,,,,,,,,,,,,,
43,Alabama,AL,6,n/a,,,,,District Votes:,,"106,722",,,,"209,364",,,,,,,,,,,,,,,,,,,,,
44,Alabama,AL,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Alabama,AL,7,H0AL07086,,Terri A.,Sewell,"Sewell, Terri A.",,DEM,"31,531",36.80%,"32,366",55.00%,"136,696",72.43%,,,,,,,,,,,,,,,,,,,,
46,Alabama,AL,7,H0AL07102,,Shelia,Smoot,"Smoot, Shelia",,DEM,"24,490",28.59%,"26,481",45.00%,,,,,,,,,,,,,,,,,,,,,,
47,Alabama,AL,7,H0AL07094,,"Earl, Jr.",Hilliard,"Hilliard, Earl, Jr.",,DEM,"22,981",26.82%,,,,,,,,,,,,,,,,,,,,,,,,
48,Alabama,AL,7,H0AL00016,,Martha,Bozeman,"Bozeman, Martha",,DEM,"6,672",7.79%,,,,,,,,,,,,,,,,,,,,,,,,
49,Alabama,AL,7,n/a,,,,,Party Votes:,DEM,"85,674",,"58,847",,,,,,,,,,,,,,,,,,,,,,,
50,Alabama,AL,7,H0AL07177,,Don,Chamberlain,"Chamberlain, Don",,REP,"6,166",37.58%,"11,783",55.76%,"51,890",27.50%,,,,,,,,,,,,,,,,,,,,
51,Alabama,AL,7,H0AL07185,,Chris,Salter,"Salter, Chris",,REP,"4,826",29.42%,"9,349",44.24%,,,,,,,,,,,,,,,,,,,,,,
52,Alabama,AL,7,H0AL07144,,Michele,Waller,"Waller, Michele",,REP,"2,804",17.09%,,,,,,,,,,,,,,,,,,,,,,,,
53,Alabama,AL,7,H0AL07169,,Carol F.,Hendrickson,"Hendrickson, Carol F.",,REP,"2,610",15.91%,,,,,,,,,,,,,,,,,,,,,,,,
54,Alabama,AL,7,n/a,,,,,Party Votes:,REP,"16,406",,"21,132",,,,,,,,,,,,,,,,,,,,,,,
55,Alabama,AL,7,n/a,,,Scattered,Scattered,,W,,,,,138,0.07%,,,,,,,,,,,,,,,,,,,,
56,Alabama,AL,7,n/a,,,,,District Votes:,,"102,080",,"79,979",,"188,724",,,,,,,,,,,,,,,,,,,,,
57,Alabama,AL,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Alabama,AL,H,n/a,,,,,Total State Votes:,,"474,678",,"145,239",,"1,367,747",,,,,,,,,,,,,,,,,,,,,
59,Alabama,AL,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Alabama,AL,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Alabama,AL,S,S6AL00013,(I),Richard C.,Shelby,"Shelby, Richard C.",,REP,"405,398",84.35%,,,"968,181",65.18%,,,,,,,,,,,,,,,,,,,,
62,Alabama,AL,S,S0AL00180,,"N.C. Clint"""""".C. ""C""""C""",Moser,"Moser, N.C. Clint""""""oser"," """,,REP,"75,190",15.65%,,,,,,,,,,,,,,,,,,,,,,,
63,Alabama,AL,S,n/a,,,,,Party Votes:,REP,"480,588",,,,,,,,,,,,,,,,,,,,,,,,,
64,Alabama,AL,S,S0AL00164,,William G.,Barnes,"Barnes, William G.",,DEM,"160,993",60.77%,,,"515,619",34.71%,,,,,,,,,,,,,,,,,,,,
65,Alabama,AL,S,S0AL00172,,Simone D.,De Moore,"De Moore, Simone D.",,DEM,"103,942",39.23%,,,,,,,,,,,,,,,,,,,,,,,,
66,Alabama,AL,S,n/a,,,,,Party Votes:,DEM,"264,935",,,,,,,,,,,,,,,,,,,,,,,,,
67,Alabama,AL,S,n/a,,,Scattered,Scattered,,W,,,,,"1,699",0.11%,,,,,,,,,,,,,,,,,,,,
68,Alabama,AL,S,n/a,,,,,Total State Votes:,,"745,523",,,,"1,485,499",,,,,,,,,,,,,,,,,,,,,
69,,,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Alaska,AK,0,H6AK00045,(I),Don,Young,"Young, Don",,REP,"74,310",70.35%,,,"175,384",68.96%,,,,,,,,,,,,,,,,,,,,
71,Alaska,AK,0,H0AK01038,,Sheldon,Fisher,"Fisher, Sheldon",,REP,"24,709",23.39%,,,,,,,,,,,,,,,,,,,,,,,,
72,Alaska,AK,0,H0AK00097,,John R. ,Cox,"Cox, John R. ",,REP,"6,605",6.25%,,,,,,,,,,,,,,,,,,,,,,,,
73,Alaska,AK,0,n/a,,,,,Party Votes:,REP,"105,624",,,,,,,,,,,,,,,,,,,,,,,,,
74,Alaska,AK,0,H0AK00089,,"Harry T., Jr.",Crawford,"Crawford, Harry T., Jr.",,DEM,"38,673",100.00%,,,"77,606",30.51%,,,,,,,,,,,,,,,,,,,,
75,Alaska,AK,0,n/a,,,,,Party Votes:,DEM,"38,673",,,,,,,,,,,,,,,,,,,,,,,,,
76,Alaska,AK,0,n/a,,,Scattered,Scattered,,W,,,,,"1,345",0.53%,,,,,,,,,,,,,,,,,,,,
77,Alaska,AK,0,n/a,,,,,District Votes:,,"144,297",,,,"254,335",,,,,,,,,,,,,,,,,,,,,
78,Alaska,AK,H,n/a,,,,,Total State Votes:,,"144,297",,,,"254,335",,,,,,,,,,,,,,,,,,,,,
79,Alaska,AK,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Alaska,AK,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Alaska,AK,S,S4AK00099,(I),Lisa ,Murkowski,"Murkowski, Lisa ",,REP/W***,"53,872",49.09%,,,"92,931",36.08%,,,,,,,,,,,,,,,,,,,,
82,Alaska,AK,S,S0AK00121,,Joe,Miller,"Miller, Joe",,REP,"55,878",50.91%,,,"90,839",35.27%,,,,,,,,,,,,,,,,,,,,
83,Alaska,AK,S,n/a,,,,,Party Votes:,REP,"109,750",,,,,,,,,,,,,,,,,,,,,,,,,
84,Alaska,AK,S,S0AK00139,,Scott T.,McAdams,"McAdams, Scott T.",,DEM,"18,035",59.55%,,,"60,045",23.32%,,,,,,,,,,,,,,,,,,,,
85,Alaska,AK,S,S0AK00147,,Jacob Seth,Kern,"Kern, Jacob Seth",,DEM,"6,913",22.82%,,,,,,,,,,,,,,,,,,,,,,,,
86,Alaska,AK,S,S0AK00097,,Frank J.,Vondersaar,"Vondersaar, Frank J.",,DEM,"5,339",17.63%,,,,,,,,,,,,,,,,,,,,,,,,
87,Alaska,AK,S,n/a,,,,,Party Votes:,DEM,"30,287",,,,,,,,,,,,,,,,,,,,,,,,,
88,Alaska,AK,S,S4AK00099,,,Murkowski,Murkowski,,W (Challenged Counted),,,,,"8,160",3.17%,,,,,,,,,,,,,,,,,,,,
