1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES,
2,AL,Alabama,,n/a,,,,DISTRICT 1,,,,,,,,,,,,,,,
3,AL,Alabama,01,H2AL01077,(I),Jo,Bonner,"Bonner, Jo",,R,"48,702",55.55%,,,"196,374",97.86%,,,,,W,,
4,AL,Alabama,01,H2AL01176,,Dean,Young,"Young, Dean",,R,"21,308",24.30%,,,,,,,,,,,
5,AL,Alabama,01,H2AL01184,,Pete,Riehm,"Riehm, Pete",,R,"13,809",15.75%,,,,,,,,,,,
6,AL,Alabama,01,H0AL01030,,Peter,Gounares,"Gounares, Peter",,R,"3,854",4.40%,,,,,,,,,,,
7,AL,Alabama,01,n/a,,,,,Party Votes:,R,"87,673",,,,,,,,,,,,
8,AL,Alabama,01,n/a,,,Scattered,Scattered,,W,,,,,"4,302",2.14%,,,,,,,
9,AL,Alabama,01,n/a,,,,,District Votes:,,"87,673",,,,"200,676",,,,,,,,
10,AL,Alabama,,n/a,,,,DISTRICT 2,,,,,,,,,,,,,,,
11,AL,Alabama,02,H0AL02087,(I),Martha,Roby,"Roby, Martha",,R,Unopposed,,,,"180,591",63.60%,,,,,W,,
12,AL,Alabama,02,H2AL02141,,Therese,Ford,"Ford, Therese",,D,Unopposed,,,,"103,092",36.31%,,,,,,,
13,AL,Alabama,02,n/a,,,Scattered,Scattered,,W,,,,,270,0.10%,,,,,,,
14,AL,Alabama,02,n/a,,,,,District Votes:,,,,,,"283,953",,,,,,,,
15,AL,Alabama,,n/a,,,,DISTRICT 3,,,,,,,,,,,,,,,
16,AL,Alabama,03,H2AL03032,(I),Mike,Rogers,"Rogers, Mike",,R,Unopposed,,,,"175,306",64.00%,,,,,W,,
17,AL,Alabama,03,H2AL03099,,John Andrew,Harris,"Harris, John Andrew",,D,Unopposed,,,,"98,141",35.83%,,,,,,,
18,AL,Alabama,03,n/a,,,Scattered,Scattered,,W,,,,,483,0.18%,,,,,,,
19,AL,Alabama,03,n/a,,,,,District Votes:,,,,,,"273,930",,,,,,,,
20,AL,Alabama,,n/a,,,,DISTRICT 4,,,,,,,,,,,,,,,
21,AL,Alabama,04,H6AL04098,(I),Robert,Aderholt,"Aderholt, Robert",,R,Unopposed,,,,"199,071",73.97%,,,,,W,,
22,AL,Alabama,04,H2AL04055,,Daniel H.,Boman,"Boman, Daniel H.",,D,"10,971",51.45%,,,"69,706",25.90%,,,,,,,
23,AL,Alabama,04,H2AL04063,,Rick,Neighbors,"Neighbors, Rick",,D,"10,353",48.55%,,,,,,,,,,,
24,AL,Alabama,04,n/a,,,,,Party Votes:,D,"21,324",,,,,,,,,,,,
25,AL,Alabama,04,n/a,,,Scattered,Scattered,,W,,,,,341,0.13%,,,,,,,
26,AL,Alabama,04,n/a,,,,,District Votes:,,"21,324",,,,"269,118",,,,,,,,
27,AL,Alabama,,n/a,,,,DISTRICT 5,,,,,,,,,,,,,,,
28,AL,Alabama,05,H0AL05163,(I),Mo,Brooks,"Brooks, Mo",,R,"65,163",70.94%,,,"189,185",64.95%,,,,,W,,
29,AL,Alabama,05,H8AL05109,,Parker,Griffith,"Griffith, Parker",,R,"26,694",29.06%,,,,,,,,,,,
30,AL,Alabama,05,n/a,,,,,Party Votes:,R,"91,857",,,,,,,,,,,,
31,AL,Alabama,05,H2AL05094,,Charlie L.,Holley,"Holley, Charlie L.",,D,Unopposed,,,,"101,772",34.94%,,,,,,,
32,AL,Alabama,05,n/a,,,Scattered,Scattered,,W,,,,,336,0.12%,,,,,,,
33,AL,Alabama,05,n/a,,,,,District Votes:,,"91,857",,,,"291,293",,,,,,,,
34,AL,Alabama,,n/a,,,,DISTRICT 6,,,,,,,,,,,,,,,
35,AL,Alabama,06,H2AL06035,(I),Spencer,Bachus,"Bachus, Spencer",,R,"63,360",61.45%,,,"219,262",71.17%,,,,,W,,
36,AL,Alabama,06,H2AL06126,,Scott,Beason,"Beason, Scott",,R,"28,673",27.81%,,,,,,,,,,,
37,AL,Alabama,06,H2AL06100,,David,Standridge,"Standridge, David",,R,"8,120",7.87%,,,,,,,,,,,
38,AL,Alabama,06,H2AL06134,,Al,Mickle,"Mickle, Al",,R,"2,930",2.84%,,,,,,,,,,,
39,AL,Alabama,06,n/a,,Stan,Pate,"Pate, Stan  #",,R,33,0.03%,,,,,,,,,,"*  Stan Pate withdrew from the primary election, but his name still appeared on some absentee ballots.",
40,AL,Alabama,06,n/a,,,,,Party Votes:,R,"103,116",,,,,,,,,,,,
41,AL,Alabama,06,H2AL06142,,"Penny "Colonel"""enny "Co""nn",Bailey,"Bailey, Penny "Colonel"""ailey, P",,D,"5,061",61.05%,,,"88,267",28.65%,,,,,,,
42,AL,Alabama,06,H2AL06159,,William,Barnes,"Barnes, William",,D,"3,229",38.95%,,,,,,,,,,,
43,AL,Alabama,06,n/a,,,,,Party Votes:,D,"8,290",,,,,,,,,,,,
44,AL,Alabama,06,n/a,,,Scattered,Scattered,,W,,,,,573,0.19%,,,,,,,
45,AL,Alabama,06,n/a,,,,,District Votes:,,"111,406",,,,"308,102",,,,,,,,
46,AL,Alabama,,n/a,,,,DISTRICT 7,,,,,,,,,,,,,,,
47,AL,Alabama,07,H0AL07086,(I),Terri A.,Sewell,"Sewell, Terri A.",,D,Unopposed,,,,"232,520",75.85%,,,,,W,,
48,AL,Alabama,07,H0AL07177,,Don,Chamberlain,"Chamberlain, Don",,R,"11,537",66.10%,,,"73,835",24.09%,,,,,,,
49,AL,Alabama,07,H2AL07165,,Phillip,Norris,"Norris, Phillip",,R,"5,918",33.90%,,,,,,,,,,,
50,AL,Alabama,07,n/a,,,,,Party Votes:,R,"17,455",,,,,,,,,,,,
51,AL,Alabama,07,n/a,,,Scattered,Scattered,,W,,,,,203,0.07%,,,,,,,
52,AL,Alabama,07,n/a,,,,,District Votes:,,"17,455",,,,"306,558",,,,,,,,
53,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,,
54,AL,Alabama,H,n/a,,,,,Total State Votes:,,"329,715",,,,"1,933,630",,,,,,,,
