1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
2,AL,Alabama,1,H4AL01123,(I),Bradley,Byrne,"Byrne, Bradley",,R,Unopposed,,,,"103,758",68.16%,,,,,W,
3,AL,Alabama,1,H4AL01156,,Burton R.,LeFlore,"LeFlore, Burton R.",,D,Unopposed,,,,"48,278",31.71%,,,,,,
4,AL,Alabama,1,n/a,,,,Scattered,,W,,,,,198,0.13%,,,,,,
5,AL,Alabama,1,n/a,,,,,District Votes:,,,,,,"152,234",,,,,,,
6,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
7,AL,Alabama,2,H0AL02087,(I),Martha,Roby,"Roby, Martha",,R,Unopposed,,,,"113,103",67.34%,,,,,W,
8,AL,Alabama,2,H4AL02071,,Erick,Wright,"Wright, Erick",,D,Unopposed,,,,"54,692",32.56%,,,,,,
9,AL,Alabama,2,n/a,,,,Scattered,,W,,,,,157,0.09%,,,,,,
10,AL,Alabama,2,n/a,,,,,District Votes:,,,,,,"167,952",,,,,,,
11,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
12,AL,Alabama,3,H2AL03032,(I),Mike,Rogers,"Rogers, Mike",,R,"50,372",75.89%,,,"103,558",66.12%,,,,,W,
13,AL,Alabama,3,H4AL03053,,Thomas,Casson,"Casson, Thomas",,R,"15,999",24.11%,,,,,,,,,,
14,AL,Alabama,3,n/a,,,,,Party Votes:,R,"66,371",,,,,,,,,,,
15,AL,Alabama,3,H4AL03061,,Jesse T.,Smith,"Smith, Jesse T.",,D,Unopposed,,,,"52,816",33.72%,,,,,,
16,AL,Alabama,3,n/a,,,,Scattered,,W,,,,,246,0.16%,,,,,,
17,AL,Alabama,3,n/a,,,,,District Votes:,,"66,371",,,,"156,620",,,,,,,
18,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
19,AL,Alabama,4,H6AL04098,(I),Robert,Aderholt,"Aderholt, Robert",,R,Unopposed,,,,"132,831",98.57%,,,,,W,
20,AL,Alabama,4,n/a,,,,Scattered,,W,,,,,"1,921",1.43%,,,,,,
21,AL,Alabama,4,n/a,,,,,District Votes:,,,,,,"134,752",,,,,,,
22,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
23,AL,Alabama,5,H0AL05163,(I),Mo,Brooks,"Brooks, Mo",,R,"49,117",80.32%,,,"115,338",74.42%,,,,,W,
24,AL,Alabama,5,H4AL05074,,Jerry,Hill,"Hill, Jerry",,R,"12,038",19.68%,,,,,,,,,,
25,AL,Alabama,5,n/a,,,,,Party Votes:,R,"61,155",,,,,,,,,,,
26,AL,Alabama,5,H4AL05082,,Mark,Bray,"Bray, Mark",,IND,,,,,"39,005",25.17%,,,,,,
27,AL,Alabama,5,n/a,,,,Scattered,,W,,,,,631,0.41%,,,,,,
28,AL,Alabama,5,n/a,,,,,District Votes:,,"61,155",,,,"154,974",,,,,,,
29,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
30,AL,Alabama,6,H4AL06098,,Gary,Palmer,"Palmer, Gary",,R,"18,655",19.73%,"47,525",63.49%,"135,945",76.18%,,,,,W,
31,AL,Alabama,6,H4AL06080,,Paul,DeMarco,"DeMarco, Paul",,R,"30,894",32.68%,"27,333",36.51%,,,,,,,,
32,AL,Alabama,6,H2AL06126,,Scott,Beason,"Beason, Scott",,R,"14,451",15.29%,,,,,,,,,,
33,AL,Alabama,6,H4AL06072,,Chad,Mathis,"Mathis, Chad",,R,"14,420",15.25%,,,,,,,,,,
34,AL,Alabama,6,H4AL06106,,Will,Brooke,"Brooke, Will",,R,"13,130",13.89%,,,,,,,,,,
35,AL,Alabama,6,H4AL06114,,Tom,Vigneulle,"Vigneulle, Tom",,R,"2,397",2.54%,,,,,,,,,,
36,AL,Alabama,6,H4AL06122,,Robert,Shattuck,"Shattuck, Robert",,R,587,0.62%,,,,,,,,,,
37,AL,Alabama,6,n/a,,,,,Party Votes:,R,"94,534",,"74,858",,,,,,,,,
38,AL,Alabama,6,H4AL06148,,Mark,Lester,"Lester, Mark #",,D,#,,,,"42,291",23.70%,,,,,,# Avery Vise withdrew after the primary election and Mark Lester was selected by the party to fill the vacancy on the general election ballot.
39,AL,Alabama,6,H4AL06130,,Avery,Vise,"Vise, Avery #",,D,Unopposed,,,,,,,,,,,# Avery Vise withdrew after the primary election and Mark Lester was selected by the party to fill the vacancy on the general election ballot.
40,AL,Alabama,6,n/a,,,,Scattered,,W,,,,,213,0.12%,,,,,,
41,AL,Alabama,6,n/a,,,,,District Votes:,,"94,534",,"74,858",,"178,449",,,,,,,
42,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
43,AL,Alabama,7,H0AL07086,(I),Terri A.,Sewell,"Sewell, Terri A.",,D,"74,953",83.91%,,,"133,687",98.37%,,,,,W,
44,AL,Alabama,7,H4AL07096,,Tamara Harris,Johnson,"Johnson, Tamara Harris",,D,"14,374",16.09%,,,,,,,,,,
45,AL,Alabama,7,n/a,,,,,Party Votes:,D,"89,327",,,,,,,,,,,
46,AL,Alabama,7,n/a,,,,Scattered,,W,,,,,"2,212",1.63%,,,,,,
47,AL,Alabama,7,n/a,,,,,District Votes:,,"89,327",,,,"135,899",,,,,,,
48,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
49,AL,Alabama,H,n/a,,,,,Total State Votes:,,"311,387",,"74,858",,"1,080,880",,,,,,,
50,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
51,,,,n/a,,,,,,,,,,,,,,,,,,
