state,gk_bias,symmetry,responsiveness
AL,20.931976632,38.2428571429,0.74571428572
AK,8.45593278717,9.38,9.08
AZ,-2.4602013438,-7.56527777778,2.22083333333
AR,-16.273058842,-29.155,1.7825
CA,-12.6509719841,-24.5730188679,0.34433962265
CO,-2.29621287896,-4.64428571433,1.80857142857
CT,7.20680639175,13.302,1.676
DE,7.67527726932,8.81,9.15
FL,-2.77446754679,-8.7856,3.3324
GA,4.06808729963,10.9476923077,0.71384615384
HI,-12.6644449966,-8.56,5.935
ID,3.23523565076,6.835,4.28
IL,-0.741644158138,-1.37894736841,0.91631578947
IN,0.6307614696,-2.04197530862,2.46172839507
IA,1.83274370295,-3.92,3.31333333333
KS,0.0,3.4375,0.8775
KY,14.0614040269,21.3888888889,3.83148148148
LA,21.4285714286,36.5585714286,1.73285714286
ME,-11.1683221883,-10.935,7.78
MD,-23.1298667338,-43.2925,0.89125
MA,-13.577397947,-12.396,6.777
MI,8.38390987188,16.6533333333,0.908888888889
MN,-3.95634063339,-7.26875,1.03
MS,0.0,0.0,0.0
MO,5.5555555556,11.1111111112,0.0
MT,9.51561652104,8.32,8.92
NE,6.91641617155,3.74666666666,7.76333333333
NV,1.4490325847,9.42592592594,3.95925925927
NH,-8.39288307961,-5.22222222222,8.26666666667
NJ,-4.48693792072,-9.4015384616,0.36461538461
NM,16.0740010233,25.96,1.48333333334
NY,-11.2178486504,-20.6444827586,0.85379310345
NC,-4.30586182774,-7.16153846156,1.17094017094
ND,14.4942760737,9.52,9.14
OH,7.06243147192,15.0117283951,1.09074074074
OK,28.0979082132,49.902,2.37
OR,-17.7995943609,-27.794,2.796
PA,4.13704750231,9.92163742688,1.95087719298
RI,-10.0674813668,-8.71,7.63
SC,16.6666666667,28.3983333334,1.335
SD,-12.8028714835,-9.35,7.99
TN,-5.5555555556,-11.1111111112,0.0
TX,11.9260141381,20.0078125,1.5615625
UT,-16.6666666667,-32.7111111112,0.311111111111
VA,12.6383499193,20.1222222222,2.57777777778
WA,-13.7886636305,-19.0333333333,1.68666666667
WV,-16.6666666667,-29.7933333334,0.92666666667
WI,-8.03933827414,-13.8527777778,1.03611111111
WY,4.09979532484,1.66666666667,8.36666666667
