state,gk_bias,symmetry
AL,7.96583487126,11.0185714286
AK,-66.1579707929,-39.38
AZ,11.1111111112,3.04777777782
AR,-54.4017926759,-37.4675
CA,1.2132990191,1.03132075471
CO,14.2857142858,10.1682539683
CT,46.2229960181,35.724
DE,65.5140245991,39.0
FL,0.758203633583,-0.59814814815
GA,14.2857142858,14.2714285715
HI,0.0,0.0
ID,-58.8020947439,-38.495
IL,9.67352087691,6.8450617284
IN,5.49870400347,6.27777777777
IA,1.74877369417,3.39444444444
KS,-17.4630371135,-18.18
KY,8.59102630082,11.4533333333
LA,0.0,0.0
ME,31.5097095566,33.615
MD,-12.4598734025,-9.28875
MA,10.1196756545,8.02333333333
MI,28.5714285714,25.3753968254
MN,14.75,12.9675
MS,4.75353624912,15.2027777778
MO,49.305583805,41.14375
MT,-64.6141201157,-38.86
NE,22.2230401136,13.32
NV,-5.87275901667,-3.1
NH,68.2685738191,32.7222222222
NJ,16.6666666666,13.5611111111
NM,-4.94924301575,4.03999999997
NY,6.647375157,6.81777777777
NC,29.4771399647,19.6418803419
ND,-67.1992828618,-22.3555555556
OH,28.4893090951,26.8861111111
OK,-28.9809546116,-25.494
OR,20.0,16.838
PA,44.4444444444,37.7308641975
RI,39.6104877029,33.78
SC,14.2857142858,14.2785714286
SD,-68.5153454759,-40.98
TN,10.3704668376,8.09888888892
TX,10.0710807379,5.8961111111
UT,1.38167740211,6.97
VT,68.6213487343,40.54
VA,15.9683992586,9.17474747476
WA,-3.57670522449,2.48888888887
WV,5.7651113114,2.78666666668
WI,25.0,19.4416666667
WY,-67.330063609,-40.76
