votes,seatsR,seatsD
0,0,0
0.17116918777,0.0,0.0
1.17116918777,0.0,0.0
2.17116918777,0.0,0.0
3.17116918777,0.0,0.0
4.17116918777,0.0,0.0
5.17116918777,0.0,0.0
6.17116918777,0.0,0.0
7.17116918777,0.0,0.0
8.17116918777,0.0,0.0
9.17116918777,0.0,0.0
10.1711691878,0.0,0.0
11.1711691878,0.0,0.0
12.1711691878,0.0,0.0
13.1711691878,0.0,0.0
14.1711691878,0.0,0.0
15.1711691878,0.0,0.0
16.1711691878,0.0,0.0
17.1711691878,0.0,0.0
18.1711691878,0.0,0.0
19.1711691878,0.0,0.0
20.1711691878,0.0,0.0
21.1711691878,0.0,0.0
22.1711691878,0.0,0.0
23.1711691878,0.0,0.0
24.1711691878,0.0,0.0
25.1711691878,0.0,0.0
26.1711691878,0.0,0.0
27.1711691878,0.0,0.0
28.1711691878,0.0,0.0
29.1711691878,0.0,0.0
30.1711691878,0.0,0.0
31.1711691878,2.175,2.375
32.1711691878,4.475,5.175
33.1711691878,6.8,6.825
34.1711691878,9.05,9.125
35.1711691878,11.45,11.65
36.1711691878,13.7,12.95
37.1711691878,18.15,14.525
38.1711691878,22.275,15.975
39.1711691878,27.5,18.3
40.1711691878,32.375,23.1
41.1711691878,35.75,26.45
42.1711691878,38.425,31.625
43.1711691878,41.425,34.6
44.1711691878,43.425,36.75
45.1711691878,45.55,38.825
46.1711691878,47.825,40.875
47.1711691878,50.0,43.0
48.1711691878,50.0,45.4
49.1711691878,50.0,47.425
50.1711691878,52.275,50.0
51.1711691878,54.825,50.0
52.1711691878,56.775,50.0
53.1711691878,59.05,52.525
54.1711691878,61.05,54.45
55.1711691878,63.125,56.325
56.1711691878,65.95,59.225
57.1711691878,68.675,61.8
58.1711691878,72.525,64.925
59.1711691878,77.475,70.175
60.1711691878,81.95,74.9
61.1711691878,83.3,79.125
63.1711691878,84.75,84.075
64.1711691878,85.975,88.55
65.1711691878,88.8,90.95
66.1711691878,91.0,93.2
67.1711691878,92.425,95.525
68.1711691878,95.5,97.825
69.1711691878,97.9,100.0
70.1711691878,100.0,100.0
71.1711691878,100.0,100.0
72.1711691878,100.0,100.0
73.1711691878,100.0,100.0
74.1711691878,100.0,100.0
75.1711691878,100.0,100.0
76.1711691878,100.0,100.0
77.1711691878,100.0,100.0
78.1711691878,100.0,100.0
79.1711691878,100.0,100.0
80.1711691878,100.0,100.0
81.1711691878,100.0,100.0
82.1711691878,100.0,100.0
83.1711691878,100.0,100.0
84.1711691878,100.0,100.0
85.1711691878,100.0,100.0
86.1711691878,100.0,100.0
87.1711691878,100.0,100.0
88.1711691878,100.0,100.0
89.1711691878,100.0,100.0
90.1711691878,100.0,100.0
91.1711691878,100.0,100.0
92.1711691878,100.0,100.0
93.1711691878,100.0,100.0
94.1711691878,100.0,100.0
95.1711691878,100.0,100.0
96.1711691878,100.0,100.0
97.1711691878,100.0,100.0
98.1711691878,100.0,100.0
99.1711691878,100.0,100.0
100,100,100
