votes,seatsR,seatsD
0,0,0
0.886255967633,0.0,0.0
1.88625596763,0.0,0.0
2.88625596763,0.0,0.0
3.88625596763,0.0,0.0
4.88625596763,0.0,0.0
5.88625596763,0.0,0.0
6.88625596763,0.0,0.0
7.88625596763,0.0,0.0
8.88625596763,0.0,0.0
9.88625596763,0.0,0.545161290323
10.8862559676,0.0,1.0064516129
11.8862559676,0.0,2.59032258065
12.8862559676,0.0,4.74516129032
13.8862559676,0.0,6.99032258065
14.8862559676,0.0,9.15806451613
15.8862559676,0.516129032258,11.3225806452
16.8862559676,1.6,13.3387096774
17.8862559676,3.18387096774,15.1387096774
18.8862559676,4.84193548387,16.0580645161
19.8862559676,6.4935483871,17.3387096774
20.8862559676,8.00322580645,18.2225806452
21.8862559676,9.15161290323,18.8161290323
22.8862559676,9.67741935484,19.8741935484
23.8862559676,9.67741935484,20.3967741935
24.8862559676,11.3322580645,21.0387096774
25.8862559676,12.8580645161,21.5709677419
26.8862559676,14.5612903226,22.0612903226
27.8862559676,16.8225806452,22.5806451613
28.8862559676,19.3451612903,22.5806451613
29.8862559676,22.6935483871,22.5806451613
30.8862559676,24.1806451613,23.635483871
31.8862559676,26.2903225806,24.7290322581
32.8862559676,28.5677419355,25.7677419355
33.8862559676,30.1258064516,27.5451612903
34.8862559676,31.7387096774,29.1483870968
35.8862559676,32.8096774194,31.1580645161
36.8862559676,33.8193548387,33.8870967742
37.8862559676,34.3774193548,36.435483871
38.8862559676,35.4967741935,39.8064516129
39.8862559676,36.4677419355,42.5096774194
40.8862559676,37.0290322581,45.2387096774
41.8862559676,37.6129032258,47.3064516129
43.8862559676,38.7096774194,47.8483870968
44.8862559676,38.7096774194,49.4903225806
45.8862559676,38.7096774194,51.1064516129
46.8862559676,39.2290322581,52.7161290323
47.8862559676,39.7838709677,54.1580645161
48.8862559676,40.2774193548,55.8516129032
49.8862559676,40.7774193548,58.035483871
50.8862559676,41.9516129032,59.1612903226
51.8862559676,44.135483871,59.6709677419
52.8862559676,45.6838709677,60.235483871
53.8862559676,47.5290322581,60.7129032258
54.8862559676,48.9322580645,61.2903225806
55.8862559676,50.5806451613,61.2903225806
56.8862559676,52.2193548387,61.2903225806
57.8862559676,52.6387096774,61.2903225806
58.8862559676,54.3290322581,62.8774193548
59.8862559676,57.0161290323,63.5612903226
60.8862559676,59.6225806452,64.5451612903
61.8862559676,62.9967741935,65.6290322581
62.8862559676,65.7387096774,66.1290322581
63.8862559676,68.2161290323,66.7129032258
64.8862559676,70.4516129032,67.7806451613
65.8862559676,71.9677419355,69.3903225806
66.8862559676,73.5709677419,70.8870967742
67.8862559676,74.7580645161,73.0838709677
68.8862559676,75.7677419355,75.3774193548
69.8862559676,76.9451612903,77.4612903226
70.8862559676,77.4193548387,79.9677419355
71.8862559676,77.4193548387,82.7548387097
72.8862559676,78.0,84.8322580645
73.8862559676,78.5161290323,86.5870967742
74.8862559676,78.9548387097,88.2064516129
75.8862559676,79.5193548387,89.8096774194
76.8862559676,80.0967741935,90.3225806452
77.8862559676,80.6451612903,90.8548387097
78.8862559676,81.1838709677,91.8806451613
79.8862559676,82.2580645161,93.7161290323
80.8862559676,83.2,95.2032258065
81.8862559676,84.5258064516,96.8
82.8862559676,85.9774193548,98.3225806452
83.8862559676,88.8419354839,99.4741935484
84.8862559676,90.9419354839,100.0
85.8862559676,92.9677419355,100.0
86.8862559676,95.164516129,100.0
87.8862559676,97.3774193548,100.0
88.8862559676,98.9129032258,100.0
89.8862559676,99.4774193548,100.0
90.8862559676,100.0,100.0
91.8862559676,100.0,100.0
92.8862559676,100.0,100.0
93.8862559676,100.0,100.0
94.8862559676,100.0,100.0
95.8862559676,100.0,100.0
96.8862559676,100.0,100.0
97.8862559676,100.0,100.0
98.8862559676,100.0,100.0
99.8862559676,100.0,100.0
100,100,100
