votes,seatsR,seatsD
0,0,0
0.442867539248,0.0,0.0
1.44286753925,0.0,0.0
2.44286753925,0.0,0.0
3.44286753925,0.0,0.0
4.44286753925,0.0,0.0
5.44286753925,0.0,0.0
6.44286753925,0.0,0.0
7.44286753925,0.0,0.0
8.44286753925,0.0,0.0
9.44286753925,0.0,0.0
10.4428675392,0.0,0.0
11.4428675392,0.0,0.0
12.4428675392,0.0,0.0
13.4428675392,0.0,0.0
14.4428675392,1.84,0.0
15.4428675392,3.36,0.0
16.4428675392,5.36,0.0
17.4428675392,7.12,0.0
18.4428675392,9.18,0.0
19.4428675392,11.06,0.0
20.4428675392,12.66,0.0
21.4428675392,14.38,0.0
22.4428675392,16.8,0.0
23.4428675392,18.26,0.0
24.4428675392,20.0,0.0
25.4428675392,20.0,0.0
26.4428675392,20.0,0.0
27.4428675392,20.0,2.38
28.4428675392,20.0,4.0
29.4428675392,20.0,5.68
30.4428675392,20.0,7.9
31.4428675392,20.0,8.98
32.4428675392,20.0,12.2
33.4428675392,20.0,16.9
34.4428675392,20.0,20.42
35.4428675392,20.0,24.08
36.4428675392,20.0,26.82
37.4428675392,20.0,30.8
38.4428675392,20.0,32.48
39.4428675392,20.0,33.9
40.4428675392,20.0,38.12
41.4428675392,20.0,41.38
42.4428675392,20.0,45.08
44.4428675392,20.0,47.2
45.4428675392,20.0,50.44
46.4428675392,21.78,54.84
47.4428675392,23.54,58.34
48.4428675392,24.88,62.42
49.4428675392,27.38,65.66
50.4428675392,30.82,69.18
51.4428675392,34.34,72.62
52.4428675392,37.58,75.12
53.4428675392,41.66,76.46
54.4428675392,45.16,78.22
55.4428675392,49.56,80.0
56.4428675392,52.8,80.0
57.4428675392,54.92,80.0
58.4428675392,56.66,80.0
59.4428675392,59.88,80.0
60.4428675392,64.02,80.0
61.4428675392,65.62,80.0
62.4428675392,67.34,80.0
63.4428675392,71.4,80.0
64.4428675392,74.04,80.0
65.4428675392,77.7,80.0
66.4428675392,81.46,80.0
67.4428675392,85.84,80.0
68.4428675392,89.06,80.0
69.4428675392,92.1,80.0
70.4428675392,94.32,80.0
71.4428675392,96.0,80.0
72.4428675392,97.62,80.0
73.4428675392,100.0,80.0
74.4428675392,100.0,80.0
75.4428675392,100.0,80.0
76.4428675392,100.0,81.74
77.4428675392,100.0,83.2
78.4428675392,100.0,85.62
79.4428675392,100.0,87.34
80.4428675392,100.0,88.94
81.4428675392,100.0,90.82
82.4428675392,100.0,92.88
83.4428675392,100.0,94.64
84.4428675392,100.0,96.64
85.4428675392,100.0,98.16
86.4428675392,100.0,100.0
87.4428675392,100.0,100.0
88.4428675392,100.0,100.0
89.4428675392,100.0,100.0
90.4428675392,100.0,100.0
91.4428675392,100.0,100.0
92.4428675392,100.0,100.0
93.4428675392,100.0,100.0
94.4428675392,100.0,100.0
95.4428675392,100.0,100.0
96.4428675392,100.0,100.0
97.4428675392,100.0,100.0
98.4428675392,100.0,100.0
99.4428675392,100.0,100.0
100,100,100
