votes,seatsR,seatsD
0,0,0
0.987987817028,0.0,0.0
1.98798781703,0.0,0.0
2.98798781703,0.0,0.0
3.98798781703,0.0,0.0
4.98798781703,0.0,0.0
5.98798781703,0.0,0.0
6.98798781703,0.0,0.0
7.98798781703,0.0,0.0
8.98798781703,0.0,0.0
9.98798781703,0.0,0.0
10.987987817,0.0,0.0
11.987987817,0.0,0.0
12.987987817,0.0,0.0
13.987987817,0.0,0.0
14.987987817,0.0,0.0
15.987987817,0.0,0.0
16.987987817,0.0,0.0
17.987987817,0.0,0.0
18.987987817,0.0,0.0
19.987987817,0.0,0.0
20.987987817,0.0,0.0
21.987987817,0.0,0.0
22.987987817,0.0,0.0
23.987987817,0.0,0.0
24.987987817,0.0,0.0
25.987987817,0.0,0.0
26.987987817,0.0,0.0
27.987987817,0.0,0.0
28.987987817,0.0,0.0
29.987987817,0.0,0.0
30.987987817,0.0,0.0
31.987987817,0.0,0.0
32.987987817,0.0,0.0
33.987987817,0.0,0.0
34.987987817,0.0,0.0
35.987987817,0.0,0.0
37.987987817,0.0,0.0
38.987987817,0.0,0.0
39.987987817,0.0,0.0
40.987987817,0.0,0.0
41.987987817,0.0,0.0
42.987987817,0.0,0.0
43.987987817,0.0,0.0
44.987987817,0.0,0.0
45.987987817,0.0,0.0
46.987987817,15.5,0.0
47.987987817,34.7,0.0
48.987987817,46.8,0.0
49.987987817,67.9,0.0
50.987987817,82.7,17.3
51.987987817,100.0,32.1
52.987987817,100.0,53.2
53.987987817,100.0,65.3
54.987987817,100.0,84.5
55.987987817,100.0,100.0
56.987987817,100.0,100.0
57.987987817,100.0,100.0
58.987987817,100.0,100.0
59.987987817,100.0,100.0
60.987987817,100.0,100.0
61.987987817,100.0,100.0
62.987987817,100.0,100.0
63.987987817,100.0,100.0
64.987987817,100.0,100.0
65.987987817,100.0,100.0
66.987987817,100.0,100.0
67.987987817,100.0,100.0
68.987987817,100.0,100.0
69.987987817,100.0,100.0
70.987987817,100.0,100.0
71.987987817,100.0,100.0
72.987987817,100.0,100.0
73.987987817,100.0,100.0
74.987987817,100.0,100.0
75.987987817,100.0,100.0
76.987987817,100.0,100.0
77.987987817,100.0,100.0
78.987987817,100.0,100.0
79.987987817,100.0,100.0
80.987987817,100.0,100.0
81.987987817,100.0,100.0
82.987987817,100.0,100.0
83.987987817,100.0,100.0
84.987987817,100.0,100.0
85.987987817,100.0,100.0
86.987987817,100.0,100.0
87.987987817,100.0,100.0
88.987987817,100.0,100.0
89.987987817,100.0,100.0
90.987987817,100.0,100.0
91.987987817,100.0,100.0
92.987987817,100.0,100.0
93.987987817,100.0,100.0
94.987987817,100.0,100.0
95.987987817,100.0,100.0
96.987987817,100.0,100.0
97.987987817,100.0,100.0
98.987987817,100.0,100.0
99.987987817,100.0,100.0
100,100,100
