votes,seatsR,seatsD
0,0,0
0.999264679781,0.0,0.0
1.99926467978,0.0,0.0
2.99926467978,0.0,0.0
3.99926467978,0.0,0.0
4.99926467978,0.0,0.0
5.99926467978,0.0,0.0
6.99926467978,0.0,0.0
7.99926467978,0.0,0.0
8.99926467978,0.0,0.0
9.99926467978,0.0,0.0
10.9992646798,0.0,0.0
11.9992646798,0.0,0.0
12.9992646798,0.0,0.0
13.9992646798,0.0,0.0
14.9992646798,0.0,0.0
15.9992646798,0.0,0.0
16.9992646798,0.0,0.0
17.9992646798,0.0,0.0
18.9992646798,0.0,0.0
19.9992646798,0.0,0.0
20.9992646798,0.0,0.0
21.9992646798,0.0,0.0
22.9992646798,0.0,0.0
23.9992646798,0.0,0.0
24.9992646798,0.0,0.0
25.9992646798,0.0,0.0
26.9992646798,0.0,0.0
27.9992646798,0.0,0.0
28.9992646798,0.0,0.0
29.9992646798,0.0,0.0
30.9992646798,0.0,0.0
31.9992646798,0.0,0.0
32.9992646798,0.0,0.0
33.9992646798,0.0,0.0
34.9992646798,0.0,0.0
35.9992646798,0.0,0.0
36.9992646798,0.0,0.0
37.9992646798,0.0,0.0
38.9992646798,3.75,0.0
39.9992646798,8.85,0.0
40.9992646798,13.8,4.3
41.9992646798,18.25,9.45
42.9992646798,23.1,12.85
43.9992646798,28.15,18.2
44.9992646798,32.0,22.5
45.9992646798,34.55,26.1
46.9992646798,40.7,31.9
47.9992646798,45.85,34.9
48.9992646798,54.3,40.1
49.9992646798,58.45,45.95
50.9992646798,64.1,54.65
51.9992646798,69.65,58.9
52.9992646798,72.4,63.4
53.9992646798,78.25,69.45
54.9992646798,82.05,72.3
55.9992646798,85.95,76.2
56.9992646798,91.6,80.55
57.9992646798,94.7,86.25
58.9992646798,100.0,91.05
59.9992646798,100.0,95.75
60.9992646798,100.0,100.0
61.9992646798,100.0,100.0
62.9992646798,100.0,100.0
63.9992646798,100.0,100.0
65.9992646798,100.0,100.0
66.9992646798,100.0,100.0
67.9992646798,100.0,100.0
68.9992646798,100.0,100.0
69.9992646798,100.0,100.0
70.9992646798,100.0,100.0
71.9992646798,100.0,100.0
72.9992646798,100.0,100.0
73.9992646798,100.0,100.0
74.9992646798,100.0,100.0
75.9992646798,100.0,100.0
76.9992646798,100.0,100.0
77.9992646798,100.0,100.0
78.9992646798,100.0,100.0
79.9992646798,100.0,100.0
80.9992646798,100.0,100.0
81.9992646798,100.0,100.0
82.9992646798,100.0,100.0
83.9992646798,100.0,100.0
84.9992646798,100.0,100.0
85.9992646798,100.0,100.0
86.9992646798,100.0,100.0
87.9992646798,100.0,100.0
88.9992646798,100.0,100.0
89.9992646798,100.0,100.0
90.9992646798,100.0,100.0
91.9992646798,100.0,100.0
92.9992646798,100.0,100.0
93.9992646798,100.0,100.0
94.9992646798,100.0,100.0
95.9992646798,100.0,100.0
96.9992646798,100.0,100.0
97.9992646798,100.0,100.0
98.9992646798,100.0,100.0
99.9992646798,100.0,100.0
100,100,100
