votes,seatsR,seatsD
0,0,0
0.802816767373,0.0,0.0
1.80281676737,0.0,0.210526315789
2.80281676737,0.0,1.29473684211
3.80281676737,0.0,2.44210526316
4.80281676737,0.0,3.49473684211
5.80281676737,0.0,4.75789473684
6.80281676737,0.0,5.89473684211
7.80281676737,0.0,6.42631578947
8.80281676737,0.0,7.86842105263
9.80281676737,0.0,8.73684210526
10.8028167674,0.0,9.52105263158
11.8028167674,0.0,10.5263157895
12.8028167674,0.0,10.5263157895
13.8028167674,0.0,10.5263157895
14.8028167674,0.0,10.9684210526
15.8028167674,0.0,12.0736842105
16.8028167674,0.0,12.9842105263
17.8028167674,0.0,13.9368421053
18.8028167674,0.0,14.9736842105
19.8028167674,0.0,15.8157894737
20.8028167674,0.0,16.6210526316
21.8028167674,0.0,17.5894736842
22.8028167674,0.0,18.6736842105
23.8028167674,0.868421052632,19.5473684211
24.8028167674,3.32105263158,20.5736842105
25.8028167674,5.41578947368,21.0526315789
26.8028167674,8.33684210526,21.0526315789
27.8028167674,11.3631578947,21.0526315789
28.8028167674,13.6421052632,21.0526315789
29.8028167674,16.8315789474,21.0526315789
30.8028167674,19.4842105263,21.0526315789
31.8028167674,22.5473684211,21.0526315789
32.8028167674,27.1263157895,21.5736842105
33.8028167674,29.0052631579,21.9789473684
34.8028167674,31.9947368421,22.5052631579
35.8028167674,33.7052631579,22.9842105263
36.8028167674,35.3473684211,23.5
37.8028167674,37.3315789474,25.0105263158
38.8028167674,38.9894736842,26.5368421053
39.8028167674,41.0578947368,27.7315789474
40.8028167674,42.9368421053,29.5684210526
41.8028167674,45.4947368421,31.4894736842
42.8028167674,47.7105263158,33.5842105263
43.8028167674,49.6578947368,34.9631578947
44.8028167674,51.5368421053,36.3789473684
45.8028167674,53.0736842105,36.3263157895
46.8028167674,54.3789473684,37.7
47.8028167674,55.9210526316,39.7947368421
48.8028167674,57.5578947368,41.6526315789
49.8028167674,58.4315789474,42.5473684211
50.8028167674,60.2789473684,43.9947368421
51.8028167674,62.0631578947,45.5578947368
52.8028167674,63.6631578947,47.0578947368
53.8028167674,65.1315789474,48.3842105263
55.8028167674,64.9,50.3157894737
56.8028167674,66.5210526316,52.1842105263
57.8028167674,68.2578947368,54.7789473684
58.8028167674,70.4736842105,56.8947368421
59.8028167674,72.3368421053,58.9105263158
60.8028167674,73.7,60.8315789474
61.8028167674,74.8105263158,62.8631578947
62.8028167674,76.4789473684,64.6526315789
63.8028167674,76.9894736842,66.5684210526
64.8028167674,77.4578947368,67.8210526316
65.8028167674,77.9947368421,69.4368421053
66.8028167674,78.4473684211,72.7052631579
67.8028167674,78.9473684211,76.2421052632
68.8028167674,78.9473684211,78.7894736842
69.8028167674,78.9473684211,81.9052631579
70.8028167674,78.9473684211,84.7421052632
71.8028167674,78.9473684211,87.6894736842
72.8028167674,78.9473684211,90.1421052632
73.8028167674,78.9473684211,92.7157894737
74.8028167674,79.4157894737,95.5315789474
75.8028167674,79.9,97.5789473684
76.8028167674,80.9052631579,100.0
77.8028167674,81.7421052632,100.0
78.8028167674,82.9,100.0
79.8028167674,83.8684210526,100.0
80.8028167674,84.6526315789,100.0
81.8028167674,85.5631578947,100.0
82.8028167674,86.5684210526,100.0
83.8028167674,87.6,100.0
84.8028167674,88.4736842105,100.0
85.8028167674,89.0315789474,100.0
86.8028167674,89.4736842105,100.0
87.8028167674,89.4736842105,100.0
88.8028167674,90.4210526316,100.0
89.8028167674,91.4789473684,100.0
90.8028167674,92.1631578947,100.0
91.8028167674,93.1842105263,100.0
92.8028167674,94.3736842105,100.0
93.8028167674,95.1684210526,100.0
94.8028167674,96.4052631579,100.0
95.8028167674,97.7368421053,100.0
96.8028167674,98.8052631579,100.0
97.8028167674,99.8473684211,100.0
98.8028167674,100.0,100.0
99.8028167674,100.0,100.0
100,100,100
