votes,seatsR,seatsD
0,0,0
0.674241421443,0.0,0.0
1.67424142144,0.0,0.0
2.67424142144,0.0,0.0
3.67424142144,0.0,0.0
4.67424142144,0.0,0.0
5.67424142144,0.0,0.0
6.67424142144,0.0,0.0
7.67424142144,0.0,0.0
8.67424142144,0.0,0.0
9.67424142144,0.0,0.0
10.6742414214,0.0,0.0
11.6742414214,0.0,0.0
12.6742414214,0.0,0.0
13.6742414214,0.0,0.0
14.6742414214,0.0,0.0
15.6742414214,0.0,0.5
16.6742414214,0.0,1.10625
17.6742414214,0.0,1.521875
18.6742414214,0.0,2.6125
19.6742414214,0.0,3.534375
20.6742414214,0.0,4.65
21.6742414214,0.0,5.709375
22.6742414214,0.0,6.859375
23.6742414214,0.0,7.85
24.6742414214,0.0,8.31875
25.6742414214,0.54375,8.85
26.6742414214,0.953125,9.81875
27.6742414214,1.5875,10.825
28.6742414214,2.471875,12.55
29.6742414214,4.8,13.94375
30.6742414214,7.240625,15.528125
31.6742414214,9.296875,17.6125
32.6742414214,11.6,19.771875
33.6742414214,14.690625,21.31875
34.6742414214,17.171875,23.475
35.6742414214,19.196875,25.5375
36.6742414214,21.84375,27.725
37.6742414214,24.365625,30.365625
38.6742414214,26.996875,32.284375
39.6742414214,28.621875,34.421875
40.6742414214,30.759375,35.471875
41.6742414214,32.78125,37.521875
42.6742414214,33.95,39.5875
43.6742414214,35.528125,40.540625
44.6742414214,37.4875,46.83125
45.6742414214,40.109375,47.965625
46.6742414214,42.95625,48.96875
47.6742414214,44.9375,49.4375
48.6742414214,46.846875,51.034375
49.6742414214,48.4875,52.040625
50.6742414214,49.98125,53.659375
51.6742414214,51.09375,55.603125
52.6742414214,52.08125,58.078125
53.6742414214,53.05625,61.509375
54.6742414214,54.2125,63.509375
56.6742414214,59.459375,65.434375
57.6742414214,60.928125,67.059375
58.6742414214,63.00625,69.253125
59.6742414214,65.04375,71.4375
60.6742414214,66.60625,72.9
61.6742414214,68.75625,74.615625
62.6742414214,70.684375,77.046875
63.6742414214,72.834375,79.75
64.6742414214,74.996875,81.721875
65.6742414214,76.9875,83.84375
66.6742414214,78.68125,86.421875
67.6742414214,80.6625,89.4
68.6742414214,82.928125,91.659375
69.6742414214,84.975,94.3
70.6742414214,86.565625,96.303125
71.6742414214,87.93125,98.034375
72.6742414214,89.653125,98.85
73.6742414214,90.18125,99.453125
74.6742414214,91.15,100.0
75.6742414214,91.68125,100.0
76.6742414214,92.15,100.0
77.6742414214,93.140625,100.0
78.6742414214,94.290625,100.0
79.6742414214,95.828125,100.0
80.6742414214,96.965625,100.0
81.6742414214,97.96875,100.0
82.6742414214,98.990625,100.0
83.6742414214,99.490625,100.0
84.6742414214,100.0,100.0
85.6742414214,100.0,100.0
86.6742414214,100.0,100.0
87.6742414214,100.0,100.0
88.6742414214,100.0,100.0
89.6742414214,100.0,100.0
90.6742414214,100.0,100.0
91.6742414214,100.0,100.0
92.6742414214,100.0,100.0
93.6742414214,100.0,100.0
94.6742414214,100.0,100.0
95.6742414214,100.0,100.0
96.6742414214,100.0,100.0
97.6742414214,100.0,100.0
98.6742414214,100.0,100.0
99.6742414214,100.0,100.0
100,100,100
