votes,seatsR,seatsD
0,0,0
0.0697848656748,0.0,0.0
1.06978486567,0.0,0.0
2.06978486567,0.0,0.0
3.06978486567,0.0,0.0
4.06978486567,0.0,0.0
5.06978486567,0.0,0.0
6.06978486567,0.0,0.0
7.06978486567,0.0,0.0
8.06978486567,0.0,0.0
9.06978486567,0.0,0.0
10.0697848657,0.0,0.0
11.0697848657,0.0,0.0
12.0697848657,0.0,0.0
13.0697848657,0.0,0.0
14.0697848657,0.0,0.0
15.0697848657,0.0,0.0
16.0697848657,0.0,0.0
17.0697848657,0.0,0.0
18.0697848657,0.0,0.0
19.0697848657,0.0,0.0
20.0697848657,0.0,0.0
21.0697848657,0.0,0.0
22.0697848657,0.0,0.0
23.0697848657,0.0,0.0
24.0697848657,0.0,0.0
25.0697848657,0.0,0.0
26.0697848657,0.0,0.0
27.0697848657,0.0,0.0
28.0697848657,0.0,0.0
29.0697848657,0.0,0.0
30.0697848657,0.0,0.0
31.0697848657,0.0,0.0
32.0697848657,0.0,0.0
33.0697848657,0.0,0.0
34.0697848657,0.0,0.0
35.0697848657,0.0,0.0
36.0697848657,0.0,0.0
37.0697848657,0.0,0.0
38.0697848657,0.0,0.0
39.0697848657,0.0,0.0
40.0697848657,0.0,0.0
41.0697848657,0.0,0.0
42.0697848657,0.0,0.0
43.0697848657,0.0,0.0
44.0697848657,0.0,0.0
45.0697848657,0.0,17.2
46.0697848657,0.0,30.7
47.0697848657,0.0,50.2
48.0697848657,0.0,64.7
49.0697848657,17.6,82.4
50.0697848657,35.3,100.0
51.0697848657,49.8,100.0
52.0697848657,69.3,100.0
53.0697848657,82.8,100.0
54.0697848657,100.0,100.0
55.0697848657,100.0,100.0
56.0697848657,100.0,100.0
57.0697848657,100.0,100.0
58.0697848657,100.0,100.0
59.0697848657,100.0,100.0
60.0697848657,100.0,100.0
61.0697848657,100.0,100.0
62.0697848657,100.0,100.0
63.0697848657,100.0,100.0
64.0697848657,100.0,100.0
65.0697848657,100.0,100.0
66.0697848657,100.0,100.0
67.0697848657,100.0,100.0
68.0697848657,100.0,100.0
69.0697848657,100.0,100.0
70.0697848657,100.0,100.0
71.0697848657,100.0,100.0
72.0697848657,100.0,100.0
73.0697848657,100.0,100.0
74.0697848657,100.0,100.0
75.0697848657,100.0,100.0
77.0697848657,100.0,100.0
78.0697848657,100.0,100.0
79.0697848657,100.0,100.0
80.0697848657,100.0,100.0
81.0697848657,100.0,100.0
82.0697848657,100.0,100.0
83.0697848657,100.0,100.0
84.0697848657,100.0,100.0
85.0697848657,100.0,100.0
86.0697848657,100.0,100.0
87.0697848657,100.0,100.0
88.0697848657,100.0,100.0
89.0697848657,100.0,100.0
90.0697848657,100.0,100.0
91.0697848657,100.0,100.0
92.0697848657,100.0,100.0
93.0697848657,100.0,100.0
94.0697848657,100.0,100.0
95.0697848657,100.0,100.0
96.0697848657,100.0,100.0
97.0697848657,100.0,100.0
98.0697848657,100.0,100.0
99.0697848657,100.0,100.0
100,100,100
