votes,seatsR,seatsD
0,0,0
0.496888776497,0.0,0.0
1.4968887765,0.0,0.0
2.4968887765,0.0,0.0
3.4968887765,0.0,0.0
4.4968887765,0.0,0.0
5.4968887765,0.0,0.0
6.4968887765,0.0,0.0
7.4968887765,0.0,0.0
8.4968887765,0.0,0.0
9.4968887765,0.0,0.0
10.4968887765,0.0,0.0
11.4968887765,0.0,0.0
12.4968887765,0.0,0.0
13.4968887765,0.0,0.0
14.4968887765,0.0,0.0
15.4968887765,0.0,0.0
16.4968887765,0.0,0.0
17.4968887765,0.0,0.0
18.4968887765,0.0,0.0
19.4968887765,0.0,0.0
20.4968887765,0.0,0.0
21.4968887765,0.0,0.0
22.4968887765,0.0,0.0
23.4968887765,0.0,0.0
24.4968887765,0.0,0.0
25.4968887765,0.0,0.0
26.4968887765,0.0,0.0
27.4968887765,0.0,0.0
28.4968887765,0.0,0.0
29.4968887765,0.0,0.0
30.4968887765,0.0,3.6
31.4968887765,0.0,6.58
32.4968887765,3.34,13.48
33.4968887765,6.56,20.34
34.4968887765,10.14,26.76
35.4968887765,13.3,33.34
36.4968887765,16.46,36.62
37.4968887765,20.0,40.0
38.4968887765,20.0,40.0
39.4968887765,23.12,40.0
40.4968887765,26.98,40.0
41.4968887765,33.42,40.0
42.4968887765,38.9,40.0
43.4968887765,46.62,40.0
45.4968887765,60.0,40.0
46.4968887765,60.0,40.0
47.4968887765,60.0,40.0
48.4968887765,60.0,40.0
49.4968887765,60.0,40.0
50.4968887765,60.0,40.0
51.4968887765,60.0,40.0
52.4968887765,60.0,40.0
53.4968887765,60.0,40.0
54.4968887765,60.0,40.0
55.4968887765,60.0,40.0
56.4968887765,60.0,53.38
57.4968887765,60.0,61.1
58.4968887765,60.0,66.58
59.4968887765,60.0,73.02
60.4968887765,60.0,76.88
61.4968887765,60.0,80.0
62.4968887765,60.0,80.0
63.4968887765,63.38,83.54
64.4968887765,66.66,86.7
65.4968887765,73.24,89.86
66.4968887765,79.66,93.44
67.4968887765,86.52,96.66
68.4968887765,93.42,100.0
69.4968887765,96.4,100.0
70.4968887765,100.0,100.0
71.4968887765,100.0,100.0
72.4968887765,100.0,100.0
73.4968887765,100.0,100.0
74.4968887765,100.0,100.0
75.4968887765,100.0,100.0
76.4968887765,100.0,100.0
77.4968887765,100.0,100.0
78.4968887765,100.0,100.0
79.4968887765,100.0,100.0
80.4968887765,100.0,100.0
81.4968887765,100.0,100.0
82.4968887765,100.0,100.0
83.4968887765,100.0,100.0
84.4968887765,100.0,100.0
85.4968887765,100.0,100.0
86.4968887765,100.0,100.0
87.4968887765,100.0,100.0
88.4968887765,100.0,100.0
89.4968887765,100.0,100.0
90.4968887765,100.0,100.0
91.4968887765,100.0,100.0
92.4968887765,100.0,100.0
93.4968887765,100.0,100.0
94.4968887765,100.0,100.0
95.4968887765,100.0,100.0
96.4968887765,100.0,100.0
97.4968887765,100.0,100.0
98.4968887765,100.0,100.0
99.4968887765,100.0,100.0
100,100,100
