votes,seatsR,seatsD
0,0,0
0.608185777855,0.0,0.0
1.60818577786,0.0,0.0
2.60818577786,0.0,0.0
3.60818577786,0.0,0.0
4.60818577786,0.0,0.0
5.60818577786,0.0,0.0
6.60818577786,0.0,0.0
7.60818577786,0.0,0.0
8.60818577786,0.0,0.0
9.60818577786,1.225,0.0
10.6081857779,2.1875,0.0
11.6081857779,3.6125,0.0
12.6081857779,4.7375,0.0
13.6081857779,5.5875,0.0
14.6081857779,6.8625,0.0
15.6081857779,8.8375,0.0
16.6081857779,11.8625,0.0
17.6081857779,13.4375,0.0
18.6081857779,15.9625,0.0
19.6081857779,17.875,0.0
20.6081857779,19.4,0.0
21.6081857779,20.1375,0.0
22.6081857779,21.4625,0.0
23.6081857779,23.1375,0.0
24.6081857779,24.0125,1.2125
25.6081857779,25.0,2.2875
26.6081857779,25.0,3.5625
27.6081857779,25.0,4.3
28.6081857779,25.0,8.125
29.6081857779,25.0,11.05
30.6081857779,25.0,14.6375
31.6081857779,25.0,17.4125
32.6081857779,25.0,21.4375
33.6081857779,25.0,26.15
34.6081857779,25.0,31.1625
35.6081857779,25.0,35.1375
36.6081857779,25.0,39.2375
37.6081857779,25.0,44.0625
38.6081857779,25.0,50.125
39.6081857779,25.0,53.775
41.6081857779,25.0,57.0375
42.6081857779,25.0,59.7875
43.6081857779,25.0,64.0875
44.6081857779,25.0,67.425
45.6081857779,25.0,69.4625
46.6081857779,25.0,71.5
47.6081857779,25.0,72.5
48.6081857779,25.0,73.975
49.6081857779,25.0,75.0
50.6081857779,25.0,75.0
51.6081857779,25.0,75.0
52.6081857779,26.025,75.0
53.6081857779,27.5,75.0
54.6081857779,28.5,75.0
55.6081857779,30.5375,75.0
56.6081857779,32.575,75.0
57.6081857779,35.9125,75.0
58.6081857779,40.2125,75.0
59.6081857779,42.9625,75.0
60.6081857779,46.225,75.0
61.6081857779,52.0625,75.0
62.6081857779,57.8625,75.0
63.6081857779,63.1375,75.0
64.6081857779,67.475,75.0
65.6081857779,72.3875,75.0
66.6081857779,77.525,75.0
67.6081857779,81.9875,75.0
68.6081857779,85.7875,75.0
69.6081857779,88.7,75.0
70.6081857779,91.95,75.0
71.6081857779,95.2625,75.0
72.6081857779,96.7,75.0
73.6081857779,97.55,75.0
74.6081857779,98.8125,75.0
75.6081857779,100.0,75.9875
76.6081857779,100.0,76.8625
77.6081857779,100.0,78.5375
78.6081857779,100.0,79.8625
79.6081857779,100.0,80.6
80.6081857779,100.0,82.125
81.6081857779,100.0,84.0375
82.6081857779,100.0,86.5625
83.6081857779,100.0,88.1375
84.6081857779,100.0,91.1625
85.6081857779,100.0,93.1375
86.6081857779,100.0,94.4125
87.6081857779,100.0,95.2625
88.6081857779,100.0,96.3875
89.6081857779,100.0,97.8125
90.6081857779,100.0,98.775
91.6081857779,100.0,100.0
92.6081857779,100.0,100.0
93.6081857779,100.0,100.0
94.6081857779,100.0,100.0
95.6081857779,100.0,100.0
96.6081857779,100.0,100.0
97.6081857779,100.0,100.0
98.6081857779,100.0,100.0
99.6081857779,100.0,100.0
100,100,100
