votes,seatsR,seatsD
0,0,0
0.0733534622816,0.0,0.0
1.07335346228,0.0,0.0
2.07335346228,0.0,0.0
3.07335346228,0.0,0.0
4.07335346228,0.0,0.0
5.07335346228,0.0,0.0
6.07335346228,0.0,0.0
7.07335346228,0.0,0.0
8.07335346228,0.0,0.0
9.07335346228,0.0,0.0
10.0733534623,0.0,0.0
11.0733534623,0.0,0.0
12.0733534623,0.0,0.0
13.0733534623,0.0,0.0
14.0733534623,0.0,0.0
15.0733534623,0.0,0.0
16.0733534623,0.0,0.0
17.0733534623,0.0,0.0
18.0733534623,0.0,0.0
19.0733534623,0.0,0.0
20.0733534623,0.0,0.0
21.0733534623,0.0,0.0
22.0733534623,0.0,0.0
23.0733534623,0.0,0.0
24.0733534623,0.0,0.0
25.0733534623,0.0,1.42307692308
26.0733534623,0.0,2.62307692308
27.0733534623,1.28461538462,4.03846153846
28.0733534623,2.65384615385,5.10769230769
29.0733534623,3.85384615385,6.38461538462
30.0733534623,7.6,7.69230769231
31.0733534623,11.5076923077,7.69230769231
32.0733534623,15.4230769231,8.93076923077
33.0733534623,18.1461538462,10.3
34.0733534623,20.4384615385,14.1307692308
35.0733534623,23.0769230769,18.0461538462
36.0733534623,24.4461538462,23.0538461538
37.0733534623,25.8076923077,28.4769230769
38.0733534623,26.8153846154,31.9461538462
39.0733534623,28.3076923077,35.9846153846
40.0733534623,29.5384615385,38.4
41.0733534623,30.7692307692,40.8230769231
42.0733534623,32.1076923077,42.3384615385
43.0733534623,33.3153846154,43.4384615385
44.0733534623,34.6692307692,44.9
45.0733534623,37.1076923077,46.1538461538
46.0733534623,41.0230769231,46.1538461538
47.0733534623,44.9615384615,46.1538461538
48.0733534623,47.1307692308,46.1538461538
49.0733534623,50.0076923077,47.4692307692
50.0733534623,52.4307692308,50.0846153846
52.0733534623,53.8461538462,52.3769230769
53.0733534623,53.8461538462,55.2846153846
54.0733534623,53.8461538462,58.9923076923
55.0733534623,53.8461538462,62.7153846154
56.0733534623,55.1769230769,65.5076923077
57.0733534623,56.3384615385,66.4384615385
58.0733534623,57.8,68.0153846154
59.0733534623,59.0,69.2307692308
60.0733534623,61.4923076923,70.5230769231
61.0733534623,65.2846153846,71.7461538462
62.0733534623,68.8384615385,72.8692307692
63.0733534623,73.1384615385,74.2230769231
64.0733534623,77.8538461538,75.6923076923
65.0733534623,83.2230769231,76.9230769231
66.0733534623,87.1,79.3846153846
67.0733534623,89.6923076923,82.0230769231
68.0733534623,91.1692307692,84.5538461538
69.0733534623,92.3076923077,88.3307692308
70.0733534623,92.3076923077,92.2230769231
71.0733534623,93.6923076923,96.1538461538
72.0733534623,94.6846153846,97.4538461538
73.0733534623,96.2076923077,98.7538461538
74.0733534623,97.2769230769,100.0
75.0733534623,98.7,100.0
76.0733534623,100.0,100.0
77.0733534623,100.0,100.0
78.0733534623,100.0,100.0
79.0733534623,100.0,100.0
80.0733534623,100.0,100.0
81.0733534623,100.0,100.0
82.0733534623,100.0,100.0
83.0733534623,100.0,100.0
84.0733534623,100.0,100.0
85.0733534623,100.0,100.0
86.0733534623,100.0,100.0
87.0733534623,100.0,100.0
88.0733534623,100.0,100.0
89.0733534623,100.0,100.0
90.0733534623,100.0,100.0
91.0733534623,100.0,100.0
92.0733534623,100.0,100.0
93.0733534623,100.0,100.0
94.0733534623,100.0,100.0
95.0733534623,100.0,100.0
96.0733534623,100.0,100.0
97.0733534623,100.0,100.0
98.0733534623,100.0,100.0
99.0733534623,100.0,100.0
100,100,100
