votes,seatsR,seatsD
0,0,0
0.924225603177,0.0,0.0
1.92422560318,0.0,0.0
2.92422560318,0.0,0.0
3.92422560318,0.0,0.0
4.92422560318,0.0,0.0
5.92422560318,0.0,0.0
6.92422560318,0.0,0.0
7.92422560318,0.0,0.0
8.92422560318,0.0,0.0
9.92422560318,0.0,0.0
10.9242256032,0.0,0.0
11.9242256032,0.0,0.0
12.9242256032,0.0,0.0
13.9242256032,0.0,0.0
14.9242256032,0.0,0.0
15.9242256032,0.0,0.0
16.9242256032,0.0,0.0
17.9242256032,0.0,0.0
18.9242256032,0.0,0.0
19.9242256032,0.0,0.0
20.9242256032,0.0,0.0
21.9242256032,0.0,0.0
22.9242256032,0.0,0.0
23.9242256032,0.0,0.0
24.9242256032,0.0,0.0
25.9242256032,0.0,0.0
26.9242256032,0.0,0.0
27.9242256032,0.0,0.0
28.9242256032,0.0,0.0
29.9242256032,0.0,0.0
30.9242256032,0.0,0.0
31.9242256032,0.0,0.0
32.9242256032,0.0,0.0
33.9242256032,0.0,0.0
34.9242256032,0.0,0.0
35.9242256032,0.0,0.0
36.9242256032,0.0,0.0
37.9242256032,0.0,0.0
38.9242256032,0.0,0.0
39.9242256032,0.0,0.0
40.9242256032,0.0,0.0
41.9242256032,0.0,0.0
42.9242256032,4.4,0.0
43.9242256032,8.8,5.2
44.9242256032,13.2,8.3
45.9242256032,23.45,13.85
46.9242256032,30.65,23.55
47.9242256032,41.45,31.65
48.9242256032,50.4,40.6
49.9242256032,56.75,51.45
50.9242256032,67.85,59.35
51.9242256032,78.5,67.8
52.9242256032,86.15,77.15
53.9242256032,90.75,86.0
54.9242256032,95.45,91.4
55.9242256032,100.0,95.3
56.9242256032,100.0,100.0
57.9242256032,100.0,100.0
58.9242256032,100.0,100.0
59.9242256032,100.0,100.0
60.9242256032,100.0,100.0
62.9242256032,100.0,100.0
63.9242256032,100.0,100.0
64.9242256032,100.0,100.0
65.9242256032,100.0,100.0
66.9242256032,100.0,100.0
67.9242256032,100.0,100.0
68.9242256032,100.0,100.0
69.9242256032,100.0,100.0
70.9242256032,100.0,100.0
71.9242256032,100.0,100.0
72.9242256032,100.0,100.0
73.9242256032,100.0,100.0
74.9242256032,100.0,100.0
75.9242256032,100.0,100.0
76.9242256032,100.0,100.0
77.9242256032,100.0,100.0
78.9242256032,100.0,100.0
79.9242256032,100.0,100.0
80.9242256032,100.0,100.0
81.9242256032,100.0,100.0
82.9242256032,100.0,100.0
83.9242256032,100.0,100.0
84.9242256032,100.0,100.0
85.9242256032,100.0,100.0
86.9242256032,100.0,100.0
87.9242256032,100.0,100.0
88.9242256032,100.0,100.0
89.9242256032,100.0,100.0
90.9242256032,100.0,100.0
91.9242256032,100.0,100.0
92.9242256032,100.0,100.0
93.9242256032,100.0,100.0
94.9242256032,100.0,100.0
95.9242256032,100.0,100.0
96.9242256032,100.0,100.0
97.9242256032,100.0,100.0
98.9242256032,100.0,100.0
99.9242256032,100.0,100.0
100,100,100
