votes,seatsR,seatsD
0,0,0
0.434629524406,0.0,0.0
1.43462952441,0.0,0.0
2.43462952441,0.0,0.0
3.43462952441,0.0,0.0
4.43462952441,0.0,0.0
5.43462952441,0.0,0.0
6.43462952441,0.0,0.0
7.43462952441,0.0,0.0
8.43462952441,0.0,0.0
9.43462952441,0.0,0.0
10.4346295244,0.0,0.0
11.4346295244,0.0,0.0
12.4346295244,0.0,0.0
13.4346295244,0.0,0.0
14.4346295244,0.0,0.0
15.4346295244,0.0,0.0
16.4346295244,0.0,0.0
17.4346295244,0.0,0.0
18.4346295244,0.0,0.0
19.4346295244,0.0,0.0
20.4346295244,0.0,0.0
21.4346295244,0.0,0.0
22.4346295244,0.0,0.0
23.4346295244,0.0,0.0
24.4346295244,0.0,0.0
25.4346295244,0.0,2.75
26.4346295244,0.0,5.45
27.4346295244,0.0,8.55
28.4346295244,0.0,10.95
29.4346295244,0.0,14.15
30.4346295244,0.0,16.6666666667
31.4346295244,0.0,19.6
32.4346295244,0.0,22.0833333333
33.4346295244,0.0,24.7666666667
34.4346295244,2.68333333333,27.5666666667
35.4346295244,5.3,30.65
36.4346295244,8.28333333333,33.3333333333
37.4346295244,13.5166666667,33.3333333333
38.4346295244,22.5833333333,33.3333333333
39.4346295244,29.7833333333,33.3333333333
40.4346295244,36.0666666667,33.3333333333
41.4346295244,41.6833333333,33.3333333333
42.4346295244,47.15,33.3333333333
43.4346295244,50.0,33.3333333333
44.4346295244,50.0,36.1
45.4346295244,50.0,38.95
46.4346295244,50.0,41.6666666667
47.4346295244,50.0,44.6666666667
48.4346295244,50.0,47.4833333333
49.4346295244,50.0,50.0
50.4346295244,52.5166666667,50.0
51.4346295244,55.3333333333,50.0
52.4346295244,58.3333333333,50.0
53.4346295244,61.05,50.0
54.4346295244,63.9,50.0
56.4346295244,66.6666666667,50.0
57.4346295244,66.6666666667,52.85
58.4346295244,66.6666666667,58.3166666667
59.4346295244,66.6666666667,63.9333333333
60.4346295244,66.6666666667,70.2166666667
61.4346295244,66.6666666667,77.4166666667
62.4346295244,66.6666666667,86.4833333333
63.4346295244,66.6666666667,91.7166666667
64.4346295244,66.6666666667,94.7
65.4346295244,69.3333333333,97.3166666667
66.4346295244,72.3,100.0
67.4346295244,74.9166666667,100.0
68.4346295244,77.5833333333,100.0
69.4346295244,80.8166666667,100.0
70.4346295244,85.85,100.0
71.4346295244,89.05,100.0
72.4346295244,91.45,100.0
73.4346295244,94.55,100.0
74.4346295244,97.25,100.0
75.4346295244,100.0,100.0
76.4346295244,100.0,100.0
77.4346295244,100.0,100.0
78.4346295244,100.0,100.0
79.4346295244,100.0,100.0
80.4346295244,100.0,100.0
81.4346295244,100.0,100.0
82.4346295244,100.0,100.0
83.4346295244,100.0,100.0
84.4346295244,100.0,100.0
85.4346295244,100.0,100.0
86.4346295244,100.0,100.0
87.4346295244,100.0,100.0
88.4346295244,100.0,100.0
89.4346295244,100.0,100.0
90.4346295244,100.0,100.0
91.4346295244,100.0,100.0
92.4346295244,100.0,100.0
93.4346295244,100.0,100.0
94.4346295244,100.0,100.0
95.4346295244,100.0,100.0
96.4346295244,100.0,100.0
97.4346295244,100.0,100.0
98.4346295244,100.0,100.0
99.4346295244,100.0,100.0
100,100,100
