votes,seatsR,seatsD
0,0,0
0.297844552661,0.0,0.0
1.29784455266,0.0,0.0
2.29784455266,0.0,0.0
3.29784455266,0.0,0.0
4.29784455266,0.0,0.0
5.29784455266,0.0,0.0
6.29784455266,0.0,0.0
7.29784455266,0.0,0.0
8.29784455266,0.0,0.0
9.29784455266,0.0,0.0
10.2978445527,0.0,0.0
11.2978445527,0.0,0.0
12.2978445527,0.0,0.0
13.2978445527,0.0,0.0
14.2978445527,0.0,0.0
15.2978445527,0.0,0.0
16.2978445527,0.0,0.0
17.2978445527,0.0,0.0
18.2978445527,0.0,0.0
19.2978445527,0.0,0.0
20.2978445527,0.0,0.0
21.2978445527,0.0,0.0
22.2978445527,0.0,0.0
23.2978445527,0.0,0.0
24.2978445527,0.0,0.0
25.2978445527,0.0,0.0
26.2978445527,0.0,0.0
27.2978445527,0.0,0.0
28.2978445527,0.0,0.0
29.2978445527,0.0,0.0
30.2978445527,0.0,0.0
31.2978445527,0.0,2.35714285714
32.2978445527,0.0,4.48571428571
33.2978445527,0.0,7.25714285714
34.2978445527,0.0,9.71428571429
35.2978445527,0.0,12.0571428571
36.2978445527,0.0,14.2857142857
37.2978445527,5.18571428571,14.2857142857
38.2978445527,9.5,14.2857142857
39.2978445527,14.0285714286,16.5714285714
40.2978445527,19.0428571429,18.8142857143
41.2978445527,23.8285714286,21.3285714286
42.2978445527,28.5714285714,24.0857142857
43.2978445527,28.5714285714,26.1285714286
44.2978445527,28.5714285714,28.5714285714
45.2978445527,30.6571428571,30.9571428571
46.2978445527,33.2,33.3142857143
48.2978445527,51.9285714286,35.8
49.2978445527,54.6857142857,38.0857142857
50.2978445527,59.6571428571,40.3428571429
51.2978445527,61.9142857143,42.8571428571
52.2978445527,64.2,45.3571428571
53.2978445527,66.6857142857,66.8
54.2978445527,69.0428571429,69.3428571429
55.2978445527,71.4285714286,71.4285714286
56.2978445527,73.8714285714,71.4285714286
57.2978445527,75.9142857143,71.4285714286
58.2978445527,78.6714285714,73.6857142857
59.2978445527,81.1857142857,78.6
60.2978445527,83.4285714286,83.6142857143
61.2978445527,85.7142857143,88.3857142857
62.2978445527,85.7142857143,92.4
63.2978445527,85.7142857143,97.7
64.2978445527,87.9428571429,100.0
65.2978445527,90.2857142857,100.0
66.2978445527,92.7428571429,100.0
67.2978445527,95.5142857143,100.0
68.2978445527,97.6428571429,100.0
69.2978445527,100.0,100.0
70.2978445527,100.0,100.0
71.2978445527,100.0,100.0
72.2978445527,100.0,100.0
73.2978445527,100.0,100.0
74.2978445527,100.0,100.0
75.2978445527,100.0,100.0
76.2978445527,100.0,100.0
77.2978445527,100.0,100.0
78.2978445527,100.0,100.0
79.2978445527,100.0,100.0
80.2978445527,100.0,100.0
81.2978445527,100.0,100.0
82.2978445527,100.0,100.0
83.2978445527,100.0,100.0
84.2978445527,100.0,100.0
85.2978445527,100.0,100.0
86.2978445527,100.0,100.0
87.2978445527,100.0,100.0
88.2978445527,100.0,100.0
89.2978445527,100.0,100.0
90.2978445527,100.0,100.0
91.2978445527,100.0,100.0
92.2978445527,100.0,100.0
93.2978445527,100.0,100.0
94.2978445527,100.0,100.0
95.2978445527,100.0,100.0
96.2978445527,100.0,100.0
97.2978445527,100.0,100.0
98.2978445527,100.0,100.0
99.2978445527,100.0,100.0
100,100,100
