votes,seatsR,seatsD
0,0,0
0.115103303757,0.0,0.0
1.11510330376,0.0,0.0
2.11510330376,0.0,0.0
3.11510330376,0.0,0.0
4.11510330376,0.0,0.0
5.11510330376,0.0,0.0
6.11510330376,0.0,0.0
7.11510330376,0.0,0.0
8.11510330376,0.0,0.0
9.11510330376,0.0,0.0
10.1151033038,0.0,0.0
11.1151033038,0.0,0.0
12.1151033038,0.0,0.0
13.1151033038,0.0,0.0
14.1151033038,0.0,0.0
15.1151033038,0.0,0.0
16.1151033038,0.0,0.0
17.1151033038,0.0,0.0
18.1151033038,0.0,0.0
19.1151033038,0.0,0.0
20.1151033038,0.0,0.0
21.1151033038,0.0,0.0
22.1151033038,0.0,0.0
23.1151033038,0.0,0.0
24.1151033038,0.0,0.0
25.1151033038,0.0,0.0
26.1151033038,0.0,0.0
27.1151033038,0.0,0.0
28.1151033038,0.0,0.0
29.1151033038,0.0,0.0
30.1151033038,0.0,0.0
31.1151033038,0.0,0.0
32.1151033038,0.0,0.0
33.1151033038,0.0,0.0
34.1151033038,0.0,0.0
35.1151033038,0.0,0.0
36.1151033038,0.0,0.0
37.1151033038,0.0,0.0
38.1151033038,0.0,0.0
39.1151033038,0.0,0.0
40.1151033038,0.0,0.0
41.1151033038,0.0,0.0
42.1151033038,0.0,0.0
44.1151033038,0.0,0.0
45.1151033038,0.0,0.0
46.1151033038,14.9,0.0
47.1151033038,31.8,0.0
48.1151033038,50.4,0.0
49.1151033038,68.6,0.0
50.1151033038,82.8,17.2
51.1151033038,100.0,31.4
52.1151033038,100.0,49.6
53.1151033038,100.0,68.2
54.1151033038,100.0,85.1
55.1151033038,100.0,100.0
56.1151033038,100.0,100.0
57.1151033038,100.0,100.0
58.1151033038,100.0,100.0
59.1151033038,100.0,100.0
60.1151033038,100.0,100.0
61.1151033038,100.0,100.0
62.1151033038,100.0,100.0
63.1151033038,100.0,100.0
64.1151033038,100.0,100.0
65.1151033038,100.0,100.0
66.1151033038,100.0,100.0
67.1151033038,100.0,100.0
68.1151033038,100.0,100.0
69.1151033038,100.0,100.0
70.1151033038,100.0,100.0
71.1151033038,100.0,100.0
72.1151033038,100.0,100.0
73.1151033038,100.0,100.0
74.1151033038,100.0,100.0
75.1151033038,100.0,100.0
76.1151033038,100.0,100.0
77.1151033038,100.0,100.0
78.1151033038,100.0,100.0
79.1151033038,100.0,100.0
80.1151033038,100.0,100.0
81.1151033038,100.0,100.0
82.1151033038,100.0,100.0
83.1151033038,100.0,100.0
84.1151033038,100.0,100.0
85.1151033038,100.0,100.0
86.1151033038,100.0,100.0
87.1151033038,100.0,100.0
88.1151033038,100.0,100.0
89.1151033038,100.0,100.0
90.1151033038,100.0,100.0
91.1151033038,100.0,100.0
92.1151033038,100.0,100.0
93.1151033038,100.0,100.0
94.1151033038,100.0,100.0
95.1151033038,100.0,100.0
96.1151033038,100.0,100.0
97.1151033038,100.0,100.0
98.1151033038,100.0,100.0
99.1151033038,100.0,100.0
100,100,100
