votes,seatsR,seatsD
0,0,0
0.951998830796,0.0,0.0
1.9519988308,0.0,0.0
2.9519988308,0.0,0.0
3.9519988308,0.0,0.0
4.9519988308,0.0,0.0
5.9519988308,0.0,0.0
6.9519988308,0.0,0.0
7.9519988308,0.0,0.0
8.9519988308,0.0,0.0
9.9519988308,0.0,0.0
10.9519988308,0.0,0.0
11.9519988308,0.0,0.0
12.9519988308,0.0,0.0
13.9519988308,0.0,0.0
14.9519988308,0.0,0.0
15.9519988308,0.0,0.0
16.9519988308,0.0,0.0
17.9519988308,0.0,0.0
18.9519988308,0.0,0.0
19.9519988308,0.0,0.0
20.9519988308,0.0,0.0
21.9519988308,0.0,0.0
22.9519988308,0.0,0.0
23.9519988308,0.0,0.0
24.9519988308,0.0,0.0
25.9519988308,0.0,0.0
26.9519988308,0.0,0.0
27.9519988308,0.0,1.58181818182
28.9519988308,0.0,4.67272727273
29.9519988308,0.0,7.51818181818
30.9519988308,0.0,10.6454545455
31.9519988308,0.0,13.6181818182
32.9519988308,0.0,16.6454545455
33.9519988308,0.0,18.1818181818
34.9519988308,0.0,18.1818181818
35.9519988308,0.0,18.1818181818
36.9519988308,0.0,19.5454545455
37.9519988308,2.95454545455,21.4727272727
38.9519988308,7.83636363636,22.4909090909
39.9519988308,12.4818181818,24.4272727273
40.9519988308,16.3454545455,25.7727272727
41.9519988308,21.1363636364,27.2727272727
42.9519988308,27.1727272727,27.2727272727
43.9519988308,31.8,27.2727272727
44.9519988308,35.0454545455,27.2727272727
45.9519988308,37.9363636364,27.2727272727
46.9519988308,42.3272727273,27.2727272727
47.9519988308,47.1636363636,39.6545454545
48.9519988308,51.6909090909,44.0545454545
49.9519988308,54.6181818182,46.8272727273
50.9519988308,59.2818181818,51.2454545455
51.9519988308,63.2818181818,55.8454545455
53.9519988308,72.7272727273,60.6818181818
54.9519988308,72.7272727273,65.1
55.9519988308,72.7272727273,67.9363636364
56.9519988308,72.7272727273,71.4181818182
57.9519988308,72.7272727273,75.9909090909
58.9519988308,72.7272727273,80.5636363636
59.9519988308,74.2272727273,85.2090909091
60.9519988308,75.5727272727,89.0090909091
61.9519988308,77.5090909091,93.7454545455
62.9519988308,78.5272727273,98.4818181818
63.9519988308,80.4545454545,100.0
64.9519988308,81.8181818182,100.0
65.9519988308,81.8181818182,100.0
66.9519988308,83.2818181818,100.0
67.9519988308,86.3727272727,100.0
68.9519988308,89.4,100.0
69.9519988308,92.4,100.0
70.9519988308,95.6272727273,100.0
71.9519988308,98.3636363636,100.0
72.9519988308,100.0,100.0
73.9519988308,100.0,100.0
74.9519988308,100.0,100.0
75.9519988308,100.0,100.0
76.9519988308,100.0,100.0
77.9519988308,100.0,100.0
78.9519988308,100.0,100.0
79.9519988308,100.0,100.0
80.9519988308,100.0,100.0
81.9519988308,100.0,100.0
82.9519988308,100.0,100.0
83.9519988308,100.0,100.0
84.9519988308,100.0,100.0
85.9519988308,100.0,100.0
86.9519988308,100.0,100.0
87.9519988308,100.0,100.0
88.9519988308,100.0,100.0
89.9519988308,100.0,100.0
90.9519988308,100.0,100.0
91.9519988308,100.0,100.0
92.9519988308,100.0,100.0
93.9519988308,100.0,100.0
94.9519988308,100.0,100.0
95.9519988308,100.0,100.0
96.9519988308,100.0,100.0
97.9519988308,100.0,100.0
98.9519988308,100.0,100.0
99.9519988308,100.0,100.0
100,100,100
