votes,seatsR,seatsD
0,0,0
0.284312689512,0.0,0.0
1.28431268951,0.0,0.0
2.28431268951,0.0,0.0
3.28431268951,0.0,0.0
4.28431268951,0.0,0.0
5.28431268951,0.0,0.0
6.28431268951,0.0,0.0
7.28431268951,0.0,0.0
8.28431268951,0.0,0.0
9.28431268951,0.0,0.0
10.2843126895,0.0,0.0
11.2843126895,0.0,0.0
12.2843126895,0.0,0.0
13.2843126895,0.0,0.0
14.2843126895,0.0,0.0
15.2843126895,0.0,0.0
16.2843126895,0.0,0.0
17.2843126895,0.0,0.0
18.2843126895,1.075,0.0
19.2843126895,2.45,0.0
20.2843126895,3.2,0.0
21.2843126895,4.15,0.0
22.2843126895,5.525,0.0
23.2843126895,6.45,1.1125
24.2843126895,8.475,2.2875
25.2843126895,9.2,3.4875
26.2843126895,10.3875,4.6375
27.2843126895,11.3,5.75
28.2843126895,12.5,6.75
29.2843126895,12.5,8.125
30.2843126895,13.5125,10.2
31.2843126895,16.15,13.75
32.2843126895,18.8875,18.0375
33.2843126895,20.925,22.9375
34.2843126895,22.875,26.25
35.2843126895,24.8375,29.875
36.2843126895,27.5125,33.5125
37.2843126895,29.3375,36.425
38.2843126895,31.6125,39.7375
39.2843126895,34.4375,43.15
40.2843126895,36.2125,46.65
41.2843126895,37.5,48.5875
42.2843126895,37.5,50.0
43.2843126895,37.5,50.0
44.2843126895,37.5,51.1375
45.2843126895,38.6375,51.9625
46.2843126895,39.6875,53.3625
47.2843126895,40.8,54.9125
48.2843126895,42.025,55.8
50.2843126895,41.9875,56.9625
51.2843126895,42.8125,56.7
52.2843126895,44.05,58.075
53.2843126895,45.5375,58.9625
54.2843126895,46.825,60.3
55.2843126895,47.7875,61.3625
56.2843126895,48.6875,62.5
57.2843126895,50.0,62.5
58.2843126895,51.4125,62.5
59.2843126895,52.1625,62.5
60.2843126895,55.6875,64.525
61.2843126895,59.1625,67.2
62.2843126895,62.4875,69.6
63.2843126895,65.325,71.375
64.2843126895,69.0,73.925
65.2843126895,72.5125,76.0375
66.2843126895,76.025,78.15
67.2843126895,80.85,79.9375
68.2843126895,85.125,82.6125
69.2843126895,88.6875,85.4625
70.2843126895,91.875,87.5
71.2843126895,93.25,87.5
72.2843126895,94.25,88.7
73.2843126895,95.3625,89.6125
74.2843126895,96.5125,90.8
75.2843126895,97.7125,91.525
76.2843126895,98.8875,93.55
77.2843126895,100.0,94.475
78.2843126895,100.0,95.85
79.2843126895,100.0,96.8
80.2843126895,100.0,97.55
81.2843126895,100.0,98.925
82.2843126895,100.0,100.0
83.2843126895,100.0,100.0
84.2843126895,100.0,100.0
85.2843126895,100.0,100.0
86.2843126895,100.0,100.0
87.2843126895,100.0,100.0
88.2843126895,100.0,100.0
89.2843126895,100.0,100.0
90.2843126895,100.0,100.0
91.2843126895,100.0,100.0
92.2843126895,100.0,100.0
93.2843126895,100.0,100.0
94.2843126895,100.0,100.0
95.2843126895,100.0,100.0
96.2843126895,100.0,100.0
97.2843126895,100.0,100.0
98.2843126895,100.0,100.0
99.2843126895,100.0,100.0
100,100,100
