votes,seatsR,seatsD
0,0,0
0.880338486342,0.0,0.0
1.88033848634,0.0,0.0
2.88033848634,0.0,0.0
3.88033848634,0.0,0.0
4.88033848634,0.0,0.0
5.88033848634,0.0,0.0
6.88033848634,0.0,0.0
7.88033848634,0.0,0.0
8.88033848634,0.0,0.0
9.88033848634,0.0,0.0
10.8803384863,0.0,0.0
11.8803384863,0.0,0.0
12.8803384863,0.0,0.0
13.8803384863,0.0,0.0
14.8803384863,0.0,0.0
15.8803384863,0.0,0.0
16.8803384863,0.0,0.0
17.8803384863,0.0,0.0
18.8803384863,0.0,0.0
19.8803384863,0.0,0.0
20.8803384863,0.0,0.0
21.8803384863,0.0,0.0
22.8803384863,0.0,0.0
23.8803384863,2.3,0.0
24.8803384863,5.35,0.0
25.8803384863,6.525,0.0
26.8803384863,9.675,0.0
27.8803384863,10.625,2.225
28.8803384863,14.025,4.4
29.8803384863,16.05,6.375
30.8803384863,18.375,8.875
31.8803384863,20.3,10.425
32.8803384863,22.75,12.725
33.8803384863,25.0,18.075
34.8803384863,25.0,23.45
35.8803384863,25.0,26.85
36.8803384863,25.0,33.35
37.8803384863,25.0,37.175
38.8803384863,25.0,38.45
39.8803384863,25.0,40.95
40.8803384863,25.0,43.4
42.8803384863,25.0,45.175
43.8803384863,27.175,47.8
44.8803384863,29.375,50.0
45.8803384863,32.075,50.0
46.8803384863,33.825,50.0
47.8803384863,35.325,52.625
48.8803384863,38.3,54.55
49.8803384863,40.725,56.825
50.8803384863,42.9,58.975
51.8803384863,45.5,61.4
52.8803384863,47.8,64.25
53.8803384863,50.0,67.05
54.8803384863,50.0,68.05
55.8803384863,50.0,70.6
56.8803384863,50.0,72.825
57.8803384863,52.2,75.0
58.8803384863,54.825,75.0
59.8803384863,56.6,75.0
60.8803384863,59.05,75.0
61.8803384863,61.55,75.0
62.8803384863,64.5,75.0
63.8803384863,68.7,75.0
64.8803384863,75.675,75.0
65.8803384863,78.675,75.0
66.8803384863,83.95,77.0
67.8803384863,89.3,79.35
68.8803384863,91.6,82.3
69.8803384863,93.6,83.9
70.8803384863,95.725,86.1
71.8803384863,98.15,88.625
72.8803384863,100.0,91.225
73.8803384863,100.0,92.725
74.8803384863,100.0,95.825
75.8803384863,100.0,97.15
76.8803384863,100.0,100.0
77.8803384863,100.0,100.0
78.8803384863,100.0,100.0
79.8803384863,100.0,100.0
80.8803384863,100.0,100.0
81.8803384863,100.0,100.0
82.8803384863,100.0,100.0
83.8803384863,100.0,100.0
84.8803384863,100.0,100.0
85.8803384863,100.0,100.0
86.8803384863,100.0,100.0
87.8803384863,100.0,100.0
88.8803384863,100.0,100.0
89.8803384863,100.0,100.0
90.8803384863,100.0,100.0
91.8803384863,100.0,100.0
92.8803384863,100.0,100.0
93.8803384863,100.0,100.0
94.8803384863,100.0,100.0
95.8803384863,100.0,100.0
96.8803384863,100.0,100.0
97.8803384863,100.0,100.0
98.8803384863,100.0,100.0
99.8803384863,100.0,100.0
100,100,100
