votes,seatsR,seatsD
0,0,0
0.266396913385,0.0,0.0
1.26639691338,0.0,0.0
2.26639691338,0.0,0.0
3.26639691338,0.0,0.0
4.26639691338,0.0,0.0
5.26639691338,0.0,0.0
6.26639691338,0.0,0.0
7.26639691338,0.0,0.0
8.26639691338,0.0,0.0
9.26639691338,0.0,0.0
10.2663969134,0.0,0.0
11.2663969134,0.0,0.0
12.2663969134,0.0,0.0
13.2663969134,0.0,0.0
14.2663969134,0.0,0.0
15.2663969134,0.0,0.0
16.2663969134,0.0,0.0
17.2663969134,0.0,0.0
18.2663969134,0.0,0.0
19.2663969134,0.0,0.0
20.2663969134,0.0,0.0
21.2663969134,0.0,0.0
22.2663969134,0.730769230769,0.730769230769
23.2663969134,1.3,1.43846153846
24.2663969134,2.06153846154,1.98461538462
25.2663969134,3.00769230769,3.43846153846
26.2663969134,4.36153846154,5.64615384615
27.2663969134,5.62307692308,7.46153846154
28.2663969134,7.63846153846,10.3615384615
29.2663969134,9.73846153846,13.5846153846
30.2663969134,11.8307692308,15.7769230769
31.2663969134,14.1615384615,19.6615384615
32.2663969134,16.6923076923,24.0538461538
33.2663969134,19.1538461538,27.0538461538
34.2663969134,21.3846153846,30.7076923077
35.2663969134,24.5846153846,34.3384615385
36.2663969134,27.4076923077,38.0230769231
37.2663969134,29.4538461538,40.6769230769
38.2663969134,31.5076923077,43.3076923077
39.2663969134,32.8615384615,45.4153846154
40.2663969134,34.5076923077,47.2615384615
41.2663969134,36.2923076923,49.6153846154
42.2663969134,38.4230769231,51.0384615385
43.2663969134,39.9923076923,51.8692307692
45.2663969134,39.8538461538,52.4384615385
46.2663969134,41.4230769231,53.1076923077
47.2663969134,42.0692307692,53.8461538462
48.2663969134,42.6538461538,53.8461538462
49.2663969134,43.4,54.4538461538
50.2663969134,44.0,55.2692307692
51.2663969134,44.8153846154,55.9307692308
52.2663969134,45.3846153846,56.6384615385
53.2663969134,46.1538461538,57.3692307692
54.2663969134,46.1538461538,57.9076923077
55.2663969134,46.9384615385,59.4230769231
56.2663969134,47.5692307692,59.2307692308
57.2663969134,48.3538461538,60.7461538462
58.2663969134,49.6692307692,62.4923076923
59.2663969134,52.0307692308,64.0307692308
60.2663969134,53.8769230769,66.3769230769
61.2663969134,55.9,67.6923076923
62.2663969134,58.6307692308,69.8692307692
63.2663969134,61.4384615385,71.8923076923
64.2663969134,64.9692307692,74.1307692308
65.2663969134,68.5615384615,77.1461538462
66.2663969134,72.2384615385,79.4615384615
67.2663969134,75.2384615385,81.9
68.2663969134,79.6153846154,83.8307692308
69.2663969134,83.5461538462,86.8153846154
70.2663969134,85.7384615385,88.7384615385
71.2663969134,88.9692307692,90.8769230769
72.2663969134,91.7769230769,93.0076923077
73.2663969134,93.7384615385,94.3615384615
74.2663969134,95.9076923077,95.5307692308
75.2663969134,97.2461538462,97.3615384615
76.2663969134,98.5615384615,97.9923076923
77.2663969134,99.2692307692,98.6153846154
78.2663969134,100.0,99.3
79.2663969134,100.0,100.0
80.2663969134,100.0,100.0
81.2663969134,100.0,100.0
82.2663969134,100.0,100.0
83.2663969134,100.0,100.0
84.2663969134,100.0,100.0
85.2663969134,100.0,100.0
86.2663969134,100.0,100.0
87.2663969134,100.0,100.0
88.2663969134,100.0,100.0
89.2663969134,100.0,100.0
90.2663969134,100.0,100.0
91.2663969134,100.0,100.0
92.2663969134,100.0,100.0
93.2663969134,100.0,100.0
94.2663969134,100.0,100.0
95.2663969134,100.0,100.0
96.2663969134,100.0,100.0
97.2663969134,100.0,100.0
98.2663969134,100.0,100.0
99.2663969134,100.0,100.0
100,100,100
