votes,seatsR,seatsD
0,0,0
0.514946289855,0.0,0.0
1.51494628985,0.0,0.0
2.51494628985,0.0,0.0
3.51494628985,0.0,0.0
4.51494628985,0.0,0.0
5.51494628985,0.0,0.0
6.51494628985,0.0,0.0
7.51494628985,0.0,0.0
8.51494628985,0.0,0.0
9.51494628985,0.0,0.0
10.5149462899,0.0,0.0
11.5149462899,0.0,0.0
12.5149462899,0.0,0.0
13.5149462899,0.0,0.0
14.5149462899,0.0,0.0
15.5149462899,0.0,0.0
16.5149462899,0.0,1.03888888889
17.5149462899,0.0,1.81111111111
18.5149462899,0.0,2.73333333333
19.5149462899,0.0,3.62222222222
20.5149462899,0.0,4.61666666667
21.5149462899,0.0,5.55555555556
22.5149462899,0.0,5.55555555556
23.5149462899,0.0,6.40555555556
24.5149462899,0.0,7.26666666667
25.5149462899,0.0,8.2
26.5149462899,0.0,9.32777777778
27.5149462899,0.0,10.9222222222
28.5149462899,0.0,12.8388888889
29.5149462899,1.00555555556,13.8555555556
30.5149462899,1.87222222222,14.9111111111
31.5149462899,3.93333333333,15.6833333333
32.5149462899,6.56111111111,16.6666666667
33.5149462899,10.3166666667,16.6666666667
34.5149462899,13.6555555556,16.6666666667
35.5149462899,16.8444444444,16.6666666667
36.5149462899,20.4,17.5833333333
37.5149462899,23.1611111111,19.35
38.5149462899,25.7777777778,21.2888888889
39.5149462899,27.6388888889,22.9611111111
40.5149462899,30.4888888889,24.85
41.5149462899,33.3833333333,26.9555555556
42.5149462899,36.1555555556,29.5722222222
43.5149462899,38.8388888889,31.5055555556
44.5149462899,40.9666666667,33.1944444444
45.5149462899,42.7,35.0944444444
46.5149462899,43.5444444444,37.8611111111
48.5149462899,51.7611111111,40.7388888889
49.5149462899,54.5,41.6833333333
50.5149462899,56.5722222222,43.4277777778
51.5149462899,58.3166666667,45.5
52.5149462899,59.2611111111,48.2388888889
53.5149462899,62.1388888889,56.4555555556
54.5149462899,64.9055555556,57.3
55.5149462899,66.8055555556,59.0333333333
56.5149462899,68.4944444444,61.1611111111
57.5149462899,70.4277777778,63.8444444444
58.5149462899,73.0444444444,66.6166666667
59.5149462899,75.15,69.5111111111
60.5149462899,77.0388888889,72.3611111111
61.5149462899,78.7111111111,74.2222222222
62.5149462899,80.65,76.8388888889
63.5149462899,82.4166666667,79.6
64.5149462899,83.3333333333,83.1555555556
65.5149462899,83.3333333333,86.3444444444
66.5149462899,83.3333333333,89.6833333333
67.5149462899,83.3333333333,93.4388888889
68.5149462899,84.3166666667,96.0666666667
69.5149462899,85.0888888889,98.1277777778
70.5149462899,86.1444444444,98.9944444444
71.5149462899,87.1611111111,100.0
72.5149462899,89.0777777778,100.0
73.5149462899,90.6722222222,100.0
74.5149462899,91.8,100.0
75.5149462899,92.7333333333,100.0
76.5149462899,93.5944444444,100.0
77.5149462899,94.4444444444,100.0
78.5149462899,94.4444444444,100.0
79.5149462899,95.3833333333,100.0
80.5149462899,96.3777777778,100.0
81.5149462899,97.2666666667,100.0
82.5149462899,98.1888888889,100.0
83.5149462899,98.9611111111,100.0
84.5149462899,100.0,100.0
85.5149462899,100.0,100.0
86.5149462899,100.0,100.0
87.5149462899,100.0,100.0
88.5149462899,100.0,100.0
89.5149462899,100.0,100.0
90.5149462899,100.0,100.0
91.5149462899,100.0,100.0
92.5149462899,100.0,100.0
93.5149462899,100.0,100.0
94.5149462899,100.0,100.0
95.5149462899,100.0,100.0
96.5149462899,100.0,100.0
97.5149462899,100.0,100.0
98.5149462899,100.0,100.0
99.5149462899,100.0,100.0
100,100,100
