votes,seatsR,seatsD
0,0,0
0.435584762946,0.0,0.0
1.43558476295,0.0,0.0
2.43558476295,0.0,0.0
3.43558476295,0.0,0.0
4.43558476295,0.0,0.0
5.43558476295,0.0,0.0
6.43558476295,0.0,0.0
7.43558476295,0.0,0.0
8.43558476295,0.0,0.0
9.43558476295,0.0,0.0
10.4355847629,0.0,0.0
11.4355847629,0.0,0.0
12.4355847629,0.0,0.0
13.4355847629,0.0,0.0
14.4355847629,0.0,0.0
15.4355847629,1.15555555556,0.0
16.4355847629,1.91111111111,0.0
17.4355847629,3.02222222222,0.0
18.4355847629,4.27777777778,0.0
19.4355847629,6.32222222222,0.0
20.4355847629,8.1,2.83333333333
21.4355847629,10.1666666667,5.41111111111
22.4355847629,13.7111111111,9.01111111111
23.4355847629,16.5333333333,12.1666666667
24.4355847629,18.9888888889,15.1
25.4355847629,23.5222222222,18.4
26.4355847629,26.4888888889,20.8666666667
27.4355847629,29.0555555556,25.4
28.4355847629,32.5222222222,29.0888888889
29.4355847629,35.6555555556,33.1333333333
30.4355847629,37.3888888889,37.6
31.4355847629,39.5111111111,38.2
32.4355847629,41.3666666667,39.6222222222
33.4355847629,42.2333333333,40.4222222222
34.4355847629,43.3222222222,42.6777777778
35.4355847629,44.4444444444,44.3888888889
36.4355847629,44.4444444444,46.3777777778
37.4355847629,44.4444444444,47.9666666667
38.4355847629,44.4444444444,49.8222222222
39.4355847629,44.4444444444,50.4333333333
40.4355847629,44.4444444444,51.3777777778
41.4355847629,44.4444444444,52.3111111111
42.4355847629,44.4444444444,53.4444444444
43.4355847629,44.4444444444,54.5555555556
44.4355847629,44.4444444444,55.5555555556
45.4355847629,44.4444444444,55.5555555556
46.4355847629,44.4444444444,55.5555555556
47.4355847629,44.4444444444,55.5555555556
48.4355847629,44.4444444444,55.5555555556
50.4355847629,44.4444444444,55.5555555556
51.4355847629,44.4444444444,55.5555555556
52.4355847629,44.4444444444,55.5555555556
53.4355847629,44.4444444444,55.5555555556
54.4355847629,44.4444444444,55.5555555556
55.4355847629,44.4444444444,55.5555555556
56.4355847629,45.4444444444,55.5555555556
57.4355847629,46.5555555556,55.5555555556
58.4355847629,47.6888888889,55.5555555556
59.4355847629,48.6222222222,55.5555555556
60.4355847629,49.5666666667,55.5555555556
61.4355847629,50.1777777778,55.5555555556
62.4355847629,52.0333333333,55.5555555556
63.4355847629,53.6222222222,55.5555555556
64.4355847629,55.6111111111,55.5555555556
65.4355847629,57.3222222222,56.6777777778
66.4355847629,59.5777777778,57.7666666667
67.4355847629,60.3777777778,58.6333333333
68.4355847629,61.8,60.4888888889
69.4355847629,62.4,62.6111111111
70.4355847629,63.6555555556,64.3444444444
71.4355847629,67.6555555556,67.4777777778
72.4355847629,71.6777777778,70.9444444444
73.4355847629,76.2333333333,73.5111111111
74.4355847629,78.5111111111,76.4777777778
75.4355847629,81.8111111111,81.0111111111
76.4355847629,84.4333333333,83.4666666667
77.4355847629,88.1555555556,86.2888888889
78.4355847629,91.2333333333,89.8333333333
79.4355847629,94.0777777778,91.9
80.4355847629,97.1,93.6777777778
81.4355847629,100.0,95.7222222222
82.4355847629,100.0,96.9777777778
83.4355847629,100.0,98.0888888889
84.4355847629,100.0,98.8444444444
85.4355847629,100.0,100.0
86.4355847629,100.0,100.0
87.4355847629,100.0,100.0
88.4355847629,100.0,100.0
89.4355847629,100.0,100.0
90.4355847629,100.0,100.0
91.4355847629,100.0,100.0
92.4355847629,100.0,100.0
93.4355847629,100.0,100.0
94.4355847629,100.0,100.0
95.4355847629,100.0,100.0
96.4355847629,100.0,100.0
97.4355847629,100.0,100.0
98.4355847629,100.0,100.0
99.4355847629,100.0,100.0
100,100,100
