votes,seatsR,seatsD
0,0,0
0.117085232315,0.0,0.0
1.11708523232,0.0,0.0
2.11708523232,0.0,0.0
3.11708523232,0.0,0.0
4.11708523232,0.0,0.0
5.11708523232,0.0,0.0
6.11708523232,0.0,0.0
7.11708523232,0.0,0.0
8.11708523232,0.0,0.0
9.11708523232,0.0,0.0
10.1170852323,0.0,0.0
11.1170852323,0.0,0.0
12.1170852323,0.0,0.0
13.1170852323,0.0,0.0
14.1170852323,0.0,0.0
15.1170852323,0.0,0.0
16.1170852323,0.0,0.0
17.1170852323,0.0,0.0
18.1170852323,0.0,0.0
19.1170852323,1.08888888889,0.0
20.1170852323,1.96666666667,0.0
21.1170852323,4.03333333333,0.944444444444
22.1170852323,6.12222222222,2.04444444444
23.1170852323,8.11111111111,3.06666666667
24.1170852323,10.1,4.2
25.1170852323,12.3444444444,4.83333333333
26.1170852323,14.0333333333,6.05555555556
27.1170852323,16.1111111111,7.05555555556
28.1170852323,18.2111111111,8.32222222222
29.1170852323,20.1666666667,9.62222222222
30.1170852323,21.1888888889,12.0444444444
31.1170852323,22.2222222222,14.2111111111
32.1170852323,23.2444444444,14.9888888889
33.1170852323,24.4111111111,16.0555555556
34.1170852323,25.1444444444,17.1333333333
35.1170852323,26.3666666667,18.2222222222
36.1170852323,27.1555555556,19.2333333333
37.1170852323,28.3222222222,21.3222222222
38.1170852323,28.9555555556,23.1666666667
39.1170852323,30.3777777778,25.8222222222
41.1170852323,30.2222222222,29.6
42.1170852323,31.1888888889,32.1444444444
43.1170852323,32.3,36.6333333333
44.1170852323,33.3333333333,40.4333333333
45.1170852323,33.3333333333,44.3111111111
46.1170852323,33.3333333333,48.6888888889
47.1170852323,33.3333333333,52.2888888889
48.1170852323,33.3333333333,56.4444444444
49.1170852323,34.2666666667,58.9888888889
50.1170852323,35.4777777778,62.3555555556
51.1170852323,37.5111111111,64.7
52.1170852323,40.4777777778,65.7888888889
53.1170852323,44.6111111111,66.6666666667
54.1170852323,48.4444444444,66.6666666667
55.1170852323,52.7,66.6666666667
56.1170852323,56.8555555556,66.6666666667
57.1170852323,60.3888888889,66.6666666667
58.1170852323,64.4888888889,67.7333333333
59.1170852323,68.5444444444,68.7777777778
60.1170852323,71.9222222222,68.6888888889
61.1170852323,74.7444444444,70.0222222222
62.1170852323,77.6777777778,70.7666666667
63.1170852323,79.7333333333,72.0222222222
64.1170852323,80.8444444444,72.6555555556
65.1170852323,81.9222222222,73.7111111111
66.1170852323,82.9555555556,74.6
67.1170852323,84.0111111111,75.6666666667
68.1170852323,84.8333333333,76.9555555556
69.1170852323,85.9222222222,78.8111111111
70.1170852323,88.1888888889,79.8333333333
71.1170852323,89.9555555556,80.7111111111
72.1170852323,91.8666666667,82.8666666667
73.1170852323,92.8,84.8111111111
74.1170852323,94.2222222222,86.7
75.1170852323,94.7,88.9222222222
76.1170852323,95.8888888889,90.7777777778
77.1170852323,97.0555555556,92.9444444444
78.1170852323,98.1,94.8888888889
79.1170852323,99.0666666667,96.9666666667
80.1170852323,100.0,97.8777777778
81.1170852323,100.0,99.0333333333
82.1170852323,100.0,100.0
83.1170852323,100.0,100.0
84.1170852323,100.0,100.0
85.1170852323,100.0,100.0
86.1170852323,100.0,100.0
87.1170852323,100.0,100.0
88.1170852323,100.0,100.0
89.1170852323,100.0,100.0
90.1170852323,100.0,100.0
91.1170852323,100.0,100.0
92.1170852323,100.0,100.0
93.1170852323,100.0,100.0
94.1170852323,100.0,100.0
95.1170852323,100.0,100.0
96.1170852323,100.0,100.0
97.1170852323,100.0,100.0
98.1170852323,100.0,100.0
99.1170852323,100.0,100.0
100,100,100
