votes,seatsR,seatsD
0,0,0
0.83482564378,0.0,0.0
1.83482564378,0.0,0.0
2.83482564378,0.0,0.0
3.83482564378,0.0,0.0
4.83482564378,0.0,0.0
5.83482564378,0.0,0.0
6.83482564378,0.0,0.0
7.83482564378,0.0,0.0
8.83482564378,0.0,0.0
9.83482564378,0.0,0.0
10.8348256438,0.0,0.0
11.8348256438,0.0,0.0
12.8348256438,0.0,0.0
13.8348256438,0.0,0.0
14.8348256438,0.0,1.18
15.8348256438,0.0,3.14
16.8348256438,0.0,5.64
17.8348256438,0.0,7.76666666667
18.8348256438,0.0,9.8
19.8348256438,0.0,12.2666666667
20.8348256438,0.0,13.3333333333
21.8348256438,0.0,13.3333333333
22.8348256438,0.0,13.3333333333
23.8348256438,0.0,13.3333333333
24.8348256438,0.0,13.3333333333
25.8348256438,0.0,13.3333333333
26.8348256438,0.0,13.3333333333
27.8348256438,0.0,13.3333333333
28.8348256438,1.13333333333,13.3333333333
29.8348256438,2.17333333333,13.3333333333
30.8348256438,3.15333333333,13.3333333333
31.8348256438,4.3,14.4
32.8348256438,5.31333333333,15.52
33.8348256438,6.66666666667,16.8066666667
34.8348256438,7.87333333333,17.74
35.8348256438,9.95333333333,18.7666666667
36.8348256438,11.96,21.0466666667
37.8348256438,14.42,22.22
38.8348256438,17.6466666667,23.5666666667
39.8348256438,21.1733333333,24.4666666667
40.8348256438,23.3733333333,26.8533333333
41.8348256438,25.7,28.86
42.8348256438,29.9333333333,30.04
43.8348256438,34.4333333333,31.1066666667
44.8348256438,37.7466666667,33.1866666667
45.8348256438,40.9666666667,35.3733333333
46.8348256438,44.4666666667,44.3333333333
47.8348256438,47.6333333333,46.5666666667
48.8348256438,48.9533333333,48.9066666667
49.8348256438,50.0533333333,49.9466666667
50.8348256438,52.3466666667,51.0466666667
51.8348256438,54.46,54.7
52.8348256438,56.7466666667,58.8933333333
54.8348256438,65.76,62.28
55.8348256438,67.9,65.86
56.8348256438,69.92,68.9
57.8348256438,71.12,73.22
58.8348256438,73.3466666667,75.3733333333
59.8348256438,75.5466666667,77.7466666667
60.8348256438,76.6666666667,81.18
61.8348256438,77.6666666667,84.5266666667
62.8348256438,78.94,87.9066666667
63.8348256438,81.12,90.2266666667
64.8348256438,82.3066666667,92.2066666667
65.8348256438,83.5133333333,93.3333333333
66.8348256438,84.3333333333,94.4133333333
67.8348256438,85.58,95.8333333333
68.8348256438,86.6666666667,96.7466666667
69.8348256438,86.6666666667,97.98
70.8348256438,86.6666666667,98.9266666667
71.8348256438,86.6666666667,100.0
72.8348256438,86.6666666667,100.0
73.8348256438,86.6666666667,100.0
74.8348256438,86.6666666667,100.0
75.8348256438,86.6666666667,100.0
76.8348256438,86.6666666667,100.0
77.8348256438,86.6666666667,100.0
78.8348256438,86.6666666667,100.0
79.8348256438,87.8866666667,100.0
80.8348256438,88.8933333333,100.0
81.8348256438,91.4666666667,100.0
82.8348256438,93.38,100.0
83.8348256438,95.2733333333,100.0
84.8348256438,97.9066666667,100.0
85.8348256438,98.82,100.0
86.8348256438,100.0,100.0
87.8348256438,100.0,100.0
88.8348256438,100.0,100.0
89.8348256438,100.0,100.0
90.8348256438,100.0,100.0
91.8348256438,100.0,100.0
92.8348256438,100.0,100.0
93.8348256438,100.0,100.0
94.8348256438,100.0,100.0
95.8348256438,100.0,100.0
96.8348256438,100.0,100.0
97.8348256438,100.0,100.0
98.8348256438,100.0,100.0
99.8348256438,100.0,100.0
100,100,100
