votes,seatsR,seatsD
0,0,0
0.389131489568,0.0,0.0
1.38913148957,0.0,0.0
2.38913148957,0.0,0.0
3.38913148957,0.0,0.0
4.38913148957,0.0,0.0
5.38913148957,0.0,0.0
6.38913148957,0.0,0.0
7.38913148957,0.0,0.0
8.38913148957,0.0,0.0
9.38913148957,0.0,0.0
10.3891314896,0.0,0.0
11.3891314896,0.0,0.0
12.3891314896,0.0,0.0
13.3891314896,0.0,0.0
14.3891314896,0.0,0.0
15.3891314896,0.0,0.0
16.3891314896,0.0,0.0
17.3891314896,0.0,0.0
18.3891314896,0.0,0.0
19.3891314896,0.0,0.0
20.3891314896,0.0,0.0
21.3891314896,0.0,0.0
22.3891314896,0.0,0.0
23.3891314896,0.0,0.0
24.3891314896,0.0,0.0
25.3891314896,0.0,0.0
26.3891314896,0.0,0.0
27.3891314896,0.0,0.0
28.3891314896,0.0,0.0
29.3891314896,0.0,0.0
30.3891314896,0.0,0.0
31.3891314896,0.0,0.0
32.3891314896,0.0,0.0
33.3891314896,0.0,0.0
34.3891314896,0.0,0.0
35.3891314896,0.0,0.0
36.3891314896,0.0,0.0
37.3891314896,0.0,0.0
38.3891314896,0.0,0.0
39.3891314896,0.0,0.0
40.3891314896,0.0,0.0
41.3891314896,0.0,0.0
42.3891314896,5.46666666667,0.0
43.3891314896,10.6666666667,0.0
44.3891314896,17.0333333333,5.16666666667
45.3891314896,21.7666666667,10.8
46.3891314896,27.3,16.3666666667
47.3891314896,33.3333333333,22.6666666667
49.3891314896,54.6666666667,28.0666666667
50.3891314896,62.1333333333,37.8666666667
51.3891314896,71.9333333333,45.3333333333
52.3891314896,77.3333333333,66.6666666667
53.3891314896,83.6333333333,72.7
54.3891314896,89.2,78.2333333333
55.3891314896,94.8333333333,82.9666666667
56.3891314896,100.0,89.3333333333
57.3891314896,100.0,94.5333333333
58.3891314896,100.0,100.0
59.3891314896,100.0,100.0
60.3891314896,100.0,100.0
61.3891314896,100.0,100.0
62.3891314896,100.0,100.0
63.3891314896,100.0,100.0
64.3891314896,100.0,100.0
65.3891314896,100.0,100.0
66.3891314896,100.0,100.0
67.3891314896,100.0,100.0
68.3891314896,100.0,100.0
69.3891314896,100.0,100.0
70.3891314896,100.0,100.0
71.3891314896,100.0,100.0
72.3891314896,100.0,100.0
73.3891314896,100.0,100.0
74.3891314896,100.0,100.0
75.3891314896,100.0,100.0
76.3891314896,100.0,100.0
77.3891314896,100.0,100.0
78.3891314896,100.0,100.0
79.3891314896,100.0,100.0
80.3891314896,100.0,100.0
81.3891314896,100.0,100.0
82.3891314896,100.0,100.0
83.3891314896,100.0,100.0
84.3891314896,100.0,100.0
85.3891314896,100.0,100.0
86.3891314896,100.0,100.0
87.3891314896,100.0,100.0
88.3891314896,100.0,100.0
89.3891314896,100.0,100.0
90.3891314896,100.0,100.0
91.3891314896,100.0,100.0
92.3891314896,100.0,100.0
93.3891314896,100.0,100.0
94.3891314896,100.0,100.0
95.3891314896,100.0,100.0
96.3891314896,100.0,100.0
97.3891314896,100.0,100.0
98.3891314896,100.0,100.0
99.3891314896,100.0,100.0
100,100,100
