votesR,seatsR,votesD,seatsD
0,0,0,0
0.0672371979172,0.0,0.932762802083,0.0
1.06723719792,0.0,1.93276280208,0.0
2.06723719792,0.0,2.93276280208,0.0
3.06723719792,0.0,3.93276280208,0.0
4.06723719792,0.0,4.93276280208,0.0
5.06723719792,0.0,5.93276280208,0.0
6.06723719792,0.0,6.93276280208,0.0
7.06723719792,0.0,7.93276280208,0.0
8.06723719792,0.0,8.93276280208,0.0
9.06723719792,0.0,9.93276280208,0.0
10.0672371979,0.0,10.9327628021,0.0
11.0672371979,0.0,11.9327628021,0.0
12.0672371979,0.0,12.9327628021,0.0
13.0672371979,0.0,13.9327628021,0.0
14.0672371979,0.0,14.9327628021,0.0
15.0672371979,0.0,15.9327628021,0.0
16.0672371979,0.0,16.9327628021,0.0
17.0672371979,0.0,17.9327628021,0.0
18.0672371979,0.0,18.9327628021,0.0
19.0672371979,0.0,19.9327628021,0.0
20.0672371979,0.0,20.9327628021,0.0
21.0672371979,0.0,21.9327628021,0.0
22.0672371979,0.0,22.9327628021,0.0
23.0672371979,0.0,23.9327628021,0.0
24.0672371979,0.0,24.9327628021,0.0
25.0672371979,0.0,25.9327628021,0.0
26.0672371979,0.0,26.9327628021,0.0
27.0672371979,0.0,27.9327628021,0.0
28.0672371979,0.0,28.9327628021,0.0
29.0672371979,0.0,29.9327628021,1.87777777778
30.0672371979,0.0,30.9327628021,3.78888888889
31.0672371979,0.0,31.9327628021,5.45555555556
32.0672371979,0.0,32.9327628021,7.15555555556
33.0672371979,0.0,33.9327628021,9.15555555556
34.0672371979,0.0,34.9327628021,11.1111111111
35.0672371979,0.0,35.9327628021,11.1111111111
36.0672371979,0.0,36.9327628021,11.1111111111
37.0672371979,1.95555555556,37.9327628021,11.1111111111
38.0672371979,4.18888888889,38.9327628021,12.9888888889
39.0672371979,5.57777777778,39.9327628021,16.4111111111
40.0672371979,9.52222222222,40.9327628021,21.8777777778
41.0672371979,13.2666666667,42.9327628021,44.4444444444
42.0672371979,16.9333333333,43.9327628021,44.4444444444
43.0672371979,22.4,44.9327628021,44.4444444444
44.0672371979,29.5444444444,45.9327628021,44.4444444444
45.0672371979,36.3444444444,46.9327628021,44.4444444444
46.0672371979,42.0333333333,47.9327628021,44.4444444444
47.0672371979,48.4666666667,48.9327628021,44.4444444444
48.0672371979,53.7444444444,49.9327628021,44.4444444444
49.0672371979,55.5555555556,50.9327628021,44.4444444444
50.0672371979,55.5555555556,51.9327628021,46.2555555556
51.0672371979,55.5555555556,52.9327628021,51.5333333333
52.0672371979,55.5555555556,53.9327628021,57.9666666667
53.0672371979,55.5555555556,54.9327628021,63.6555555556
54.0672371979,55.5555555556,55.9327628021,70.4555555556
55.0672371979,55.5555555556,56.9327628021,77.6
56.0672371979,55.5555555556,57.9327628021,83.0666666667
57.0672371979,55.5555555556,58.9327628021,86.7333333333
59.0672371979,78.1222222222,59.9327628021,90.4777777778
60.0672371979,83.5888888889,60.9327628021,94.4222222222
61.0672371979,87.0111111111,61.9327628021,95.8111111111
62.0672371979,88.8888888889,62.9327628021,98.0444444444
63.0672371979,88.8888888889,63.9327628021,100.0
64.0672371979,88.8888888889,64.9327628021,100.0
65.0672371979,88.8888888889,65.9327628021,100.0
66.0672371979,90.8444444444,66.9327628021,100.0
67.0672371979,92.8444444444,67.9327628021,100.0
68.0672371979,94.5444444444,68.9327628021,100.0
69.0672371979,96.2111111111,69.9327628021,100.0
70.0672371979,98.1222222222,70.9327628021,100.0
71.0672371979,100.0,71.9327628021,100.0
72.0672371979,100.0,72.9327628021,100.0
73.0672371979,100.0,73.9327628021,100.0
74.0672371979,100.0,74.9327628021,100.0
75.0672371979,100.0,75.9327628021,100.0
76.0672371979,100.0,76.9327628021,100.0
77.0672371979,100.0,77.9327628021,100.0
78.0672371979,100.0,78.9327628021,100.0
79.0672371979,100.0,79.9327628021,100.0
80.0672371979,100.0,80.9327628021,100.0
81.0672371979,100.0,81.9327628021,100.0
82.0672371979,100.0,82.9327628021,100.0
83.0672371979,100.0,83.9327628021,100.0
84.0672371979,100.0,84.9327628021,100.0
85.0672371979,100.0,85.9327628021,100.0
86.0672371979,100.0,86.9327628021,100.0
87.0672371979,100.0,87.9327628021,100.0
88.0672371979,100.0,88.9327628021,100.0
89.0672371979,100.0,89.9327628021,100.0
90.0672371979,100.0,90.9327628021,100.0
91.0672371979,100.0,91.9327628021,100.0
92.0672371979,100.0,92.9327628021,100.0
93.0672371979,100.0,93.9327628021,100.0
94.0672371979,100.0,94.9327628021,100.0
95.0672371979,100.0,95.9327628021,100.0
96.0672371979,100.0,96.9327628021,100.0
97.0672371979,100.0,97.9327628021,100.0
98.0672371979,100.0,98.9327628021,100.0
99.0672371979,100.0,99.9327628021,100.0
100,100,100,100
