votes,seatsR,seatsD
0,0,0
0.174458110564,0.0,0.0
1.17445811056,0.0,0.0
2.17445811056,0.0,0.0
3.17445811056,0.0,0.0
4.17445811056,0.0,0.0
5.17445811056,0.0,0.0
6.17445811056,0.0,0.0
7.17445811056,0.0,0.0
8.17445811056,0.0,0.0
9.17445811056,0.0,0.0
10.1744581106,0.0,0.0
11.1744581106,0.0,0.0
12.1744581106,0.0,0.0
13.1744581106,0.0,0.0
14.1744581106,0.0,0.0
15.1744581106,0.0,0.0
16.1744581106,0.0,0.0
17.1744581106,0.0,0.0
18.1744581106,0.0,0.0
19.1744581106,0.0,0.0
20.1744581106,0.0,0.0
21.1744581106,0.0,0.0
22.1744581106,0.0,0.0
23.1744581106,0.0,0.0
24.1744581106,0.0,0.0
25.1744581106,0.0,0.0
26.1744581106,0.0,0.0
27.1744581106,0.0,0.0
28.1744581106,0.0,0.0
29.1744581106,0.0,0.0
30.1744581106,0.0,0.0
31.1744581106,0.0,0.0
32.1744581106,0.0,0.0
33.1744581106,0.0,0.0
35.1744581106,0.0,0.0
36.1744581106,0.0,0.0
37.1744581106,0.0,0.0
38.1744581106,0.0,0.0
39.1744581106,0.0,0.0
40.1744581106,0.0,0.0
41.1744581106,0.0,0.0
42.1744581106,0.0,0.0
43.1744581106,0.0,0.0
44.1744581106,0.0,0.0
45.1744581106,0.0,10.0
46.1744581106,10.0,19.3
47.1744581106,18.8,27.4
48.1744581106,29.2,36.2
49.1744581106,40.6,48.2
50.1744581106,45.4,54.6
51.1744581106,51.8,59.4
52.1744581106,63.8,70.8
53.1744581106,72.6,81.2
54.1744581106,80.7,90.0
55.1744581106,90.0,100.0
56.1744581106,100.0,100.0
57.1744581106,100.0,100.0
58.1744581106,100.0,100.0
59.1744581106,100.0,100.0
60.1744581106,100.0,100.0
61.1744581106,100.0,100.0
62.1744581106,100.0,100.0
63.1744581106,100.0,100.0
64.1744581106,100.0,100.0
65.1744581106,100.0,100.0
66.1744581106,100.0,100.0
67.1744581106,100.0,100.0
68.1744581106,100.0,100.0
69.1744581106,100.0,100.0
70.1744581106,100.0,100.0
71.1744581106,100.0,100.0
72.1744581106,100.0,100.0
73.1744581106,100.0,100.0
74.1744581106,100.0,100.0
75.1744581106,100.0,100.0
76.1744581106,100.0,100.0
77.1744581106,100.0,100.0
78.1744581106,100.0,100.0
79.1744581106,100.0,100.0
80.1744581106,100.0,100.0
81.1744581106,100.0,100.0
82.1744581106,100.0,100.0
83.1744581106,100.0,100.0
84.1744581106,100.0,100.0
85.1744581106,100.0,100.0
86.1744581106,100.0,100.0
87.1744581106,100.0,100.0
88.1744581106,100.0,100.0
89.1744581106,100.0,100.0
90.1744581106,100.0,100.0
91.1744581106,100.0,100.0
92.1744581106,100.0,100.0
93.1744581106,100.0,100.0
94.1744581106,100.0,100.0
95.1744581106,100.0,100.0
96.1744581106,100.0,100.0
97.1744581106,100.0,100.0
98.1744581106,100.0,100.0
99.1744581106,100.0,100.0
100,100,100
