votesR,seatsR,votesD,seatsD
0,0,0,0
0.420420091233,0.0,0.579579908767,0.0
1.42042009123,0.0,1.57957990877,0.0
2.42042009123,0.0,2.57957990877,0.0
3.42042009123,0.0,3.57957990877,0.0
4.42042009123,0.0,4.57957990877,0.0
5.42042009123,0.0,5.57957990877,0.0
6.42042009123,0.0,6.57957990877,0.0
7.42042009123,0.0,7.57957990877,0.0
8.42042009123,0.0,8.57957990877,0.0
9.42042009123,0.0,9.57957990877,0.0
10.4204200912,0.0,10.5795799088,0.0
11.4204200912,0.0,11.5795799088,0.0
12.4204200912,0.0,12.5795799088,1.22142857143
13.4204200912,0.0,13.5795799088,2.40714285714
14.4204200912,0.0,14.5795799088,3.59285714286
15.4204200912,0.0,15.5795799088,4.64285714286
16.4204200912,0.0,16.5795799088,5.85714285714
17.4204200912,0.0,17.5795799088,7.14285714286
18.4204200912,0.0,18.5795799088,7.14285714286
19.4204200912,0.0,19.5795799088,7.14285714286
20.4204200912,0.0,20.5795799088,7.14285714286
21.4204200912,0.0,21.5795799088,7.14285714286
22.4204200912,0.0,22.5795799088,7.14285714286
23.4204200912,0.0,23.5795799088,8.35
24.4204200912,1.12142857143,24.5795799088,9.5
25.4204200912,3.69285714286,25.5795799088,12.3071428571
26.4204200912,6.28571428571,26.5795799088,14.3571428571
27.4204200912,8.07142857143,27.5795799088,16.7285714286
28.4204200912,10.6785714286,28.5795799088,19.1285714286
29.4204200912,13.0285714286,29.5795799088,20.2642857143
30.4204200912,14.2857142857,30.5795799088,21.4285714286
31.4204200912,14.2857142857,31.5795799088,21.4285714286
32.4204200912,14.2857142857,32.5795799088,21.4285714286
33.4204200912,15.5285714286,33.5795799088,22.5285714286
34.4204200912,17.65,34.5795799088,23.7071428571
35.4204200912,20.3285714286,35.5795799088,25.0214285714
36.4204200912,22.3,36.5795799088,26.1285714286
37.4204200912,26.0785714286,37.5795799088,27.3071428571
38.4204200912,29.9214285714,38.5795799088,28.5714285714
39.4204200912,34.5,39.5795799088,28.5714285714
40.4204200912,38.0214285714,40.5795799088,28.5714285714
41.4204200912,41.7142857143,41.5795799088,29.6785714286
42.4204200912,45.2142857143,42.5795799088,30.7285714286
43.4204200912,48.5214285714,43.5795799088,33.3285714286
44.4204200912,52.4428571429,44.5795799088,35.6142857143
45.4204200912,53.5642857143,45.5795799088,38.0285714286
46.4204200912,54.8071428571,46.5795799088,40.4928571429
47.4204200912,55.8785714286,48.5795799088,42.8571428571
48.4204200912,57.1428571429,49.5795799088,42.8571428571
49.4204200912,57.1428571429,50.5795799088,42.8571428571
50.4204200912,57.1428571429,51.5795799088,42.8571428571
51.4204200912,57.1428571429,52.5795799088,44.1214285714
53.4204200912,59.5071428571,53.5795799088,45.1928571429
54.4204200912,61.9714285714,54.5795799088,46.4357142857
55.4204200912,64.3857142857,55.5795799088,47.5571428571
56.4204200912,66.6714285714,56.5795799088,51.4785714286
57.4204200912,69.2714285714,57.5795799088,54.7857142857
58.4204200912,70.3214285714,58.5795799088,58.2857142857
59.4204200912,71.4285714286,59.5795799088,61.9785714286
60.4204200912,71.4285714286,60.5795799088,65.5
61.4204200912,71.4285714286,61.5795799088,70.0785714286
62.4204200912,72.6928571429,62.5795799088,73.9214285714
63.4204200912,73.8714285714,63.5795799088,77.7
64.4204200912,74.9785714286,64.5795799088,79.6714285714
65.4204200912,76.2928571429,65.5795799088,82.35
66.4204200912,77.4714285714,66.5795799088,84.4714285714
67.4204200912,78.5714285714,67.5795799088,85.7142857143
68.4204200912,78.5714285714,68.5795799088,85.7142857143
69.4204200912,78.5714285714,69.5795799088,85.7142857143
70.4204200912,79.7357142857,70.5795799088,86.9714285714
71.4204200912,80.8714285714,71.5795799088,89.3214285714
72.4204200912,83.2714285714,72.5795799088,91.9285714286
73.4204200912,85.6428571429,73.5795799088,93.7142857143
74.4204200912,87.6928571429,74.5795799088,96.3071428571
75.4204200912,90.5,75.5795799088,98.8785714286
76.4204200912,91.65,76.5795799088,100.0
77.4204200912,92.8571428571,77.5795799088,100.0
78.4204200912,92.8571428571,78.5795799088,100.0
79.4204200912,92.8571428571,79.5795799088,100.0
80.4204200912,92.8571428571,80.5795799088,100.0
81.4204200912,92.8571428571,81.5795799088,100.0
82.4204200912,92.8571428571,82.5795799088,100.0
83.4204200912,94.1428571429,83.5795799088,100.0
84.4204200912,95.3571428571,84.5795799088,100.0
85.4204200912,96.4071428571,85.5795799088,100.0
86.4204200912,97.5928571429,86.5795799088,100.0
87.4204200912,98.7785714286,87.5795799088,100.0
88.4204200912,100.0,88.5795799088,100.0
89.4204200912,100.0,89.5795799088,100.0
90.4204200912,100.0,90.5795799088,100.0
91.4204200912,100.0,91.5795799088,100.0
92.4204200912,100.0,92.5795799088,100.0
93.4204200912,100.0,93.5795799088,100.0
94.4204200912,100.0,94.5795799088,100.0
95.4204200912,100.0,95.5795799088,100.0
96.4204200912,100.0,96.5795799088,100.0
97.4204200912,100.0,97.5795799088,100.0
98.4204200912,100.0,98.5795799088,100.0
99.4204200912,100.0,99.5795799088,100.0
100,100,100,100
