votes,seatsR,seatsD
0,0,0
0.548711479887,0.0,0.0
1.54871147989,0.0,0.0
2.54871147989,0.0,0.0
3.54871147989,0.0,0.0
4.54871147989,0.0,0.0
5.54871147989,0.0,0.0
6.54871147989,0.0,0.0
7.54871147989,0.0,0.0
8.54871147989,0.0,0.0
9.54871147989,0.0,0.0
10.5487114799,0.0,0.0
11.5487114799,0.0,0.0
12.5487114799,0.0,0.0
13.5487114799,0.0,0.0
14.5487114799,0.0,0.0
15.5487114799,0.0,0.0
16.5487114799,0.0,0.0
17.5487114799,0.0,0.0
18.5487114799,0.0,0.0
19.5487114799,0.0,0.0
20.5487114799,0.0,0.0
21.5487114799,0.0,0.0
22.5487114799,0.0,0.0
23.5487114799,0.0,0.0
24.5487114799,0.0,0.0
25.5487114799,0.0,0.0
26.5487114799,0.0,0.0
27.5487114799,0.0,0.0
28.5487114799,0.0,0.0
29.5487114799,0.0,0.0
30.5487114799,0.0,0.0
31.5487114799,0.0,0.0
33.5487114799,9.0,0.0
34.5487114799,17.8,0.0
35.5487114799,24.8,0.0
36.5487114799,33.2,0.0
37.5487114799,41.3,7.8
38.5487114799,50.0,16.95
39.5487114799,50.0,25.0
40.5487114799,50.0,33.35
41.5487114799,50.0,41.8
42.5487114799,50.0,50.0
43.5487114799,50.0,50.0
44.5487114799,50.0,50.0
45.5487114799,50.0,50.0
46.5487114799,50.0,50.0
47.5487114799,50.0,50.0
48.5487114799,50.0,50.0
49.5487114799,50.0,50.0
50.5487114799,50.0,50.0
51.5487114799,50.0,50.0
52.5487114799,50.0,50.0
53.5487114799,50.0,50.0
54.5487114799,50.0,50.0
55.5487114799,50.0,50.0
56.5487114799,50.0,50.0
57.5487114799,50.0,50.0
58.5487114799,50.0,50.0
59.5487114799,58.2,50.0
60.5487114799,66.65,50.0
61.5487114799,75.0,50.0
62.5487114799,83.05,50.0
63.5487114799,92.2,58.7
64.5487114799,100.0,66.8
65.5487114799,100.0,75.2
66.5487114799,100.0,82.2
67.5487114799,100.0,91.0
68.5487114799,100.0,100.0
69.5487114799,100.0,100.0
70.5487114799,100.0,100.0
71.5487114799,100.0,100.0
72.5487114799,100.0,100.0
73.5487114799,100.0,100.0
74.5487114799,100.0,100.0
75.5487114799,100.0,100.0
76.5487114799,100.0,100.0
77.5487114799,100.0,100.0
78.5487114799,100.0,100.0
79.5487114799,100.0,100.0
80.5487114799,100.0,100.0
81.5487114799,100.0,100.0
82.5487114799,100.0,100.0
83.5487114799,100.0,100.0
84.5487114799,100.0,100.0
85.5487114799,100.0,100.0
86.5487114799,100.0,100.0
87.5487114799,100.0,100.0
88.5487114799,100.0,100.0
89.5487114799,100.0,100.0
90.5487114799,100.0,100.0
91.5487114799,100.0,100.0
92.5487114799,100.0,100.0
93.5487114799,100.0,100.0
94.5487114799,100.0,100.0
95.5487114799,100.0,100.0
96.5487114799,100.0,100.0
97.5487114799,100.0,100.0
98.5487114799,100.0,100.0
99.5487114799,100.0,100.0
100,100,100
