votesR,seatsR,votesD,seatsD
0,0,0,0
0.146738415488,0.0,0.853261584512,0.0
1.14673841549,0.0,1.85326158451,0.0
2.14673841549,0.0,2.85326158451,0.0
3.14673841549,0.0,3.85326158451,0.0
4.14673841549,0.0,4.85326158451,0.0
5.14673841549,0.0,5.85326158451,0.0
6.14673841549,0.0,6.85326158451,0.0
7.14673841549,0.0,7.85326158451,0.0
8.14673841549,0.0,8.85326158451,0.0
9.14673841549,0.0,9.85326158451,0.0
10.1467384155,0.0,10.8532615845,0.0
11.1467384155,0.0,11.8532615845,0.0
12.1467384155,0.0,12.8532615845,0.0
13.1467384155,0.0,13.8532615845,0.0
14.1467384155,0.0,14.8532615845,0.0
15.1467384155,0.0,15.8532615845,1.0
16.1467384155,0.0,16.8532615845,1.81666666667
17.1467384155,0.0,17.8532615845,2.86111111111
18.1467384155,0.0,18.8532615845,3.75
19.1467384155,0.0,19.8532615845,4.69444444444
20.1467384155,0.933333333333,20.8532615845,5.55555555556
21.1467384155,1.83333333333,21.8532615845,5.55555555556
22.1467384155,2.68888888889,22.8532615845,5.55555555556
23.1467384155,3.70555555556,23.8532615845,5.55555555556
24.1467384155,4.6,24.8532615845,5.55555555556
25.1467384155,5.55555555556,25.8532615845,5.55555555556
26.1467384155,6.53333333333,26.8532615845,5.55555555556
27.1467384155,7.38333333333,27.8532615845,5.55555555556
28.1467384155,8.25555555556,28.8532615845,5.55555555556
29.1467384155,9.27777777778,29.8532615845,5.55555555556
30.1467384155,10.2055555556,30.8532615845,7.61111111111
31.1467384155,11.1111111111,31.8532615845,9.26111111111
32.1467384155,11.1111111111,32.8532615845,11.1888888889
33.1467384155,12.0611111111,33.8532615845,12.9833333333
34.1467384155,13.0222222222,34.8532615845,15.7055555556
35.1467384155,14.8166666667,35.8532615845,19.3833333333
36.1467384155,17.7222222222,36.8532615845,21.3833333333
37.1467384155,20.4666666667,37.8532615845,24.2277777778
38.1467384155,23.2444444444,38.8532615845,26.75
39.1467384155,24.9666666667,39.8532615845,29.7
40.1467384155,26.8444444444,40.8532615845,32.6111111111
41.1467384155,27.7777777778,41.8532615845,34.25
42.1467384155,27.7777777778,42.8532615845,36.0333333333
43.1467384155,27.7777777778,43.8532615845,36.9777777778
44.1467384155,28.6333333333,44.8532615845,37.9166666667
46.1467384155,41.8277777778,45.8532615845,39.8444444444
47.1467384155,45.3944444444,46.8532615845,40.7111111111
48.1467384155,48.0388888889,47.8532615845,41.5944444444
49.1467384155,50.8444444444,48.8532615845,42.6944444444
50.1467384155,54.7333333333,49.8532615845,45.2666666667
51.1467384155,57.3055555556,50.8532615845,49.1555555556
52.1467384155,58.4055555556,51.8532615845,51.9611111111
53.1467384155,59.2888888889,52.8532615845,54.6055555556
54.1467384155,60.1555555556,53.8532615845,58.1722222222
55.1467384155,62.0833333333,55.8532615845,71.3666666667
56.1467384155,63.0222222222,56.8532615845,72.2222222222
57.1467384155,63.9666666667,57.8532615845,72.2222222222
58.1467384155,65.75,58.8532615845,72.2222222222
59.1467384155,67.3888888889,59.8532615845,73.1555555556
60.1467384155,70.3,60.8532615845,75.0333333333
61.1467384155,73.25,61.8532615845,76.7555555556
62.1467384155,75.7722222222,62.8532615845,79.5333333333
63.1467384155,78.6166666667,63.8532615845,82.2777777778
64.1467384155,80.6166666667,64.8532615845,85.1833333333
65.1467384155,84.2944444444,65.8532615845,86.9777777778
66.1467384155,87.0166666667,66.8532615845,87.9388888889
67.1467384155,88.8111111111,67.8532615845,88.8888888889
68.1467384155,90.7388888889,68.8532615845,88.8888888889
69.1467384155,92.3888888889,69.8532615845,89.7944444444
70.1467384155,94.4444444444,70.8532615845,90.7222222222
71.1467384155,94.4444444444,71.8532615845,91.7444444444
72.1467384155,94.4444444444,72.8532615845,92.6166666667
73.1467384155,94.4444444444,73.8532615845,93.4666666667
74.1467384155,94.4444444444,74.8532615845,94.4444444444
75.1467384155,94.4444444444,75.8532615845,95.4
76.1467384155,94.4444444444,76.8532615845,96.2944444444
77.1467384155,94.4444444444,77.8532615845,97.3111111111
78.1467384155,94.4444444444,78.8532615845,98.1666666667
79.1467384155,94.4444444444,79.8532615845,99.0666666667
80.1467384155,95.3055555556,80.8532615845,100.0
81.1467384155,96.25,81.8532615845,100.0
82.1467384155,97.1388888889,82.8532615845,100.0
83.1467384155,98.1833333333,83.8532615845,100.0
84.1467384155,99.0,84.8532615845,100.0
85.1467384155,100.0,85.8532615845,100.0
86.1467384155,100.0,86.8532615845,100.0
87.1467384155,100.0,87.8532615845,100.0
88.1467384155,100.0,88.8532615845,100.0
89.1467384155,100.0,89.8532615845,100.0
90.1467384155,100.0,90.8532615845,100.0
91.1467384155,100.0,91.8532615845,100.0
92.1467384155,100.0,92.8532615845,100.0
93.1467384155,100.0,93.8532615845,100.0
94.1467384155,100.0,94.8532615845,100.0
95.1467384155,100.0,95.8532615845,100.0
96.1467384155,100.0,96.8532615845,100.0
97.1467384155,100.0,97.8532615845,100.0
98.1467384155,100.0,98.8532615845,100.0
99.1467384155,100.0,99.8532615845,100.0
100,100,100,100
