votesR,seatsR,votesD,seatsD
0,0,0,0
0.193658055882,0.0,0.806341944118,0.0
1.19365805588,0.0,1.80634194412,0.0
2.19365805588,0.0,2.80634194412,0.0
3.19365805588,0.0,3.80634194412,0.0
4.19365805588,0.0,4.80634194412,0.0
5.19365805588,0.0,5.80634194412,0.0
6.19365805588,0.0,6.80634194412,0.0
7.19365805588,0.0,7.80634194412,0.0
8.19365805588,0.0,8.80634194412,0.0
9.19365805588,0.0,9.80634194412,0.0
10.1936580559,0.0,10.8063419441,0.0
11.1936580559,0.0,11.8063419441,0.0
12.1936580559,0.0,12.8063419441,0.0
13.1936580559,0.0,13.8063419441,0.0
14.1936580559,0.0,14.8063419441,0.0
15.1936580559,0.0,15.8063419441,0.0
16.1936580559,0.0,16.8063419441,0.0
17.1936580559,0.0,17.8063419441,0.0
18.1936580559,0.0,18.8063419441,0.0
19.1936580559,0.0,19.8063419441,0.0
20.1936580559,0.0,20.8063419441,0.0
21.1936580559,0.0,21.8063419441,0.0
22.1936580559,0.0,22.8063419441,0.0
23.1936580559,0.0,23.8063419441,0.0
24.1936580559,0.0,24.8063419441,0.0
25.1936580559,0.0,25.8063419441,0.0
26.1936580559,0.0,26.8063419441,0.0
27.1936580559,0.0,27.8063419441,1.9
28.1936580559,0.0,28.8063419441,3.83333333333
29.1936580559,0.0,29.8063419441,5.84444444444
30.1936580559,0.0,30.8063419441,7.17777777778
31.1936580559,0.0,31.8063419441,9.46666666667
32.1936580559,0.0,32.8063419441,13.2
33.1936580559,0.0,33.8063419441,14.9666666667
34.1936580559,0.0,34.8063419441,16.6333333333
35.1936580559,0.0,35.8063419441,18.6777777778
36.1936580559,2.01111111111,36.8063419441,20.1555555556
37.1936580559,3.37777777778,37.8063419441,22.2222222222
38.1936580559,5.54444444444,38.8063419441,22.2222222222
39.1936580559,9.52222222222,39.8063419441,22.2222222222
40.1936580559,13.0222222222,40.8063419441,22.2222222222
41.1936580559,18.2666666667,41.8063419441,22.2222222222
42.1936580559,22.3888888889,42.8063419441,22.2222222222
43.1936580559,27.6555555556,43.8063419441,22.2222222222
44.1936580559,33.5222222222,44.8063419441,22.2222222222
45.1936580559,37.4444444444,46.8063419441,31.6111111111
46.1936580559,40.7111111111,47.8063419441,37.3555555556
47.1936580559,42.7111111111,48.8063419441,40.9555555556
48.1936580559,48.2888888889,49.8063419441,44.3333333333
49.1936580559,51.8111111111,50.8063419441,48.1888888889
50.1936580559,55.6666666667,51.8063419441,51.7111111111
51.1936580559,59.0444444444,52.8063419441,57.2888888889
52.1936580559,62.6444444444,53.8063419441,59.2888888889
53.1936580559,68.3888888889,54.8063419441,62.5555555556
55.1936580559,77.7777777778,55.8063419441,66.4777777778
56.1936580559,77.7777777778,56.8063419441,72.3444444444
57.1936580559,77.7777777778,57.8063419441,77.6111111111
58.1936580559,77.7777777778,58.8063419441,81.7333333333
59.1936580559,77.7777777778,59.8063419441,86.9777777778
60.1936580559,77.7777777778,60.8063419441,90.4777777778
61.1936580559,77.7777777778,61.8063419441,94.4555555556
62.1936580559,77.7777777778,62.8063419441,96.6222222222
63.1936580559,79.8444444444,63.8063419441,97.9888888889
64.1936580559,81.3222222222,64.8063419441,100.0
65.1936580559,83.3666666667,65.8063419441,100.0
66.1936580559,85.0333333333,66.8063419441,100.0
67.1936580559,86.8,67.8063419441,100.0
68.1936580559,90.5333333333,68.8063419441,100.0
69.1936580559,92.8222222222,69.8063419441,100.0
70.1936580559,94.1555555556,70.8063419441,100.0
71.1936580559,96.1666666667,71.8063419441,100.0
72.1936580559,98.1,72.8063419441,100.0
73.1936580559,100.0,73.8063419441,100.0
74.1936580559,100.0,74.8063419441,100.0
75.1936580559,100.0,75.8063419441,100.0
76.1936580559,100.0,76.8063419441,100.0
77.1936580559,100.0,77.8063419441,100.0
78.1936580559,100.0,78.8063419441,100.0
79.1936580559,100.0,79.8063419441,100.0
80.1936580559,100.0,80.8063419441,100.0
81.1936580559,100.0,81.8063419441,100.0
82.1936580559,100.0,82.8063419441,100.0
83.1936580559,100.0,83.8063419441,100.0
84.1936580559,100.0,84.8063419441,100.0
85.1936580559,100.0,85.8063419441,100.0
86.1936580559,100.0,86.8063419441,100.0
87.1936580559,100.0,87.8063419441,100.0
88.1936580559,100.0,88.8063419441,100.0
89.1936580559,100.0,89.8063419441,100.0
90.1936580559,100.0,90.8063419441,100.0
91.1936580559,100.0,91.8063419441,100.0
92.1936580559,100.0,92.8063419441,100.0
93.1936580559,100.0,93.8063419441,100.0
94.1936580559,100.0,94.8063419441,100.0
95.1936580559,100.0,95.8063419441,100.0
96.1936580559,100.0,96.8063419441,100.0
97.1936580559,100.0,97.8063419441,100.0
98.1936580559,100.0,98.8063419441,100.0
99.1936580559,100.0,99.8063419441,100.0
100,100,100,100
