votesR,seatsR,votesD,seatsD
0,0,0,0
0.846140651341,0.0,0.153859348659,0.0
1.84614065134,0.0,1.15385934866,0.0
2.84614065134,0.0,2.15385934866,0.0
3.84614065134,0.0,3.15385934866,0.0
4.84614065134,0.0,4.15385934866,0.0
5.84614065134,0.0,5.15385934866,0.0
6.84614065134,0.0,6.15385934866,0.0
7.84614065134,0.0,7.15385934866,0.0
8.84614065134,0.0,8.15385934866,0.0
9.84614065134,0.0,9.15385934866,0.0
10.8461406513,0.0,10.1538593487,0.0
11.8461406513,0.0,11.1538593487,0.0
12.8461406513,0.0,12.1538593487,0.0
13.8461406513,0.0,13.1538593487,0.0
14.8461406513,0.0,14.1538593487,0.0
15.8461406513,0.0,15.1538593487,0.0
16.8461406513,0.0,16.1538593487,0.0
17.8461406513,0.0,17.1538593487,0.0
18.8461406513,0.0,18.1538593487,0.0
19.8461406513,0.0,19.1538593487,0.0
20.8461406513,0.0,20.1538593487,0.0
21.8461406513,0.0,21.1538593487,0.0
22.8461406513,0.0,22.1538593487,0.0
23.8461406513,0.0,23.1538593487,0.0
24.8461406513,0.0,24.1538593487,0.0
25.8461406513,0.0,25.1538593487,0.0
26.8461406513,0.0,26.1538593487,0.0
27.8461406513,0.0,27.1538593487,2.61666666667
28.8461406513,0.0,28.1538593487,5.18333333333
29.8461406513,2.71666666667,29.1538593487,8.66666666667
30.8461406513,5.58333333333,30.1538593487,11.0666666667
31.8461406513,8.73333333333,31.1538593487,13.8666666667
32.8461406513,11.15,32.1538593487,16.6666666667
33.8461406513,14.1333333333,33.1538593487,16.6666666667
34.8461406513,16.6666666667,34.1538593487,16.6666666667
35.8461406513,16.6666666667,35.1538593487,16.6666666667
36.8461406513,16.6666666667,36.1538593487,16.6666666667
37.8461406513,19.6833333333,37.1538593487,16.6666666667
38.8461406513,22.5,38.1538593487,16.6666666667
39.8461406513,25.1,39.1538593487,16.6666666667
40.8461406513,30.6333333333,40.1538593487,19.4666666667
41.8461406513,35.8833333333,41.1538593487,22.6166666667
42.8461406513,41.8833333333,43.1538593487,33.3333333333
43.8461406513,44.4666666667,44.1538593487,33.3333333333
44.8461406513,47.3,45.1538593487,33.3333333333
45.8461406513,50.0,46.1538593487,33.3333333333
46.8461406513,50.0,47.1538593487,36.3166666667
47.8461406513,50.0,48.1538593487,38.9
48.8461406513,52.6166666667,49.1538593487,41.8333333333
49.8461406513,55.7166666667,50.1538593487,44.2833333333
50.8461406513,58.1666666667,51.1538593487,47.3833333333
51.8461406513,61.1,52.1538593487,50.0
52.8461406513,63.6833333333,53.1538593487,50.0
53.8461406513,66.6666666667,54.1538593487,50.0
54.8461406513,66.6666666667,55.1538593487,52.7
55.8461406513,66.6666666667,56.1538593487,55.5333333333
56.8461406513,66.6666666667,57.1538593487,58.1166666667
58.8461406513,77.3833333333,58.1538593487,64.1166666667
59.8461406513,80.5333333333,59.1538593487,69.3666666667
60.8461406513,83.3333333333,60.1538593487,74.9
61.8461406513,83.3333333333,61.1538593487,77.5
62.8461406513,83.3333333333,62.1538593487,80.3166666667
63.8461406513,83.3333333333,63.1538593487,83.3333333333
64.8461406513,83.3333333333,64.1538593487,83.3333333333
65.8461406513,83.3333333333,65.1538593487,83.3333333333
66.8461406513,83.3333333333,66.1538593487,85.8666666667
67.8461406513,83.3333333333,67.1538593487,88.85
68.8461406513,86.1333333333,68.1538593487,91.2666666667
69.8461406513,88.9333333333,69.1538593487,94.4166666667
70.8461406513,91.3333333333,70.1538593487,97.2833333333
71.8461406513,94.8166666667,71.1538593487,100.0
72.8461406513,97.3833333333,72.1538593487,100.0
73.8461406513,100.0,73.1538593487,100.0
74.8461406513,100.0,74.1538593487,100.0
75.8461406513,100.0,75.1538593487,100.0
76.8461406513,100.0,76.1538593487,100.0
77.8461406513,100.0,77.1538593487,100.0
78.8461406513,100.0,78.1538593487,100.0
79.8461406513,100.0,79.1538593487,100.0
80.8461406513,100.0,80.1538593487,100.0
81.8461406513,100.0,81.1538593487,100.0
82.8461406513,100.0,82.1538593487,100.0
83.8461406513,100.0,83.1538593487,100.0
84.8461406513,100.0,84.1538593487,100.0
85.8461406513,100.0,85.1538593487,100.0
86.8461406513,100.0,86.1538593487,100.0
87.8461406513,100.0,87.1538593487,100.0
88.8461406513,100.0,88.1538593487,100.0
89.8461406513,100.0,89.1538593487,100.0
90.8461406513,100.0,90.1538593487,100.0
91.8461406513,100.0,91.1538593487,100.0
92.8461406513,100.0,92.1538593487,100.0
93.8461406513,100.0,93.1538593487,100.0
94.8461406513,100.0,94.1538593487,100.0
95.8461406513,100.0,95.1538593487,100.0
96.8461406513,100.0,96.1538593487,100.0
97.8461406513,100.0,97.1538593487,100.0
98.8461406513,100.0,98.1538593487,100.0
99.8461406513,100.0,99.1538593487,100.0
100,100,100,100
