votes,seatsR,seatsD
0,0,0
0.783270792837,0.0,0.916666666667
1.78327079284,0.0,1.9
2.78327079284,0.0,3.76666666667
3.78327079284,0.0,5.61666666667
4.78327079284,0.0,8.3
5.78327079284,0.0,10.4
6.78327079284,0.0,12.8166666667
7.78327079284,0.0,14.8333333333
8.78327079284,0.0,16.5333333333
9.78327079284,0.0,16.6666666667
10.7832707928,0.0,16.6666666667
11.7832707928,0.0,16.6666666667
12.7832707928,0.0,16.6666666667
13.7832707928,0.0,16.6666666667
14.7832707928,0.0,16.6666666667
15.7832707928,0.0,16.6666666667
16.7832707928,0.0,16.6666666667
17.7832707928,0.0,16.6666666667
18.7832707928,0.0,16.6666666667
19.7832707928,0.0,16.6666666667
20.7832707928,0.0,16.6666666667
21.7832707928,0.0,16.6666666667
22.7832707928,0.0,16.6666666667
23.7832707928,0.0,16.6666666667
24.7832707928,0.0,16.6666666667
25.7832707928,0.0,16.6666666667
26.7832707928,0.0,16.6666666667
27.7832707928,0.0,16.6666666667
28.7832707928,0.0,16.6666666667
29.7832707928,0.0,16.6666666667
30.7832707928,0.0,16.6666666667
31.7832707928,1.51666666667,16.6666666667
32.7832707928,3.11666666667,16.6666666667
33.7832707928,7.53333333333,16.6666666667
34.7832707928,13.6166666667,16.6666666667
35.7832707928,20.2833333333,16.6666666667
36.7832707928,25.6166666667,16.6666666667
37.7832707928,31.0833333333,16.6666666667
38.7832707928,37.0166666667,16.6666666667
39.7832707928,43.9833333333,16.6666666667
40.7832707928,51.5666666667,16.6666666667
41.7832707928,59.6166666667,16.6666666667
42.7832707928,65.3166666667,16.6666666667
43.7832707928,71.1,16.6666666667
44.7832707928,74.2166666667,16.6666666667
45.7832707928,76.1,16.6666666667
46.7832707928,77.7333333333,16.6666666667
47.7832707928,79.3666666667,16.6666666667
48.7832707928,80.1333333333,16.6666666667
49.7832707928,81.6333333333,18.3666666667
50.7832707928,83.3333333333,19.8666666667
51.7832707928,83.3333333333,20.6333333333
52.7832707928,83.3333333333,22.2666666667
53.7832707928,83.3333333333,23.9
54.7832707928,83.3333333333,25.7833333333
55.7832707928,83.3333333333,32.0833333333
56.7832707928,83.3333333333,37.8666666667
57.7832707928,83.3333333333,43.75
58.7832707928,83.3333333333,51.4166666667
59.7832707928,83.3333333333,58.8
60.7832707928,83.3333333333,65.8666666667
61.7832707928,83.3333333333,71.5166666667
62.7832707928,83.3333333333,77.35
63.7832707928,83.3333333333,82.8833333333
65.7832707928,83.3333333333,89.4333333333
66.7832707928,83.3333333333,95.5666666667
67.7832707928,83.3333333333,96.8833333333
68.7832707928,83.3333333333,98.4833333333
69.7832707928,83.3333333333,100.0
70.7832707928,83.3333333333,100.0
71.7832707928,83.3333333333,100.0
72.7832707928,83.3333333333,100.0
73.7832707928,83.3333333333,100.0
74.7832707928,83.3333333333,100.0
75.7832707928,83.3333333333,100.0
76.7832707928,83.3333333333,100.0
77.7832707928,83.3333333333,100.0
78.7832707928,83.3333333333,100.0
79.7832707928,83.3333333333,100.0
80.7832707928,83.3333333333,100.0
81.7832707928,83.3333333333,100.0
82.7832707928,83.3333333333,100.0
83.7832707928,83.3333333333,100.0
84.7832707928,83.3333333333,100.0
85.7832707928,83.3333333333,100.0
86.7832707928,83.3333333333,100.0
87.7832707928,83.3333333333,100.0
88.7832707928,83.3333333333,100.0
89.7832707928,83.3333333333,100.0
90.7832707928,83.3333333333,100.0
91.7832707928,83.5166666667,100.0
92.7832707928,85.4833333333,100.0
93.7832707928,87.4666666667,100.0
94.7832707928,90.0833333333,100.0
95.7832707928,92.2166666667,100.0
96.7832707928,94.3833333333,100.0
97.7832707928,96.2333333333,100.0
98.7832707928,98.1,100.0
99.7832707928,99.0833333333,100.0
100,100,100
