votesR,seatsR,votesD,seatsD
0,0,0,0
0.591212763396,0.0,0.408787236604,0.0
1.5912127634,0.0,1.4087872366,0.0
2.5912127634,0.0,2.4087872366,0.0
3.5912127634,0.0,3.4087872366,0.0
4.5912127634,0.0,4.4087872366,0.0
5.5912127634,0.0,5.4087872366,0.0
6.5912127634,0.0,6.4087872366,0.0
7.5912127634,0.0,7.4087872366,0.0
8.5912127634,0.0,8.4087872366,0.0
9.5912127634,0.0,9.4087872366,0.0
10.5912127634,0.0,10.4087872366,0.0
11.5912127634,0.0,11.4087872366,0.0
12.5912127634,0.0,12.4087872366,0.0
13.5912127634,0.0,13.4087872366,0.0
14.5912127634,0.0,14.4087872366,0.0
15.5912127634,0.0,15.4087872366,0.0
16.5912127634,0.0,16.4087872366,0.0
17.5912127634,0.0,17.4087872366,0.0
18.5912127634,0.0,18.4087872366,0.0
19.5912127634,0.0,19.4087872366,0.0
20.5912127634,0.0,20.4087872366,0.0
21.5912127634,0.0,21.4087872366,0.0
22.5912127634,0.0,22.4087872366,0.0
23.5912127634,0.0,23.4087872366,0.0
24.5912127634,0.0,24.4087872366,0.0
25.5912127634,0.0,25.4087872366,0.0
26.5912127634,0.0,26.4087872366,0.0
27.5912127634,0.0,27.4087872366,0.0
28.5912127634,0.0,28.4087872366,0.0
29.5912127634,0.0,29.4087872366,0.0
30.5912127634,0.0,30.4087872366,0.0
31.5912127634,0.0,31.4087872366,0.0
32.5912127634,0.0,32.4087872366,0.0
33.5912127634,0.0,33.4087872366,0.0
35.5912127634,11.3111111111,34.4087872366,0.0
36.5912127634,14.8111111111,35.4087872366,0.0
37.5912127634,16.5666666667,36.4087872366,0.0
38.5912127634,18.5888888889,37.4087872366,0.0
39.5912127634,20.5777777778,38.4087872366,2.01111111111
40.5912127634,22.2222222222,39.4087872366,5.47777777778
41.5912127634,22.2222222222,40.4087872366,9.45555555556
42.5912127634,22.2222222222,41.4087872366,12.8333333333
43.5912127634,22.2222222222,42.4087872366,16.4888888889
44.5912127634,23.9888888889,43.4087872366,20.3666666667
45.5912127634,27.8777777778,44.4087872366,22.2222222222
46.5912127634,33.4222222222,45.4087872366,26.0222222222
47.5912127634,38.7222222222,46.4087872366,29.4111111111
48.5912127634,44.6111111111,47.4087872366,33.4444444444
49.5912127634,50.0222222222,48.4087872366,37.5444444444
50.5912127634,57.4666666667,49.4087872366,42.5333333333
51.5912127634,62.4555555556,50.4087872366,49.9777777778
52.5912127634,66.5555555556,51.4087872366,55.3888888889
53.5912127634,70.5888888889,52.4087872366,61.2777777778
54.5912127634,73.9777777778,53.4087872366,66.5777777778
55.5912127634,77.7777777778,54.4087872366,72.1222222222
56.5912127634,79.6333333333,55.4087872366,76.0111111111
57.5912127634,83.5111111111,56.4087872366,77.7777777778
58.5912127634,87.1666666667,57.4087872366,77.7777777778
59.5912127634,90.5444444444,58.4087872366,77.7777777778
60.5912127634,94.5222222222,59.4087872366,77.7777777778
61.5912127634,97.9888888889,60.4087872366,79.4222222222
62.5912127634,100.0,61.4087872366,81.4111111111
63.5912127634,100.0,62.4087872366,83.4333333333
64.5912127634,100.0,63.4087872366,85.1888888889
65.5912127634,100.0,64.4087872366,88.6888888889
66.5912127634,100.0,66.4087872366,100.0
67.5912127634,100.0,67.4087872366,100.0
68.5912127634,100.0,68.4087872366,100.0
69.5912127634,100.0,69.4087872366,100.0
70.5912127634,100.0,70.4087872366,100.0
71.5912127634,100.0,71.4087872366,100.0
72.5912127634,100.0,72.4087872366,100.0
73.5912127634,100.0,73.4087872366,100.0
74.5912127634,100.0,74.4087872366,100.0
75.5912127634,100.0,75.4087872366,100.0
76.5912127634,100.0,76.4087872366,100.0
77.5912127634,100.0,77.4087872366,100.0
78.5912127634,100.0,78.4087872366,100.0
79.5912127634,100.0,79.4087872366,100.0
80.5912127634,100.0,80.4087872366,100.0
81.5912127634,100.0,81.4087872366,100.0
82.5912127634,100.0,82.4087872366,100.0
83.5912127634,100.0,83.4087872366,100.0
84.5912127634,100.0,84.4087872366,100.0
85.5912127634,100.0,85.4087872366,100.0
86.5912127634,100.0,86.4087872366,100.0
87.5912127634,100.0,87.4087872366,100.0
88.5912127634,100.0,88.4087872366,100.0
89.5912127634,100.0,89.4087872366,100.0
90.5912127634,100.0,90.4087872366,100.0
91.5912127634,100.0,91.4087872366,100.0
92.5912127634,100.0,92.4087872366,100.0
93.5912127634,100.0,93.4087872366,100.0
94.5912127634,100.0,94.4087872366,100.0
95.5912127634,100.0,95.4087872366,100.0
96.5912127634,100.0,96.4087872366,100.0
97.5912127634,100.0,97.4087872366,100.0
98.5912127634,100.0,98.4087872366,100.0
99.5912127634,100.0,99.4087872366,100.0
100,100,100,100
