votesR,seatsR,votesD,seatsD
0,0,0,0
0.539637014451,0.0,0.460362985549,0.0
1.53963701445,0.0,1.46036298555,0.0
2.53963701445,0.0,2.46036298555,0.0
3.53963701445,0.0,3.46036298555,0.0
4.53963701445,0.0,4.46036298555,0.0
5.53963701445,0.0,5.46036298555,0.0
6.53963701445,0.0,6.46036298555,0.0
7.53963701445,0.0,7.46036298555,0.0
8.53963701445,0.0,8.46036298555,0.0
9.53963701445,0.0,9.46036298555,0.0
10.5396370145,0.0,10.4603629855,0.0
11.5396370145,0.0,11.4603629855,0.0
12.5396370145,0.0,12.4603629855,0.0
13.5396370145,0.0,13.4603629855,0.0
14.5396370145,1.9625,14.4603629855,0.0
15.5396370145,4.0875,15.4603629855,0.0
16.5396370145,6.5,16.4603629855,0.0
17.5396370145,8.1,17.4603629855,0.0
18.5396370145,10.225,18.4603629855,0.0
19.5396370145,12.5,19.4603629855,0.0
20.5396370145,12.5,20.4603629855,0.0
21.5396370145,12.5,21.4603629855,0.0
22.5396370145,12.5,22.4603629855,0.0
23.5396370145,12.5,23.4603629855,0.0
24.5396370145,12.5,24.4603629855,0.0
25.5396370145,12.5,25.4603629855,0.0
26.5396370145,12.5,26.4603629855,0.0
27.5396370145,12.5,27.4603629855,0.0
28.5396370145,12.5,28.4603629855,0.0
29.5396370145,12.5,29.4603629855,0.0
30.5396370145,12.5,30.4603629855,0.0
31.5396370145,12.5,31.4603629855,0.0
32.5396370145,12.5,32.4603629855,0.0
33.5396370145,12.5,33.4603629855,0.0
35.5396370145,12.5,34.4603629855,0.0
36.5396370145,12.5,35.4603629855,0.0
37.5396370145,12.5,36.4603629855,4.2125
38.5396370145,12.5,37.4603629855,8.0
39.5396370145,12.5,38.4603629855,11.675
40.5396370145,12.5,39.4603629855,16.625
41.5396370145,14.7125,40.4603629855,20.85
42.5396370145,16.4625,41.4603629855,25.0
43.5396370145,19.1375,42.4603629855,25.0
44.5396370145,21.125,43.4603629855,27.0625
45.5396370145,22.8875,44.4603629855,29.175
46.5396370145,27.1125,45.4603629855,33.6
47.5396370145,29.45,46.4603629855,37.275
48.5396370145,33.225,47.4603629855,43.5
49.5396370145,37.85,48.4603629855,49.625
50.5396370145,43.75,49.4603629855,56.25
51.5396370145,50.375,50.4603629855,62.15
52.5396370145,56.5,51.4603629855,66.775
53.5396370145,62.725,52.4603629855,70.55
54.5396370145,66.4,53.4603629855,72.8875
55.5396370145,70.825,54.4603629855,77.1125
56.5396370145,72.9375,55.4603629855,78.875
57.5396370145,75.0,56.4603629855,80.8625
58.5396370145,75.0,57.4603629855,83.5375
59.5396370145,79.15,58.4603629855,85.2875
60.5396370145,83.375,59.4603629855,87.5
61.5396370145,88.325,60.4603629855,87.5
62.5396370145,92.0,61.4603629855,87.5
63.5396370145,95.7875,62.4603629855,87.5
64.5396370145,100.0,63.4603629855,87.5
65.5396370145,100.0,64.4603629855,87.5
66.5396370145,100.0,66.4603629855,87.5
67.5396370145,100.0,67.4603629855,87.5
68.5396370145,100.0,68.4603629855,87.5
69.5396370145,100.0,69.4603629855,87.5
70.5396370145,100.0,70.4603629855,87.5
71.5396370145,100.0,71.4603629855,87.5
72.5396370145,100.0,72.4603629855,87.5
73.5396370145,100.0,73.4603629855,87.5
74.5396370145,100.0,74.4603629855,87.5
75.5396370145,100.0,75.4603629855,87.5
76.5396370145,100.0,76.4603629855,87.5
77.5396370145,100.0,77.4603629855,87.5
78.5396370145,100.0,78.4603629855,87.5
79.5396370145,100.0,79.4603629855,87.5
80.5396370145,100.0,80.4603629855,87.5
81.5396370145,100.0,81.4603629855,89.775
82.5396370145,100.0,82.4603629855,91.9
83.5396370145,100.0,83.4603629855,93.5
84.5396370145,100.0,84.4603629855,95.9125
85.5396370145,100.0,85.4603629855,98.0375
86.5396370145,100.0,86.4603629855,100.0
87.5396370145,100.0,87.4603629855,100.0
88.5396370145,100.0,88.4603629855,100.0
89.5396370145,100.0,89.4603629855,100.0
90.5396370145,100.0,90.4603629855,100.0
91.5396370145,100.0,91.4603629855,100.0
92.5396370145,100.0,92.4603629855,100.0
93.5396370145,100.0,93.4603629855,100.0
94.5396370145,100.0,94.4603629855,100.0
95.5396370145,100.0,95.4603629855,100.0
96.5396370145,100.0,96.4603629855,100.0
97.5396370145,100.0,97.4603629855,100.0
98.5396370145,100.0,98.4603629855,100.0
99.5396370145,100.0,99.4603629855,100.0
100,100,100,100
