votes,seatsR,seatsD
0,0,0
0.336929465365,0.0,0.0
1.33692946537,0.0,0.0
2.33692946537,0.0,0.0
3.33692946537,0.0,0.0
4.33692946537,0.0,0.0
5.33692946537,0.0,0.0
6.33692946537,0.0,0.0
7.33692946537,0.0,0.0
8.33692946537,0.0,0.0
9.33692946537,0.0,0.0
10.3369294654,0.0,0.0
11.3369294654,0.0,0.0
12.3369294654,0.0,0.0
13.3369294654,0.0,0.0
14.3369294654,0.0,0.0
15.3369294654,0.0,0.0
16.3369294654,0.0,0.0
17.3369294654,0.0,0.0
18.3369294654,0.0,0.0
19.3369294654,0.0,0.0
20.3369294654,0.0,0.0
21.3369294654,0.0,0.0
22.3369294654,0.0,0.0
23.3369294654,0.0,0.0
24.3369294654,0.0,0.0
25.3369294654,0.0,0.0
26.3369294654,0.0,0.0
27.3369294654,0.0,0.0
28.3369294654,0.0,0.0
29.3369294654,0.0,0.0
30.3369294654,0.0,0.0
31.3369294654,0.0,0.0
32.3369294654,0.0,0.0
33.3369294654,0.0,0.0
34.3369294654,0.0,0.0
35.3369294654,0.0,0.0
36.3369294654,0.0,0.0
37.3369294654,0.0,0.0
39.3369294654,0.0,0.0
40.3369294654,0.0,0.0
41.3369294654,0.0,0.0
42.3369294654,0.0,3.7
43.3369294654,4.6,8.55
44.3369294654,8.65,13.45
45.3369294654,13.2,19.35
46.3369294654,19.4,21.8
47.3369294654,23.75,26.65
48.3369294654,26.1,32.35
49.3369294654,37.25,41.85
50.3369294654,46.5,49.15
51.3369294654,53.3,58.1
52.3369294654,62.5,68.55
53.3369294654,73.35,71.9
54.3369294654,78.2,75.9
55.3369294654,80.65,81.6
56.3369294654,86.55,86.05
57.3369294654,91.45,90.5
58.3369294654,96.3,95.9
59.3369294654,100.0,100.0
60.3369294654,100.0,100.0
61.3369294654,100.0,100.0
62.3369294654,100.0,100.0
63.3369294654,100.0,100.0
64.3369294654,100.0,100.0
65.3369294654,100.0,100.0
66.3369294654,100.0,100.0
67.3369294654,100.0,100.0
68.3369294654,100.0,100.0
69.3369294654,100.0,100.0
70.3369294654,100.0,100.0
71.3369294654,100.0,100.0
72.3369294654,100.0,100.0
73.3369294654,100.0,100.0
74.3369294654,100.0,100.0
75.3369294654,100.0,100.0
76.3369294654,100.0,100.0
77.3369294654,100.0,100.0
78.3369294654,100.0,100.0
79.3369294654,100.0,100.0
80.3369294654,100.0,100.0
81.3369294654,100.0,100.0
82.3369294654,100.0,100.0
83.3369294654,100.0,100.0
84.3369294654,100.0,100.0
85.3369294654,100.0,100.0
86.3369294654,100.0,100.0
87.3369294654,100.0,100.0
88.3369294654,100.0,100.0
89.3369294654,100.0,100.0
90.3369294654,100.0,100.0
91.3369294654,100.0,100.0
92.3369294654,100.0,100.0
93.3369294654,100.0,100.0
94.3369294654,100.0,100.0
95.3369294654,100.0,100.0
96.3369294654,100.0,100.0
97.3369294654,100.0,100.0
98.3369294654,100.0,100.0
99.3369294654,100.0,100.0
100,100,100
