votesR,seatsR,votesD,seatsD
0,0,0,0
0.598671808701,0.0,0.401328191299,0.0
1.5986718087,0.0,1.4013281913,0.0
2.5986718087,0.0,2.4013281913,0.0
3.5986718087,0.0,3.4013281913,0.0
4.5986718087,0.0,4.4013281913,0.0
5.5986718087,0.0,5.4013281913,0.0
6.5986718087,0.0,6.4013281913,0.0
7.5986718087,0.0,7.4013281913,0.0
8.5986718087,0.0,8.4013281913,0.0
9.5986718087,0.0,9.4013281913,0.0
10.5986718087,0.0,10.4013281913,0.0
11.5986718087,0.0,11.4013281913,0.0
12.5986718087,0.0,12.4013281913,0.0
13.5986718087,0.0,13.4013281913,0.0
14.5986718087,0.0,14.4013281913,0.0
15.5986718087,0.0,15.4013281913,0.0
16.5986718087,0.0,16.4013281913,0.0
17.5986718087,0.0,17.4013281913,1.28571428571
18.5986718087,0.0,18.4013281913,3.84285714286
19.5986718087,0.0,19.4013281913,5.76428571429
20.5986718087,0.0,20.4013281913,8.57857142857
21.5986718087,0.0,21.4013281913,10.6642857143
22.5986718087,0.0,22.4013281913,13.1428571429
23.5986718087,0.0,23.4013281913,14.2857142857
24.5986718087,0.0,24.4013281913,14.2857142857
25.5986718087,0.0,25.4013281913,14.2857142857
26.5986718087,1.07142857143,26.4013281913,14.2857142857
27.5986718087,2.45714285714,27.4013281913,14.2857142857
28.5986718087,3.55,28.4013281913,14.2857142857
29.5986718087,4.71428571429,29.4013281913,14.2857142857
30.5986718087,7.37857142857,30.4013281913,14.2857142857
31.5986718087,9.57857142857,31.4013281913,14.2857142857
32.5986718087,10.6,32.4013281913,15.55
33.5986718087,11.7357142857,33.4013281913,16.7
34.5986718087,14.3857142857,34.4013281913,17.8857142857
35.5986718087,16.7285714286,35.4013281913,20.1357142857
36.5986718087,17.9642857143,36.4013281913,22.4071428571
37.5986718087,19.1785714286,37.4013281913,25.0142857143
38.5986718087,20.35,38.4013281913,27.4071428571
39.5986718087,22.6357142857,39.4013281913,29.65
40.5986718087,25.1571428571,40.4013281913,32.1
41.5986718087,29.85,41.4013281913,33.2428571429
42.5986718087,34.5642857143,42.4013281913,34.5071428571
43.5986718087,39.2214285714,43.4013281913,35.7142857143
44.5986718087,45.0714285714,44.4013281913,35.7142857143
45.5986718087,51.2785714286,45.4013281913,35.7142857143
47.5986718087,64.2857142857,46.4013281913,35.7142857143
48.5986718087,64.2857142857,47.4013281913,35.7142857143
49.5986718087,64.2857142857,48.4013281913,35.7142857143
50.5986718087,64.2857142857,49.4013281913,35.7142857143
51.5986718087,64.2857142857,50.4013281913,35.7142857143
52.5986718087,64.2857142857,51.4013281913,35.7142857143
53.5986718087,64.2857142857,52.4013281913,35.7142857143
54.5986718087,64.2857142857,54.4013281913,48.7214285714
55.5986718087,64.2857142857,55.4013281913,54.9285714286
56.5986718087,64.2857142857,56.4013281913,60.7785714286
57.5986718087,65.4928571429,57.4013281913,65.4357142857
58.5986718087,66.7571428571,58.4013281913,70.15
59.5986718087,67.9,59.4013281913,74.8428571429
60.5986718087,70.35,60.4013281913,77.3642857143
61.5986718087,72.5928571429,61.4013281913,79.65
62.5986718087,74.9857142857,62.4013281913,80.8214285714
63.5986718087,77.5928571429,63.4013281913,82.0357142857
64.5986718087,79.8642857143,64.4013281913,83.2714285714
65.5986718087,82.1142857143,65.4013281913,85.6142857143
66.5986718087,83.3,66.4013281913,88.2642857143
67.5986718087,84.45,67.4013281913,89.4
68.5986718087,85.7142857143,68.4013281913,90.4214285714
69.5986718087,85.7142857143,69.4013281913,92.6214285714
70.5986718087,85.7142857143,70.4013281913,95.2857142857
71.5986718087,85.7142857143,71.4013281913,96.45
72.5986718087,85.7142857143,72.4013281913,97.5428571429
73.5986718087,85.7142857143,73.4013281913,98.9285714286
74.5986718087,85.7142857143,74.4013281913,100.0
75.5986718087,85.7142857143,75.4013281913,100.0
76.5986718087,85.7142857143,76.4013281913,100.0
77.5986718087,86.8571428571,77.4013281913,100.0
78.5986718087,89.3357142857,78.4013281913,100.0
79.5986718087,91.4214285714,79.4013281913,100.0
80.5986718087,94.2357142857,80.4013281913,100.0
81.5986718087,96.1571428571,81.4013281913,100.0
82.5986718087,98.7142857143,82.4013281913,100.0
83.5986718087,100.0,83.4013281913,100.0
84.5986718087,100.0,84.4013281913,100.0
85.5986718087,100.0,85.4013281913,100.0
86.5986718087,100.0,86.4013281913,100.0
87.5986718087,100.0,87.4013281913,100.0
88.5986718087,100.0,88.4013281913,100.0
89.5986718087,100.0,89.4013281913,100.0
90.5986718087,100.0,90.4013281913,100.0
91.5986718087,100.0,91.4013281913,100.0
92.5986718087,100.0,92.4013281913,100.0
93.5986718087,100.0,93.4013281913,100.0
94.5986718087,100.0,94.4013281913,100.0
95.5986718087,100.0,95.4013281913,100.0
96.5986718087,100.0,96.4013281913,100.0
97.5986718087,100.0,97.4013281913,100.0
98.5986718087,100.0,98.4013281913,100.0
99.5986718087,100.0,99.4013281913,100.0
100,100,100,100
