votes,seatsR,seatsD
0,0,0
0.675112118707,0.0,0.0
1.67511211871,0.0,0.0
2.67511211871,0.0,0.0
3.67511211871,0.0,0.0
4.67511211871,0.0,0.0
5.67511211871,0.0,0.0
6.67511211871,0.0,0.0
7.67511211871,0.0,0.0
8.67511211871,0.0,0.0
9.67511211871,0.0,0.0
10.6751121187,0.0,0.0
11.6751121187,0.0,0.0
12.6751121187,0.0,0.0
13.6751121187,0.0,0.0
14.6751121187,0.0,0.0
15.6751121187,0.0,0.0
16.6751121187,0.0,0.0
17.6751121187,0.0,0.0
18.6751121187,0.0,0.0
19.6751121187,0.0,0.0
20.6751121187,0.0,0.0
21.6751121187,0.0,0.0
22.6751121187,0.0,0.0
23.6751121187,0.0,0.0
24.6751121187,0.0,0.0
25.6751121187,0.0,1.2
26.6751121187,0.0,2.1625
27.6751121187,0.0,3.5
28.6751121187,0.0,4.3375
29.6751121187,1.1125,5.9875
30.6751121187,2.2875,6.5625
31.6751121187,3.125,7.7375
32.6751121187,4.375,9.2875
33.6751121187,6.9,10.3
34.6751121187,9.3125,12.825
35.6751121187,11.275,14.9625
36.6751121187,14.025,15.8125
37.6751121187,17.05,18.3125
38.6751121187,20.4,20.7625
39.6751121187,23.8125,22.7375
40.6751121187,26.4125,25.0375
41.6751121187,28.5375,26.95
42.6751121187,31.6375,29.6875
44.6751121187,31.9375,33.2125
45.6751121187,35.275,36.5375
46.6751121187,37.5625,38.2
47.6751121187,40.8875,42.0625
48.6751121187,44.6,45.425
49.6751121187,47.4625,47.9625
50.6751121187,50.3625,49.6375
51.6751121187,52.0375,52.5375
52.6751121187,54.575,55.4
53.6751121187,57.9375,59.1125
54.6751121187,61.8,62.4375
55.6751121187,63.4625,65.775
56.6751121187,66.7875,69.275
57.6751121187,70.3125,69.3
58.6751121187,73.05,72.7
59.6751121187,74.9625,74.8375
60.6751121187,77.2625,78.2375
61.6751121187,79.2375,81.8875
62.6751121187,81.6875,85.2375
63.6751121187,84.1875,88.4625
64.6751121187,86.2375,90.9875
65.6751121187,88.275,93.35
66.6751121187,90.8375,95.3375
67.6751121187,91.825,96.8375
68.6751121187,93.45,98.0125
69.6751121187,94.625,98.825
70.6751121187,95.2875,100.0
71.6751121187,96.8125,100.0
72.6751121187,97.6375,100.0
73.6751121187,98.875,100.0
74.6751121187,100.0,100.0
75.6751121187,100.0,100.0
76.6751121187,100.0,100.0
77.6751121187,100.0,100.0
78.6751121187,100.0,100.0
79.6751121187,100.0,100.0
80.6751121187,100.0,100.0
81.6751121187,100.0,100.0
82.6751121187,100.0,100.0
83.6751121187,100.0,100.0
84.6751121187,100.0,100.0
85.6751121187,100.0,100.0
86.6751121187,100.0,100.0
87.6751121187,100.0,100.0
88.6751121187,100.0,100.0
89.6751121187,100.0,100.0
90.6751121187,100.0,100.0
91.6751121187,100.0,100.0
92.6751121187,100.0,100.0
93.6751121187,100.0,100.0
94.6751121187,100.0,100.0
95.6751121187,100.0,100.0
96.6751121187,100.0,100.0
97.6751121187,100.0,100.0
98.6751121187,100.0,100.0
99.6751121187,100.0,100.0
100,100,100
