votesR,seatsR,votesD,seatsD
0,0,0,0
0.659182235574,0.0,0.340817764426,0.0
1.65918223557,0.0,1.34081776443,0.0
2.65918223557,0.0,2.34081776443,0.0
3.65918223557,0.0,3.34081776443,0.0
4.65918223557,0.0,4.34081776443,0.0
5.65918223557,0.0,5.34081776443,0.0
6.65918223557,0.0,6.34081776443,0.0
7.65918223557,0.0,7.34081776443,0.0
8.65918223557,0.0,8.34081776443,0.0
9.65918223557,0.0,9.34081776443,0.0
10.6591822356,0.0,10.3408177644,0.0
11.6591822356,0.0,11.3408177644,2.1
12.6591822356,0.0,12.3408177644,4.3375
13.6591822356,0.0,13.3408177644,5.9125
14.6591822356,0.0,14.3408177644,8.2375
15.6591822356,0.0,15.3408177644,10.1375
16.6591822356,0.0,16.3408177644,12.5
17.6591822356,0.0,17.3408177644,12.5
18.6591822356,0.0,18.3408177644,12.5
19.6591822356,0.0,19.3408177644,12.5
20.6591822356,0.0,20.3408177644,12.5
21.6591822356,0.0,21.3408177644,12.5
22.6591822356,0.0,22.3408177644,12.5
23.6591822356,0.0,23.3408177644,12.5
24.6591822356,0.0,24.3408177644,12.5
25.6591822356,0.0,25.3408177644,12.5
26.6591822356,0.0,26.3408177644,12.5
27.6591822356,0.0,27.3408177644,12.5
28.6591822356,0.0,28.3408177644,12.5
29.6591822356,0.0,29.3408177644,12.5
30.6591822356,0.0,30.3408177644,14.5875
31.6591822356,2.125,31.3408177644,16.7375
32.6591822356,4.1,32.3408177644,18.55
33.6591822356,6.075,33.3408177644,20.925
34.6591822356,8.1125,34.3408177644,23.1
35.6591822356,10.3125,35.3408177644,25.0
36.6591822356,12.5,36.3408177644,25.0
37.6591822356,12.5,37.3408177644,25.0
38.6591822356,14.475,38.3408177644,25.0
39.6591822356,19.1,39.3408177644,25.0
40.6591822356,24.45,40.3408177644,25.0
41.6591822356,31.3125,41.3408177644,25.0
42.6591822356,37.0625,42.3408177644,25.0
43.6591822356,46.2625,44.3408177644,25.0
44.6591822356,54.1,45.3408177644,25.0
45.6591822356,59.8875,46.3408177644,25.0
46.6591822356,64.975,47.3408177644,25.0
47.6591822356,69.05,48.3408177644,25.0
48.6591822356,72.9875,49.3408177644,25.0
49.6591822356,75.0,50.3408177644,25.0
50.6591822356,75.0,51.3408177644,27.0125
51.6591822356,75.0,52.3408177644,30.95
52.6591822356,75.0,53.3408177644,35.025
53.6591822356,75.0,54.3408177644,40.1125
54.6591822356,75.0,55.3408177644,45.9
55.6591822356,75.0,56.3408177644,53.7375
57.6591822356,75.0,57.3408177644,62.9375
58.6591822356,75.0,58.3408177644,68.6875
59.6591822356,75.0,59.3408177644,75.55
60.6591822356,75.0,60.3408177644,80.9
61.6591822356,75.0,61.3408177644,85.525
62.6591822356,75.0,62.3408177644,87.5
63.6591822356,75.0,63.3408177644,87.5
64.6591822356,75.0,64.3408177644,89.6875
65.6591822356,76.9,65.3408177644,91.8875
66.6591822356,79.075,66.3408177644,93.925
67.6591822356,81.45,67.3408177644,95.9
68.6591822356,83.2625,68.3408177644,97.875
69.6591822356,85.4125,69.3408177644,100.0
70.6591822356,87.5,70.3408177644,100.0
71.6591822356,87.5,71.3408177644,100.0
72.6591822356,87.5,72.3408177644,100.0
73.6591822356,87.5,73.3408177644,100.0
74.6591822356,87.5,74.3408177644,100.0
75.6591822356,87.5,75.3408177644,100.0
76.6591822356,87.5,76.3408177644,100.0
77.6591822356,87.5,77.3408177644,100.0
78.6591822356,87.5,78.3408177644,100.0
79.6591822356,87.5,79.3408177644,100.0
80.6591822356,87.5,80.3408177644,100.0
81.6591822356,87.5,81.3408177644,100.0
82.6591822356,87.5,82.3408177644,100.0
83.6591822356,87.5,83.3408177644,100.0
84.6591822356,89.8625,84.3408177644,100.0
85.6591822356,91.7625,85.3408177644,100.0
86.6591822356,94.0875,86.3408177644,100.0
87.6591822356,95.6625,87.3408177644,100.0
88.6591822356,97.9,88.3408177644,100.0
89.6591822356,100.0,89.3408177644,100.0
90.6591822356,100.0,90.3408177644,100.0
91.6591822356,100.0,91.3408177644,100.0
92.6591822356,100.0,92.3408177644,100.0
93.6591822356,100.0,93.3408177644,100.0
94.6591822356,100.0,94.3408177644,100.0
95.6591822356,100.0,95.3408177644,100.0
96.6591822356,100.0,96.3408177644,100.0
97.6591822356,100.0,97.3408177644,100.0
98.6591822356,100.0,98.3408177644,100.0
99.6591822356,100.0,99.3408177644,100.0
100,100,100,100
