votes,seatsR,seatsD
0,0,0
0.215748960243,0.0,0.0
1.21574896024,0.0,0.0
2.21574896024,0.0,0.0
3.21574896024,0.0,0.0
4.21574896024,0.0,0.0
5.21574896024,0.0,0.0
6.21574896024,0.0,0.0
7.21574896024,0.0,0.0
8.21574896024,0.0,0.0
9.21574896024,0.0,0.0
10.2157489602,0.0,0.0
11.2157489602,0.0,0.0
12.2157489602,0.0,0.0
13.2157489602,0.0,0.0
14.2157489602,0.0,0.0
15.2157489602,0.0,0.0
16.2157489602,0.0,0.0
17.2157489602,0.0,0.0
18.2157489602,0.0,0.0
19.2157489602,0.0,0.0
20.2157489602,0.0,0.0
21.2157489602,0.0,0.0
22.2157489602,0.0,0.0
23.2157489602,0.0,0.0
24.2157489602,0.0,0.0
25.2157489602,0.0,0.0
26.2157489602,0.0,0.0
27.2157489602,0.0,2.275
28.2157489602,0.0,4.325
29.2157489602,0.0,6.775
30.2157489602,0.0,8.95
31.2157489602,0.0,12.275
32.2157489602,0.0,14.4
33.2157489602,2.05,15.475
34.2157489602,5.2,18.775
35.2157489602,6.975,20.35
36.2157489602,9.925,22.45
37.2157489602,11.0,25.0
38.2157489602,13.875,25.0
39.2157489602,16.5,25.0
40.2157489602,20.725,27.25
41.2157489602,25.55,29.375
42.2157489602,30.025,31.425
43.2157489602,34.6,34.3
44.2157489602,36.75,36.125
45.2157489602,37.825,38.325
46.2157489602,40.45,41.375
47.2157489602,43.075,43.125
48.2157489602,45.025,47.475
49.2157489602,50.175,47.25
51.2157489602,50.175,52.9
52.2157489602,54.425,56.925
53.2157489602,56.275,59.55
54.2157489602,59.125,62.175
55.2157489602,61.6,63.25
56.2157489602,62.975,65.4
57.2157489602,65.875,69.975
58.2157489602,68.5,74.45
59.2157489602,70.15,79.275
60.2157489602,72.7,83.5
61.2157489602,75.0,86.125
62.2157489602,75.0,89.0
63.2157489602,77.55,90.075
64.2157489602,79.65,93.025
65.2157489602,81.225,94.8
66.2157489602,84.525,97.95
67.2157489602,85.6,100.0
68.2157489602,87.725,100.0
69.2157489602,91.05,100.0
70.2157489602,93.225,100.0
71.2157489602,95.675,100.0
72.2157489602,97.725,100.0
73.2157489602,100.0,100.0
74.2157489602,100.0,100.0
75.2157489602,100.0,100.0
76.2157489602,100.0,100.0
77.2157489602,100.0,100.0
78.2157489602,100.0,100.0
79.2157489602,100.0,100.0
80.2157489602,100.0,100.0
81.2157489602,100.0,100.0
82.2157489602,100.0,100.0
83.2157489602,100.0,100.0
84.2157489602,100.0,100.0
85.2157489602,100.0,100.0
86.2157489602,100.0,100.0
87.2157489602,100.0,100.0
88.2157489602,100.0,100.0
89.2157489602,100.0,100.0
90.2157489602,100.0,100.0
91.2157489602,100.0,100.0
92.2157489602,100.0,100.0
93.2157489602,100.0,100.0
94.2157489602,100.0,100.0
95.2157489602,100.0,100.0
96.2157489602,100.0,100.0
97.2157489602,100.0,100.0
98.2157489602,100.0,100.0
99.2157489602,100.0,100.0
100,100,100
