votesR,seatsR,votesD,seatsD
0,0,0,0
0.587034087425,0.0,0.412965912575,0.0
1.58703408743,0.0,1.41296591257,0.0
2.58703408743,0.0,2.41296591257,0.0
3.58703408743,0.0,3.41296591257,0.0
4.58703408743,0.0,4.41296591257,0.0
5.58703408743,0.0,5.41296591257,0.0
6.58703408743,0.0,6.41296591257,0.0
7.58703408743,0.0,7.41296591257,0.0
8.58703408743,0.0,8.41296591257,0.0
9.58703408743,0.0,9.41296591257,0.0
10.5870340874,0.0,10.4129659126,0.0
11.5870340874,0.0,11.4129659126,0.0
12.5870340874,0.0,12.4129659126,0.0
13.5870340874,0.0,13.4129659126,0.0
14.5870340874,0.0,14.4129659126,0.0
15.5870340874,0.0,15.4129659126,0.0
16.5870340874,0.0,16.4129659126,0.0
17.5870340874,0.0,17.4129659126,0.0
18.5870340874,0.0,18.4129659126,0.0
19.5870340874,0.0,19.4129659126,0.0
20.5870340874,0.0,20.4129659126,0.98125
21.5870340874,0.0,21.4129659126,2.0625
22.5870340874,0.0,22.4129659126,3.15625
23.5870340874,0.0,23.4129659126,4.175
24.5870340874,0.0,24.4129659126,7.3
25.5870340874,0.0,25.4129659126,10.71875
26.5870340874,0.0,26.4129659126,12.65625
27.5870340874,0.0,27.4129659126,14.49375
28.5870340874,0.0,28.4129659126,16.55
29.5870340874,0.0,29.4129659126,18.75
30.5870340874,0.0,30.4129659126,18.75
31.5870340874,0.0,31.4129659126,18.75
32.5870340874,0.0,32.4129659126,18.75
33.5870340874,0.0,33.4129659126,18.75
34.5870340874,0.0,34.4129659126,18.75
35.5870340874,0.0,35.4129659126,18.75
36.5870340874,0.0,36.4129659126,18.75
37.5870340874,1.04375,37.4129659126,18.75
38.5870340874,3.1625,38.4129659126,18.75
39.5870340874,5.13125,39.4129659126,18.75
40.5870340874,10.44375,40.4129659126,18.75
41.5870340874,16.85625,41.4129659126,19.81875
42.5870340874,23.91875,42.4129659126,20.86875
43.5870340874,32.28125,43.4129659126,21.9875
44.5870340874,39.75,44.4129659126,22.9125
45.5870340874,48.04375,45.4129659126,23.99375
46.5870340874,53.175,46.4129659126,25.0
47.5870340874,57.06875,48.4129659126,30.49375
48.5870340874,61.2375,49.4129659126,32.425
49.5870340874,64.525,50.4129659126,35.475
50.5870340874,67.575,51.4129659126,38.7625
51.5870340874,69.50625,52.4129659126,42.93125
53.5870340874,75.0,53.4129659126,46.825
54.5870340874,76.00625,54.4129659126,51.95625
55.5870340874,77.0875,55.4129659126,60.25
56.5870340874,78.0125,56.4129659126,67.71875
57.5870340874,79.13125,57.4129659126,76.08125
58.5870340874,80.18125,58.4129659126,83.14375
59.5870340874,81.25,59.4129659126,89.55625
60.5870340874,81.25,60.4129659126,94.86875
61.5870340874,81.25,61.4129659126,96.8375
62.5870340874,81.25,62.4129659126,98.95625
63.5870340874,81.25,63.4129659126,100.0
64.5870340874,81.25,64.4129659126,100.0
65.5870340874,81.25,65.4129659126,100.0
66.5870340874,81.25,66.4129659126,100.0
67.5870340874,81.25,67.4129659126,100.0
68.5870340874,81.25,68.4129659126,100.0
69.5870340874,81.25,69.4129659126,100.0
70.5870340874,81.25,70.4129659126,100.0
71.5870340874,83.45,71.4129659126,100.0
72.5870340874,85.50625,72.4129659126,100.0
73.5870340874,87.34375,73.4129659126,100.0
74.5870340874,89.28125,74.4129659126,100.0
75.5870340874,92.7,75.4129659126,100.0
76.5870340874,95.825,76.4129659126,100.0
77.5870340874,96.84375,77.4129659126,100.0
78.5870340874,97.9375,78.4129659126,100.0
79.5870340874,99.01875,79.4129659126,100.0
80.5870340874,100.0,80.4129659126,100.0
81.5870340874,100.0,81.4129659126,100.0
82.5870340874,100.0,82.4129659126,100.0
83.5870340874,100.0,83.4129659126,100.0
84.5870340874,100.0,84.4129659126,100.0
85.5870340874,100.0,85.4129659126,100.0
86.5870340874,100.0,86.4129659126,100.0
87.5870340874,100.0,87.4129659126,100.0
88.5870340874,100.0,88.4129659126,100.0
89.5870340874,100.0,89.4129659126,100.0
90.5870340874,100.0,90.4129659126,100.0
91.5870340874,100.0,91.4129659126,100.0
92.5870340874,100.0,92.4129659126,100.0
93.5870340874,100.0,93.4129659126,100.0
94.5870340874,100.0,94.4129659126,100.0
95.5870340874,100.0,95.4129659126,100.0
96.5870340874,100.0,96.4129659126,100.0
97.5870340874,100.0,97.4129659126,100.0
98.5870340874,100.0,98.4129659126,100.0
99.5870340874,100.0,99.4129659126,100.0
100,100,100,100
