votesR,seatsR,votesD,seatsD
0,0,0,0
0.818312122535,0.0,0.181687877465,0.0
1.81831212253,0.0,1.18168787747,0.0
2.81831212253,0.0,2.18168787747,0.0
3.81831212253,0.0,3.18168787747,0.0
4.81831212253,0.0,4.18168787747,0.0
5.81831212253,0.0,5.18168787747,0.0
6.81831212253,0.0,6.18168787747,0.0
7.81831212253,0.0,7.18168787747,0.0
8.81831212253,0.0,8.18168787747,0.0
9.81831212253,0.0,9.18168787747,0.0
10.8183121225,0.0,10.1816878775,0.922222222222
11.8183121225,0.0,11.1816878775,1.80555555556
12.8183121225,0.0,12.1816878775,2.92222222222
13.8183121225,0.0,13.1816878775,3.80555555556
14.8183121225,0.0,14.1816878775,4.60555555556
15.8183121225,0.0,15.1816878775,5.55555555556
16.8183121225,0.0,16.1816878775,6.47777777778
17.8183121225,0.0,17.1816878775,7.31666666667
18.8183121225,0.0,18.1816878775,8.4
19.8183121225,0.0,19.1816878775,9.26666666667
20.8183121225,0.0,20.1816878775,10.1777777778
21.8183121225,0.0,21.1816878775,11.1111111111
22.8183121225,0.0,22.1816878775,11.1111111111
23.8183121225,0.0,23.1816878775,11.1111111111
24.8183121225,0.0,24.1816878775,12.0388888889
25.8183121225,0.0,25.1816878775,13.05
26.8183121225,0.0,26.1816878775,13.7666666667
27.8183121225,0.0,27.1816878775,14.8666666667
28.8183121225,0.0,28.1816878775,15.6888888889
29.8183121225,0.0,29.1816878775,16.6666666667
30.8183121225,0.0,30.1816878775,16.6666666667
31.8183121225,0.0,31.1816878775,17.5388888889
32.8183121225,0.961111111111,32.1816878775,18.6388888889
33.8183121225,2.0,33.1816878775,19.4111111111
34.8183121225,4.33333333333,34.1816878775,20.3166666667
35.8183121225,8.39444444444,35.1816878775,21.4055555556
36.8183121225,11.6777777778,36.1816878775,22.2222222222
37.8183121225,15.5444444444,37.1816878775,22.2222222222
38.8183121225,19.5,38.1816878775,22.2222222222
39.8183121225,24.9722222222,39.1816878775,22.2222222222
40.8183121225,30.3722222222,40.1816878775,23.2
41.8183121225,37.3277777778,41.1816878775,24.1055555556
42.8183121225,43.4111111111,42.1816878775,25.0666666667
43.8183121225,49.9,43.1816878775,25.7611111111
44.8183121225,55.6333333333,44.1816878775,27.0111111111
45.8183121225,60.2055555556,45.1816878775,27.7777777778
46.8183121225,63.9111111111,46.1816878775,27.7777777778
47.8183121225,65.7555555556,47.1816878775,27.7777777778
49.8183121225,72.2222222222,48.1816878775,27.7777777778
50.8183121225,72.2222222222,49.1816878775,27.7777777778
51.8183121225,72.2222222222,50.1816878775,27.7777777778
52.8183121225,72.2222222222,52.1816878775,34.2444444444
53.8183121225,72.2222222222,53.1816878775,36.0888888889
54.8183121225,72.2222222222,54.1816878775,39.7944444444
55.8183121225,72.9888888889,55.1816878775,44.3666666667
56.8183121225,74.2388888889,56.1816878775,50.1
57.8183121225,74.9333333333,57.1816878775,56.5888888889
58.8183121225,75.8944444444,58.1816878775,62.6722222222
59.8183121225,76.8,59.1816878775,69.6277777778
60.8183121225,77.7777777778,60.1816878775,75.0277777778
61.8183121225,77.7777777778,61.1816878775,80.5
62.8183121225,77.7777777778,62.1816878775,84.4555555556
63.8183121225,77.7777777778,63.1816878775,88.3222222222
64.8183121225,78.5944444444,64.1816878775,91.6055555556
65.8183121225,79.6833333333,65.1816878775,95.6666666667
66.8183121225,80.5888888889,66.1816878775,98.0
67.8183121225,81.3611111111,67.1816878775,99.0388888889
68.8183121225,82.4611111111,68.1816878775,100.0
69.8183121225,83.3333333333,69.1816878775,100.0
70.8183121225,83.3333333333,70.1816878775,100.0
71.8183121225,84.3111111111,71.1816878775,100.0
72.8183121225,85.1333333333,72.1816878775,100.0
73.8183121225,86.2333333333,73.1816878775,100.0
74.8183121225,86.95,74.1816878775,100.0
75.8183121225,87.9611111111,75.1816878775,100.0
76.8183121225,88.8888888889,76.1816878775,100.0
77.8183121225,88.8888888889,77.1816878775,100.0
78.8183121225,88.8888888889,78.1816878775,100.0
79.8183121225,89.8222222222,79.1816878775,100.0
80.8183121225,90.7333333333,80.1816878775,100.0
81.8183121225,91.6,81.1816878775,100.0
82.8183121225,92.6833333333,82.1816878775,100.0
83.8183121225,93.5222222222,83.1816878775,100.0
84.8183121225,94.4444444444,84.1816878775,100.0
85.8183121225,95.3944444444,85.1816878775,100.0
86.8183121225,96.1944444444,86.1816878775,100.0
87.8183121225,97.0777777778,87.1816878775,100.0
88.8183121225,98.1944444444,88.1816878775,100.0
89.8183121225,99.0777777778,89.1816878775,100.0
90.8183121225,100.0,90.1816878775,100.0
91.8183121225,100.0,91.1816878775,100.0
92.8183121225,100.0,92.1816878775,100.0
93.8183121225,100.0,93.1816878775,100.0
94.8183121225,100.0,94.1816878775,100.0
95.8183121225,100.0,95.1816878775,100.0
96.8183121225,100.0,96.1816878775,100.0
97.8183121225,100.0,97.1816878775,100.0
98.8183121225,100.0,98.1816878775,100.0
99.8183121225,100.0,99.1816878775,100.0
100,100,100,100
