votesR,seatsR,votesD,seatsD
0,0,0,0
0.585975250845,0.0,0.414024749155,0.0
1.58597525085,0.0,1.41402474915,0.0
2.58597525085,0.0,2.41402474915,0.0
3.58597525085,0.0,3.41402474915,0.0
4.58597525085,0.0,4.41402474915,0.0
5.58597525085,0.0,5.41402474915,0.0
6.58597525085,0.0,6.41402474915,0.0
7.58597525085,0.0,7.41402474915,0.0
8.58597525085,0.0,8.41402474915,0.0
9.58597525085,0.0,9.41402474915,0.0
10.5859752508,0.0,10.4140247492,0.0
11.5859752508,0.0,11.4140247492,0.0
12.5859752508,0.0,12.4140247492,0.0
13.5859752508,0.0,13.4140247492,0.0
14.5859752508,0.0,14.4140247492,0.0
15.5859752508,0.0,15.4140247492,1.76666666667
16.5859752508,0.0,16.4140247492,3.6
17.5859752508,0.0,17.4140247492,5.34444444444
18.5859752508,0.0,18.4140247492,7.41111111111
19.5859752508,0.0,19.4140247492,9.31111111111
20.5859752508,0.0,20.4140247492,11.1111111111
21.5859752508,0.0,21.4140247492,11.1111111111
22.5859752508,0.0,22.4140247492,11.1111111111
23.5859752508,0.0,23.4140247492,11.1111111111
24.5859752508,0.0,24.4140247492,13.0
25.5859752508,0.0,25.4140247492,14.8111111111
26.5859752508,0.0,26.4140247492,16.6888888889
27.5859752508,0.0,27.4140247492,18.6333333333
28.5859752508,1.83333333333,28.4140247492,20.4555555556
29.5859752508,5.53333333333,29.4140247492,22.2222222222
30.5859752508,9.15555555556,30.4140247492,22.2222222222
31.5859752508,13.3222222222,31.4140247492,22.2222222222
32.5859752508,16.6666666667,32.4140247492,22.2222222222
33.5859752508,22.0444444444,33.4140247492,22.2222222222
34.5859752508,25.9,34.4140247492,22.2222222222
35.5859752508,27.7,35.4140247492,22.2222222222
36.5859752508,29.7111111111,36.4140247492,22.2222222222
37.5859752508,33.3777777778,37.4140247492,22.2222222222
38.5859752508,37.0333333333,38.4140247492,22.2222222222
39.5859752508,38.5555555556,39.4140247492,22.2222222222
40.5859752508,40.6666666667,40.4140247492,22.2222222222
41.5859752508,42.7222222222,42.4140247492,29.5444444444
42.5859752508,44.4444444444,43.4140247492,32.9
43.5859752508,44.4444444444,44.4140247492,37.1888888889
44.5859752508,46.5333333333,45.4140247492,38.6222222222
45.5859752508,48.0555555556,46.4140247492,40.4666666667
46.5859752508,50.1222222222,47.4140247492,42.6888888889
47.5859752508,51.6666666667,48.4140247492,44.4444444444
48.5859752508,53.5333333333,49.4140247492,44.4444444444
49.5859752508,55.5555555556,50.4140247492,44.4444444444
50.5859752508,55.5555555556,51.4140247492,46.4666666667
51.5859752508,55.5555555556,52.4140247492,48.3333333333
52.5859752508,57.3111111111,53.4140247492,49.8777777778
53.5859752508,59.5333333333,54.4140247492,51.9444444444
54.5859752508,61.3777777778,55.4140247492,53.4666666667
55.5859752508,62.8111111111,56.4140247492,55.5555555556
56.5859752508,67.1,57.4140247492,55.5555555556
57.5859752508,70.4555555556,58.4140247492,57.2777777778
59.5859752508,77.7777777778,59.4140247492,59.3333333333
60.5859752508,77.7777777778,60.4140247492,61.4444444444
61.5859752508,77.7777777778,61.4140247492,62.9666666667
62.5859752508,77.7777777778,62.4140247492,66.6222222222
63.5859752508,77.7777777778,63.4140247492,70.2888888889
64.5859752508,77.7777777778,64.4140247492,72.3
65.5859752508,77.7777777778,65.4140247492,74.1
66.5859752508,77.7777777778,66.4140247492,77.9555555556
67.5859752508,77.7777777778,67.4140247492,83.3333333333
68.5859752508,77.7777777778,68.4140247492,86.6777777778
69.5859752508,77.7777777778,69.4140247492,90.8444444444
70.5859752508,77.7777777778,70.4140247492,94.4666666667
71.5859752508,79.5444444444,71.4140247492,98.1666666667
72.5859752508,81.3666666667,72.4140247492,100.0
73.5859752508,83.3111111111,73.4140247492,100.0
74.5859752508,85.1888888889,74.4140247492,100.0
75.5859752508,87.0,75.4140247492,100.0
76.5859752508,88.8888888889,76.4140247492,100.0
77.5859752508,88.8888888889,77.4140247492,100.0
78.5859752508,88.8888888889,78.4140247492,100.0
79.5859752508,88.8888888889,79.4140247492,100.0
80.5859752508,90.6888888889,80.4140247492,100.0
81.5859752508,92.5888888889,81.4140247492,100.0
82.5859752508,94.6555555556,82.4140247492,100.0
83.5859752508,96.4,83.4140247492,100.0
84.5859752508,98.2333333333,84.4140247492,100.0
85.5859752508,100.0,85.4140247492,100.0
86.5859752508,100.0,86.4140247492,100.0
87.5859752508,100.0,87.4140247492,100.0
88.5859752508,100.0,88.4140247492,100.0
89.5859752508,100.0,89.4140247492,100.0
90.5859752508,100.0,90.4140247492,100.0
91.5859752508,100.0,91.4140247492,100.0
92.5859752508,100.0,92.4140247492,100.0
93.5859752508,100.0,93.4140247492,100.0
94.5859752508,100.0,94.4140247492,100.0
95.5859752508,100.0,95.4140247492,100.0
96.5859752508,100.0,96.4140247492,100.0
97.5859752508,100.0,97.4140247492,100.0
98.5859752508,100.0,98.4140247492,100.0
99.5859752508,100.0,99.4140247492,100.0
100,100,100,100
