votesR,seatsR,votesD,seatsD
0,0,0,0
0.641122752736,0.0,0.358877247264,0.0
1.64112275274,0.0,1.35887724726,0.0
2.64112275274,0.0,2.35887724726,0.0
3.64112275274,0.0,3.35887724726,0.0
4.64112275274,0.0,4.35887724726,0.0
5.64112275274,0.0,5.35887724726,0.0
6.64112275274,0.0,6.35887724726,0.0
7.64112275274,0.0,7.35887724726,0.0
8.64112275274,0.0,8.35887724726,0.0
9.64112275274,0.0,9.35887724726,0.0
10.6411227527,0.0,10.3588772473,0.0
11.6411227527,0.0,11.3588772473,0.0
12.6411227527,0.0,12.3588772473,0.0
13.6411227527,0.0,13.3588772473,0.0
14.6411227527,0.0,14.3588772473,0.0
15.6411227527,0.0,15.3588772473,0.0
16.6411227527,0.0,16.3588772473,0.0
17.6411227527,0.0,17.3588772473,0.0
18.6411227527,0.0,18.3588772473,0.0
19.6411227527,0.0,19.3588772473,0.0
20.6411227527,0.0,20.3588772473,0.0
21.6411227527,0.0,21.3588772473,0.0
22.6411227527,0.0,22.3588772473,0.0
23.6411227527,0.0,23.3588772473,0.0
24.6411227527,0.0,24.3588772473,0.0
25.6411227527,0.0,25.3588772473,0.0
26.6411227527,0.0,26.3588772473,0.0
27.6411227527,0.0,27.3588772473,0.0
28.6411227527,0.0,28.3588772473,0.0
29.6411227527,0.0,29.3588772473,0.0
30.6411227527,0.0,30.3588772473,0.0
31.6411227527,0.0,31.3588772473,0.0
32.6411227527,0.0,32.3588772473,4.375
33.6411227527,0.0,34.3588772473,25.0
34.6411227527,0.0,35.3588772473,25.0
35.6411227527,0.0,36.3588772473,25.0
36.6411227527,0.0,37.3588772473,25.0
37.6411227527,0.0,38.3588772473,25.0
38.6411227527,0.0,39.3588772473,25.0
39.6411227527,4.025,40.3588772473,25.0
40.6411227527,7.8,41.3588772473,25.0
41.6411227527,15.95,42.3588772473,25.0
42.6411227527,25.2,43.3588772473,25.0
43.6411227527,33.275,44.3588772473,25.0
44.6411227527,41.375,45.3588772473,29.325
45.6411227527,45.7,46.3588772473,33.65
46.6411227527,50.0,47.3588772473,37.05
47.6411227527,50.0,48.3588772473,41.65
48.6411227527,50.0,49.3588772473,46.1
49.6411227527,50.0,50.3588772473,50.0
50.6411227527,53.9,51.3588772473,50.0
51.6411227527,58.35,52.3588772473,50.0
52.6411227527,62.95,53.3588772473,50.0
53.6411227527,66.35,54.3588772473,54.3
54.6411227527,70.675,55.3588772473,58.625
55.6411227527,75.0,56.3588772473,66.725
56.6411227527,75.0,57.3588772473,74.8
57.6411227527,75.0,58.3588772473,84.05
58.6411227527,75.0,59.3588772473,92.2
59.6411227527,75.0,60.3588772473,95.975
60.6411227527,75.0,61.3588772473,100.0
61.6411227527,75.0,62.3588772473,100.0
62.6411227527,75.0,63.3588772473,100.0
63.6411227527,75.0,64.3588772473,100.0
64.6411227527,75.0,65.3588772473,100.0
65.6411227527,75.0,66.3588772473,100.0
67.6411227527,95.625,67.3588772473,100.0
68.6411227527,100.0,68.3588772473,100.0
69.6411227527,100.0,69.3588772473,100.0
70.6411227527,100.0,70.3588772473,100.0
71.6411227527,100.0,71.3588772473,100.0
72.6411227527,100.0,72.3588772473,100.0
73.6411227527,100.0,73.3588772473,100.0
74.6411227527,100.0,74.3588772473,100.0
75.6411227527,100.0,75.3588772473,100.0
76.6411227527,100.0,76.3588772473,100.0
77.6411227527,100.0,77.3588772473,100.0
78.6411227527,100.0,78.3588772473,100.0
79.6411227527,100.0,79.3588772473,100.0
80.6411227527,100.0,80.3588772473,100.0
81.6411227527,100.0,81.3588772473,100.0
82.6411227527,100.0,82.3588772473,100.0
83.6411227527,100.0,83.3588772473,100.0
84.6411227527,100.0,84.3588772473,100.0
85.6411227527,100.0,85.3588772473,100.0
86.6411227527,100.0,86.3588772473,100.0
87.6411227527,100.0,87.3588772473,100.0
88.6411227527,100.0,88.3588772473,100.0
89.6411227527,100.0,89.3588772473,100.0
90.6411227527,100.0,90.3588772473,100.0
91.6411227527,100.0,91.3588772473,100.0
92.6411227527,100.0,92.3588772473,100.0
93.6411227527,100.0,93.3588772473,100.0
94.6411227527,100.0,94.3588772473,100.0
95.6411227527,100.0,95.3588772473,100.0
96.6411227527,100.0,96.3588772473,100.0
97.6411227527,100.0,97.3588772473,100.0
98.6411227527,100.0,98.3588772473,100.0
99.6411227527,100.0,99.3588772473,100.0
100,100,100,100
