votesR,seatsR,votesD,seatsD
0,0,0,0
0.43795251464,0.0,0.56204748536,0.0
1.43795251464,0.0,1.56204748536,0.0
2.43795251464,0.0,2.56204748536,0.0
3.43795251464,0.0,3.56204748536,0.0
4.43795251464,0.0,4.56204748536,0.0
5.43795251464,0.0,5.56204748536,0.0
6.43795251464,0.0,6.56204748536,0.0
7.43795251464,0.0,7.56204748536,0.0
8.43795251464,0.0,8.56204748536,0.0
9.43795251464,0.0,9.56204748536,0.0
10.4379525146,0.0,10.5620474854,0.0
11.4379525146,0.0,11.5620474854,0.0
12.4379525146,0.0,12.5620474854,0.0
13.4379525146,0.0,13.5620474854,0.0
14.4379525146,0.0,14.5620474854,0.0
15.4379525146,0.0,15.5620474854,0.0
16.4379525146,0.0,16.5620474854,0.0
17.4379525146,0.0,17.5620474854,0.0
18.4379525146,0.0,18.5620474854,0.0
19.4379525146,0.0,19.5620474854,0.0
20.4379525146,0.0,20.5620474854,0.0
21.4379525146,0.0,21.5620474854,0.0
22.4379525146,0.0,22.5620474854,0.0
23.4379525146,0.0,23.5620474854,0.0
24.4379525146,0.0,24.5620474854,0.0
25.4379525146,0.0,25.5620474854,0.0
26.4379525146,0.0,26.5620474854,0.0
27.4379525146,0.0,27.5620474854,0.0
28.4379525146,0.0,28.5620474854,0.0
29.4379525146,0.0,29.5620474854,0.0
30.4379525146,0.0,30.5620474854,0.0
31.4379525146,0.0,31.5620474854,0.0
32.4379525146,0.0,32.5620474854,0.0
33.4379525146,0.0,33.5620474854,0.0
34.4379525146,0.0,34.5620474854,0.0
35.4379525146,0.0,35.5620474854,0.0
36.4379525146,0.0,36.5620474854,0.0
37.4379525146,0.0,37.5620474854,0.0
38.4379525146,0.0,38.5620474854,0.0
39.4379525146,0.0,39.5620474854,0.0
40.4379525146,0.0,40.5620474854,0.0
41.4379525146,0.0,41.5620474854,0.0
42.4379525146,0.0,42.5620474854,0.0
43.4379525146,0.0,43.5620474854,0.0
44.4379525146,0.0,45.5620474854,0.0
45.4379525146,0.0,46.5620474854,16.6
46.4379525146,0.0,47.5620474854,34.0
47.4379525146,0.0,48.5620474854,49.9
48.4379525146,0.0,49.5620474854,64.3
49.4379525146,16.2,50.5620474854,83.8
50.4379525146,35.7,51.5620474854,100.0
51.4379525146,50.1,52.5620474854,100.0
52.4379525146,66.0,53.5620474854,100.0
53.4379525146,83.4,54.5620474854,100.0
54.4379525146,100.0,55.5620474854,100.0
56.4379525146,100.0,56.5620474854,100.0
57.4379525146,100.0,57.5620474854,100.0
58.4379525146,100.0,58.5620474854,100.0
59.4379525146,100.0,59.5620474854,100.0
60.4379525146,100.0,60.5620474854,100.0
61.4379525146,100.0,61.5620474854,100.0
62.4379525146,100.0,62.5620474854,100.0
63.4379525146,100.0,63.5620474854,100.0
64.4379525146,100.0,64.5620474854,100.0
65.4379525146,100.0,65.5620474854,100.0
66.4379525146,100.0,66.5620474854,100.0
67.4379525146,100.0,67.5620474854,100.0
68.4379525146,100.0,68.5620474854,100.0
69.4379525146,100.0,69.5620474854,100.0
70.4379525146,100.0,70.5620474854,100.0
71.4379525146,100.0,71.5620474854,100.0
72.4379525146,100.0,72.5620474854,100.0
73.4379525146,100.0,73.5620474854,100.0
74.4379525146,100.0,74.5620474854,100.0
75.4379525146,100.0,75.5620474854,100.0
76.4379525146,100.0,76.5620474854,100.0
77.4379525146,100.0,77.5620474854,100.0
78.4379525146,100.0,78.5620474854,100.0
79.4379525146,100.0,79.5620474854,100.0
80.4379525146,100.0,80.5620474854,100.0
81.4379525146,100.0,81.5620474854,100.0
82.4379525146,100.0,82.5620474854,100.0
83.4379525146,100.0,83.5620474854,100.0
84.4379525146,100.0,84.5620474854,100.0
85.4379525146,100.0,85.5620474854,100.0
86.4379525146,100.0,86.5620474854,100.0
87.4379525146,100.0,87.5620474854,100.0
88.4379525146,100.0,88.5620474854,100.0
89.4379525146,100.0,89.5620474854,100.0
90.4379525146,100.0,90.5620474854,100.0
91.4379525146,100.0,91.5620474854,100.0
92.4379525146,100.0,92.5620474854,100.0
93.4379525146,100.0,93.5620474854,100.0
94.4379525146,100.0,94.5620474854,100.0
95.4379525146,100.0,95.5620474854,100.0
96.4379525146,100.0,96.5620474854,100.0
97.4379525146,100.0,97.5620474854,100.0
98.4379525146,100.0,98.5620474854,100.0
99.4379525146,100.0,99.5620474854,100.0
100,100,100,100
