votesR,seatsR,votesD,seatsD
0,0,0,0
0.626971028157,0.0,0.373028971843,0.0
1.62697102816,0.0,1.37302897184,0.0
2.62697102816,0.0,2.37302897184,0.0
3.62697102816,0.0,3.37302897184,0.0
4.62697102816,0.0,4.37302897184,0.0
5.62697102816,0.0,5.37302897184,0.0
6.62697102816,0.0,6.37302897184,0.0
7.62697102816,0.0,7.37302897184,0.0
8.62697102816,0.0,8.37302897184,0.0
9.62697102816,0.0,9.37302897184,0.0
10.6269710282,0.0,10.3730289718,0.0
11.6269710282,0.0,11.3730289718,0.0
12.6269710282,0.32641509434,12.3730289718,0.0
13.6269710282,0.92641509434,13.3730289718,0.0
14.6269710282,1.57735849057,14.3730289718,0.0
15.6269710282,2.17358490566,15.3730289718,0.324528301887
16.6269710282,2.88301886792,16.3730289718,0.639622641509
17.6269710282,3.4679245283,17.3730289718,0.977358490566
18.6269710282,4.08867924528,18.3730289718,1.25660377358
19.6269710282,4.46037735849,19.3730289718,1.92264150943
20.6269710282,5.04716981132,20.3730289718,2.84905660377
21.6269710282,5.56037735849,21.3730289718,3.52830188679
22.6269710282,6.6,22.3730289718,4.06037735849
23.6269710282,7.9,23.3730289718,4.71509433962
24.6269710282,8.81509433962,24.3730289718,5.30377358491
25.6269710282,9.75849056604,25.3730289718,5.66037735849
26.6269710282,10.6641509434,26.3730289718,5.66037735849
27.6269710282,11.9660377358,27.3730289718,5.96226415094
28.6269710282,12.9320754717,28.3730289718,6.25660377358
29.6269710282,14.1905660377,29.3730289718,7.19622641509
30.6269710282,15.7603773585,30.3730289718,8.15660377358
31.6269710282,17.3830188679,31.3730289718,9.50566037736
32.6269710282,18.5433962264,32.3730289718,10.6509433962
33.6269710282,19.758490566,33.3730289718,11.9773584906
34.6269710282,21.6150943396,34.3730289718,13.5094339623
35.6269710282,22.9490566038,35.3730289718,14.6622641509
36.6269710282,23.8867924528,36.3730289718,16.9113207547
37.6269710282,25.0830188679,37.3730289718,18.8867924528
38.6269710282,26.7698113208,38.3730289718,21.3773584906
39.6269710282,28.0226415094,39.3730289718,23.558490566
40.6269710282,28.5830188679,40.3730289718,25.7924528302
41.6269710282,29.3113207547,41.3730289718,27.9905660377
42.6269710282,29.879245283,42.3730289718,29.2566037736
43.6269710282,30.5264150943,43.3730289718,30.8037735849
44.6269710282,30.8867924528,44.3730289718,33.5811320755
46.6269710282,42.4339622642,45.3730289718,36.8660377358
47.6269710282,45.5339622642,46.3730289718,39.6490566038
48.6269710282,48.4245283019,47.3730289718,42.6132075472
49.6269710282,50.0566037736,48.3730289718,45.6339622642
50.6269710282,51.258490566,49.3730289718,48.741509434
51.6269710282,54.3660377358,50.3730289718,49.9433962264
52.6269710282,57.3867924528,51.3730289718,51.5754716981
53.6269710282,60.3509433962,52.3730289718,54.4660377358
54.6269710282,63.1339622642,53.3730289718,57.5660377358
55.6269710282,66.4188679245,55.3730289718,69.1132075472
56.6269710282,69.1962264151,56.3730289718,69.4735849057
57.6269710282,70.7433962264,57.3730289718,70.120754717
58.6269710282,72.0094339623,58.3730289718,70.6886792453
59.6269710282,74.2075471698,59.3730289718,71.4169811321
60.6269710282,76.441509434,60.3730289718,71.9773584906
61.6269710282,78.6226415094,61.3730289718,73.2301886792
62.6269710282,81.1132075472,62.3730289718,74.9169811321
63.6269710282,83.0886792453,63.3730289718,76.1132075472
64.6269710282,85.3377358491,64.3730289718,77.0509433962
65.6269710282,86.4905660377,65.3730289718,78.3849056604
66.6269710282,88.0226415094,66.3730289718,80.241509434
67.6269710282,89.3490566038,67.3730289718,81.4566037736
68.6269710282,90.4943396226,68.3730289718,82.6169811321
69.6269710282,91.8433962264,69.3730289718,84.2396226415
70.6269710282,92.8037735849,70.3730289718,85.8094339623
71.6269710282,93.7433962264,71.3730289718,87.0679245283
72.6269710282,94.0377358491,72.3730289718,88.0339622642
73.6269710282,94.3396226415,73.3730289718,89.3358490566
74.6269710282,94.3396226415,74.3730289718,90.241509434
75.6269710282,94.6962264151,75.3730289718,91.1849056604
76.6269710282,95.2849056604,76.3730289718,92.1
77.6269710282,95.9396226415,77.3730289718,93.4
78.6269710282,96.4716981132,78.3730289718,94.4396226415
79.6269710282,97.1509433962,79.3730289718,94.9528301887
80.6269710282,98.0773584906,80.3730289718,95.5396226415
81.6269710282,98.7433962264,81.3730289718,95.9113207547
82.6269710282,99.0226415094,82.3730289718,96.5320754717
83.6269710282,99.3603773585,83.3730289718,97.1169811321
84.6269710282,99.6754716981,84.3730289718,97.8264150943
85.6269710282,100.0,85.3730289718,98.4226415094
86.6269710282,100.0,86.3730289718,99.0735849057
87.6269710282,100.0,87.3730289718,99.6735849057
88.6269710282,100.0,88.3730289718,100.0
89.6269710282,100.0,89.3730289718,100.0
90.6269710282,100.0,90.3730289718,100.0
91.6269710282,100.0,91.3730289718,100.0
92.6269710282,100.0,92.3730289718,100.0
93.6269710282,100.0,93.3730289718,100.0
94.6269710282,100.0,94.3730289718,100.0
95.6269710282,100.0,95.3730289718,100.0
96.6269710282,100.0,96.3730289718,100.0
97.6269710282,100.0,97.3730289718,100.0
98.6269710282,100.0,98.3730289718,100.0
99.6269710282,100.0,99.3730289718,100.0
100,100,100,100
