votesR,seatsR,votesD,seatsD
0,0,0,0
0.646688498586,0.0,0.353311501414,0.0
1.64668849859,0.0,1.35331150141,0.0
2.64668849859,0.0,2.35331150141,0.0
3.64668849859,0.0,3.35331150141,0.0
4.64668849859,0.0,4.35331150141,0.0
5.64668849859,0.0,5.35331150141,0.0
6.64668849859,0.0,6.35331150141,0.0
7.64668849859,0.0,7.35331150141,0.0
8.64668849859,0.0,8.35331150141,0.0
9.64668849859,0.0,9.35331150141,0.0
10.6466884986,0.0,10.3533115014,0.0
11.6466884986,0.0,11.3533115014,0.0
12.6466884986,0.0,12.3533115014,0.0
13.6466884986,0.0,13.3533115014,0.0
14.6466884986,0.0,14.3533115014,0.0
15.6466884986,0.0,15.3533115014,0.0
16.6466884986,0.0,16.3533115014,0.0
17.6466884986,0.0,17.3533115014,0.0
18.6466884986,0.0,18.3533115014,0.0
19.6466884986,0.0,19.3533115014,0.0
20.6466884986,0.0,20.3533115014,0.0
21.6466884986,0.0,21.3533115014,0.0
22.6466884986,0.0,22.3533115014,0.0
23.6466884986,0.0,23.3533115014,0.0
24.6466884986,0.0,24.3533115014,0.0
25.6466884986,0.0,25.3533115014,0.0
26.6466884986,0.0,26.3533115014,0.0
27.6466884986,0.0,27.3533115014,0.0
28.6466884986,0.0,28.3533115014,2.58571428571
29.6466884986,0.0,29.3533115014,4.57142857143
30.6466884986,0.0,30.3533115014,6.95714285714
31.6466884986,0.0,31.3533115014,9.65714285714
32.6466884986,2.32857142857,32.3533115014,11.7571428571
33.6466884986,4.8,33.3533115014,14.2857142857
34.6466884986,7.01428571429,34.3533115014,14.2857142857
35.6466884986,9.71428571429,35.3533115014,14.2857142857
36.6466884986,11.4714285714,36.3533115014,14.2857142857
37.6466884986,14.2857142857,37.3533115014,14.2857142857
38.6466884986,14.2857142857,38.3533115014,14.2857142857
39.6466884986,16.8571428571,39.3533115014,14.2857142857
40.6466884986,19.0857142857,40.3533115014,14.2857142857
41.6466884986,23.8571428571,41.3533115014,16.6571428571
42.6466884986,28.5285714286,42.3533115014,21.4285714286
43.6466884986,33.4285714286,43.3533115014,25.9
44.6466884986,37.9714285714,44.3533115014,30.9
45.6466884986,40.8142857143,45.3533115014,35.4714285714
46.6466884986,45.0857142857,46.3533115014,40.8
47.6466884986,47.6285714286,47.3533115014,42.8571428571
48.6466884986,49.6714285714,49.3533115014,45.1
49.6466884986,52.4857142857,50.3533115014,47.5142857143
50.6466884986,54.9,51.3533115014,50.3285714286
52.6466884986,57.1428571429,52.3533115014,52.3714285714
53.6466884986,59.2,53.3533115014,54.9142857143
54.6466884986,64.5285714286,54.3533115014,59.1857142857
55.6466884986,69.1,55.3533115014,62.0285714286
56.6466884986,74.1,56.3533115014,66.5714285714
57.6466884986,78.5714285714,57.3533115014,71.4714285714
58.6466884986,83.3428571429,58.3533115014,76.1428571429
59.6466884986,85.7142857143,59.3533115014,80.9142857143
60.6466884986,85.7142857143,60.3533115014,83.1428571429
61.6466884986,85.7142857143,61.3533115014,85.7142857143
62.6466884986,85.7142857143,62.3533115014,85.7142857143
63.6466884986,85.7142857143,63.3533115014,88.5285714286
64.6466884986,85.7142857143,64.3533115014,90.2857142857
65.6466884986,85.7142857143,65.3533115014,92.9857142857
66.6466884986,85.7142857143,66.3533115014,95.2
67.6466884986,88.2428571429,67.3533115014,97.6714285714
68.6466884986,90.3428571429,68.3533115014,100.0
69.6466884986,93.0428571429,69.3533115014,100.0
70.6466884986,95.4285714286,70.3533115014,100.0
71.6466884986,97.4142857143,71.3533115014,100.0
72.6466884986,100.0,72.3533115014,100.0
73.6466884986,100.0,73.3533115014,100.0
74.6466884986,100.0,74.3533115014,100.0
75.6466884986,100.0,75.3533115014,100.0
76.6466884986,100.0,76.3533115014,100.0
77.6466884986,100.0,77.3533115014,100.0
78.6466884986,100.0,78.3533115014,100.0
79.6466884986,100.0,79.3533115014,100.0
80.6466884986,100.0,80.3533115014,100.0
81.6466884986,100.0,81.3533115014,100.0
82.6466884986,100.0,82.3533115014,100.0
83.6466884986,100.0,83.3533115014,100.0
84.6466884986,100.0,84.3533115014,100.0
85.6466884986,100.0,85.3533115014,100.0
86.6466884986,100.0,86.3533115014,100.0
87.6466884986,100.0,87.3533115014,100.0
88.6466884986,100.0,88.3533115014,100.0
89.6466884986,100.0,89.3533115014,100.0
90.6466884986,100.0,90.3533115014,100.0
91.6466884986,100.0,91.3533115014,100.0
92.6466884986,100.0,92.3533115014,100.0
93.6466884986,100.0,93.3533115014,100.0
94.6466884986,100.0,94.3533115014,100.0
95.6466884986,100.0,95.3533115014,100.0
96.6466884986,100.0,96.3533115014,100.0
97.6466884986,100.0,97.3533115014,100.0
98.6466884986,100.0,98.3533115014,100.0
99.6466884986,100.0,99.3533115014,100.0
100,100,100,100
