votesR,seatsR,votesD,seatsD
0,0,0,0
0.285588384735,0.0,0.714411615265,0.0
1.28558838474,0.0,1.71441161526,0.0
2.28558838474,0.0,2.71441161526,0.0
3.28558838474,0.0,3.71441161526,0.0
4.28558838474,0.0,4.71441161526,0.0
5.28558838474,0.0,5.71441161526,0.0
6.28558838474,0.0,6.71441161526,0.0
7.28558838474,0.0,7.71441161526,0.0
8.28558838474,0.0,8.71441161526,0.0
9.28558838474,0.0,9.71441161526,0.0
10.2855883847,0.0,10.7144116153,0.0
11.2855883847,0.0,11.7144116153,0.0
12.2855883847,0.0,12.7144116153,0.0
13.2855883847,0.0,13.7144116153,0.0
14.2855883847,0.0,14.7144116153,0.0
15.2855883847,0.0,15.7144116153,0.0
16.2855883847,0.0,16.7144116153,0.0
17.2855883847,0.0,17.7144116153,0.0
18.2855883847,0.0,18.7144116153,0.0
19.2855883847,0.0,19.7144116153,0.0
20.2855883847,0.0,20.7144116153,0.0
21.2855883847,0.0,21.7144116153,0.0
22.2855883847,0.0,22.7144116153,0.0
23.2855883847,0.0,23.7144116153,0.0
24.2855883847,0.0,24.7144116153,0.0
25.2855883847,0.0,25.7144116153,0.0
26.2855883847,0.0,26.7144116153,0.0
27.2855883847,0.0,27.7144116153,0.0
28.2855883847,0.0,28.7144116153,0.0
29.2855883847,0.0,29.7144116153,0.0
30.2855883847,0.0,30.7144116153,0.0
31.2855883847,0.0,31.7144116153,0.0
32.2855883847,0.0,32.7144116153,0.0
33.2855883847,0.0,33.7144116153,0.0
34.2855883847,0.0,34.7144116153,0.0
35.2855883847,0.0,35.7144116153,0.0
36.2855883847,0.0,36.7144116153,0.0
37.2855883847,0.0,37.7144116153,0.0
39.2855883847,0.0,38.7144116153,0.0
40.2855883847,0.0,39.7144116153,0.0
41.2855883847,0.0,40.7144116153,0.0
42.2855883847,0.0,41.7144116153,0.0
43.2855883847,0.0,42.7144116153,0.0
44.2855883847,0.0,43.7144116153,0.0
45.2855883847,0.0,44.7144116153,0.0
46.2855883847,16.2,45.7144116153,0.0
47.2855883847,34.5,46.7144116153,0.0
48.2855883847,47.3,47.7144116153,0.0
49.2855883847,64.6,48.7144116153,0.0
50.2855883847,84.2,49.7144116153,15.8
51.2855883847,100.0,50.7144116153,35.4
52.2855883847,100.0,51.7144116153,52.7
53.2855883847,100.0,52.7144116153,65.5
54.2855883847,100.0,53.7144116153,83.8
55.2855883847,100.0,54.7144116153,100.0
56.2855883847,100.0,55.7144116153,100.0
57.2855883847,100.0,56.7144116153,100.0
58.2855883847,100.0,57.7144116153,100.0
59.2855883847,100.0,58.7144116153,100.0
60.2855883847,100.0,59.7144116153,100.0
61.2855883847,100.0,60.7144116153,100.0
62.2855883847,100.0,62.7144116153,100.0
63.2855883847,100.0,63.7144116153,100.0
64.2855883847,100.0,64.7144116153,100.0
65.2855883847,100.0,65.7144116153,100.0
66.2855883847,100.0,66.7144116153,100.0
67.2855883847,100.0,67.7144116153,100.0
68.2855883847,100.0,68.7144116153,100.0
69.2855883847,100.0,69.7144116153,100.0
70.2855883847,100.0,70.7144116153,100.0
71.2855883847,100.0,71.7144116153,100.0
72.2855883847,100.0,72.7144116153,100.0
73.2855883847,100.0,73.7144116153,100.0
74.2855883847,100.0,74.7144116153,100.0
75.2855883847,100.0,75.7144116153,100.0
76.2855883847,100.0,76.7144116153,100.0
77.2855883847,100.0,77.7144116153,100.0
78.2855883847,100.0,78.7144116153,100.0
79.2855883847,100.0,79.7144116153,100.0
80.2855883847,100.0,80.7144116153,100.0
81.2855883847,100.0,81.7144116153,100.0
82.2855883847,100.0,82.7144116153,100.0
83.2855883847,100.0,83.7144116153,100.0
84.2855883847,100.0,84.7144116153,100.0
85.2855883847,100.0,85.7144116153,100.0
86.2855883847,100.0,86.7144116153,100.0
87.2855883847,100.0,87.7144116153,100.0
88.2855883847,100.0,88.7144116153,100.0
89.2855883847,100.0,89.7144116153,100.0
90.2855883847,100.0,90.7144116153,100.0
91.2855883847,100.0,91.7144116153,100.0
92.2855883847,100.0,92.7144116153,100.0
93.2855883847,100.0,93.7144116153,100.0
94.2855883847,100.0,94.7144116153,100.0
95.2855883847,100.0,95.7144116153,100.0
96.2855883847,100.0,96.7144116153,100.0
97.2855883847,100.0,97.7144116153,100.0
98.2855883847,100.0,98.7144116153,100.0
99.2855883847,100.0,99.7144116153,100.0
100,100,100,100
