votesR,seatsR,votesD,seatsD
0,0,0,0
0.921799296686,0.0,0.078200703314,0.0
1.92179929669,0.0,1.07820070331,0.0
2.92179929669,0.0,2.07820070331,0.0
3.92179929669,0.0,3.07820070331,0.0
4.92179929669,0.0,4.07820070331,0.0
5.92179929669,0.0,5.07820070331,0.0
6.92179929669,0.0,6.07820070331,0.0
7.92179929669,0.0,7.07820070331,0.0
8.92179929669,0.0,8.07820070331,0.0
9.92179929669,0.0,9.07820070331,0.0
10.9217992967,0.0,10.0782007033,0.0
11.9217992967,0.0,11.0782007033,0.0
12.9217992967,0.0,12.0782007033,0.0
13.9217992967,0.0,13.0782007033,0.0
14.9217992967,0.0,14.0782007033,0.0
15.9217992967,0.0,15.0782007033,0.0
16.9217992967,0.0,16.0782007033,0.0
17.9217992967,0.0,17.0782007033,0.0
18.9217992967,0.0,18.0782007033,0.0
19.9217992967,0.0,19.0782007033,0.0
20.9217992967,0.0,20.0782007033,0.0
21.9217992967,0.0,21.0782007033,0.0
22.9217992967,0.0,22.0782007033,0.0
23.9217992967,0.0,23.0782007033,0.0
24.9217992967,0.0,24.0782007033,0.0
25.9217992967,0.0,25.0782007033,0.0
26.9217992967,0.0,26.0782007033,0.0
27.9217992967,0.0,27.0782007033,0.0
28.9217992967,0.0,28.0782007033,0.0
29.9217992967,0.0,29.0782007033,0.0
30.9217992967,0.0,30.0782007033,0.0
31.9217992967,0.0,31.0782007033,0.0
32.9217992967,0.0,32.0782007033,0.0
33.9217992967,0.0,33.0782007033,0.0
34.9217992967,0.0,34.0782007033,0.0
35.9217992967,0.0,35.0782007033,0.0
36.9217992967,0.0,36.0782007033,0.0
37.9217992967,0.0,37.0782007033,0.0
38.9217992967,0.0,38.0782007033,0.0
39.9217992967,0.0,39.0782007033,0.0
40.9217992967,0.0,40.0782007033,0.0
41.9217992967,3.875,41.0782007033,0.0
42.9217992967,8.05,42.0782007033,0.0
43.9217992967,11.775,43.0782007033,4.65
44.9217992967,17.35,44.0782007033,8.75
45.9217992967,20.6,45.0782007033,12.3
46.9217992967,25.0,47.0782007033,42.025
47.9217992967,29.075,48.0782007033,49.575
48.9217992967,33.55,49.0782007033,58.2
49.9217992967,37.575,50.0782007033,62.425
50.9217992967,41.8,51.0782007033,66.45
51.9217992967,50.425,52.0782007033,70.925
52.9217992967,57.975,53.0782007033,75.0
54.9217992967,87.7,54.0782007033,79.4
55.9217992967,91.25,55.0782007033,82.65
56.9217992967,95.35,56.0782007033,88.225
57.9217992967,100.0,57.0782007033,91.95
58.9217992967,100.0,58.0782007033,96.125
59.9217992967,100.0,59.0782007033,100.0
60.9217992967,100.0,60.0782007033,100.0
61.9217992967,100.0,61.0782007033,100.0
62.9217992967,100.0,62.0782007033,100.0
63.9217992967,100.0,63.0782007033,100.0
64.9217992967,100.0,64.0782007033,100.0
65.9217992967,100.0,65.0782007033,100.0
66.9217992967,100.0,66.0782007033,100.0
67.9217992967,100.0,67.0782007033,100.0
68.9217992967,100.0,68.0782007033,100.0
69.9217992967,100.0,69.0782007033,100.0
70.9217992967,100.0,70.0782007033,100.0
71.9217992967,100.0,71.0782007033,100.0
72.9217992967,100.0,72.0782007033,100.0
73.9217992967,100.0,73.0782007033,100.0
74.9217992967,100.0,74.0782007033,100.0
75.9217992967,100.0,75.0782007033,100.0
76.9217992967,100.0,76.0782007033,100.0
77.9217992967,100.0,77.0782007033,100.0
78.9217992967,100.0,78.0782007033,100.0
79.9217992967,100.0,79.0782007033,100.0
80.9217992967,100.0,80.0782007033,100.0
81.9217992967,100.0,81.0782007033,100.0
82.9217992967,100.0,82.0782007033,100.0
83.9217992967,100.0,83.0782007033,100.0
84.9217992967,100.0,84.0782007033,100.0
85.9217992967,100.0,85.0782007033,100.0
86.9217992967,100.0,86.0782007033,100.0
87.9217992967,100.0,87.0782007033,100.0
88.9217992967,100.0,88.0782007033,100.0
89.9217992967,100.0,89.0782007033,100.0
90.9217992967,100.0,90.0782007033,100.0
91.9217992967,100.0,91.0782007033,100.0
92.9217992967,100.0,92.0782007033,100.0
93.9217992967,100.0,93.0782007033,100.0
94.9217992967,100.0,94.0782007033,100.0
95.9217992967,100.0,95.0782007033,100.0
96.9217992967,100.0,96.0782007033,100.0
97.9217992967,100.0,97.0782007033,100.0
98.9217992967,100.0,98.0782007033,100.0
99.9217992967,100.0,99.0782007033,100.0
100,100,100,100
