votesR,seatsR,votesD,seatsD
0,0,0,0
0.213144892566,0.0,0.786855107434,0.0
1.21314489257,0.0,1.78685510743,0.0
2.21314489257,0.0,2.78685510743,0.0
3.21314489257,0.0,3.78685510743,0.0
4.21314489257,0.0,4.78685510743,0.0
5.21314489257,0.0,5.78685510743,0.0
6.21314489257,0.0,6.78685510743,0.0
7.21314489257,0.0,7.78685510743,0.0
8.21314489257,0.0,8.78685510743,0.0
9.21314489257,0.0,9.78685510743,0.0
10.2131448926,0.0,10.7868551074,0.0
11.2131448926,0.0,11.7868551074,0.0
12.2131448926,0.0,12.7868551074,0.0
13.2131448926,0.0,13.7868551074,0.0
14.2131448926,0.0,14.7868551074,0.0
15.2131448926,0.0,15.7868551074,0.0
16.2131448926,0.0,16.7868551074,0.0
17.2131448926,0.0,17.7868551074,0.0
18.2131448926,0.0,18.7868551074,0.0
19.2131448926,0.0,19.7868551074,0.0
20.2131448926,0.0,20.7868551074,0.0
21.2131448926,0.0,21.7868551074,0.0
22.2131448926,0.0,22.7868551074,0.0
23.2131448926,0.0,23.7868551074,0.0
24.2131448926,0.0,24.7868551074,0.0
25.2131448926,0.0,25.7868551074,0.0
26.2131448926,0.0,26.7868551074,0.0
27.2131448926,0.0,27.7868551074,0.0
28.2131448926,0.0,28.7868551074,0.0
29.2131448926,0.0,29.7868551074,0.0
30.2131448926,0.0,30.7868551074,0.0
31.2131448926,0.0,31.7868551074,0.0
32.2131448926,0.0,32.7868551074,0.0
33.2131448926,0.0,33.7868551074,0.0
34.2131448926,0.0,34.7868551074,0.0
35.2131448926,0.0,35.7868551074,0.0
36.2131448926,0.0,37.7868551074,0.0
37.2131448926,0.0,38.7868551074,0.0
38.2131448926,0.0,39.7868551074,0.0
39.2131448926,0.0,40.7868551074,0.0
40.2131448926,0.0,41.7868551074,0.0
41.2131448926,0.0,42.7868551074,0.0
42.2131448926,0.0,43.7868551074,0.0
43.2131448926,0.0,44.7868551074,8.75
44.2131448926,0.0,45.7868551074,15.75
45.2131448926,0.0,46.7868551074,25.35
46.2131448926,0.0,47.7868551074,33.35
47.2131448926,8.65,48.7868551074,48.7
48.2131448926,15.85,49.7868551074,66.45
49.2131448926,24.7,50.7868551074,75.3
50.2131448926,33.55,51.7868551074,84.15
51.2131448926,51.3,52.7868551074,91.35
52.2131448926,66.65,53.7868551074,100.0
53.2131448926,74.65,54.7868551074,100.0
54.2131448926,84.25,55.7868551074,100.0
55.2131448926,91.25,56.7868551074,100.0
56.2131448926,100.0,57.7868551074,100.0
57.2131448926,100.0,58.7868551074,100.0
58.2131448926,100.0,59.7868551074,100.0
59.2131448926,100.0,60.7868551074,100.0
60.2131448926,100.0,61.7868551074,100.0
61.2131448926,100.0,62.7868551074,100.0
62.2131448926,100.0,63.7868551074,100.0
64.2131448926,100.0,64.7868551074,100.0
65.2131448926,100.0,65.7868551074,100.0
66.2131448926,100.0,66.7868551074,100.0
67.2131448926,100.0,67.7868551074,100.0
68.2131448926,100.0,68.7868551074,100.0
69.2131448926,100.0,69.7868551074,100.0
70.2131448926,100.0,70.7868551074,100.0
71.2131448926,100.0,71.7868551074,100.0
72.2131448926,100.0,72.7868551074,100.0
73.2131448926,100.0,73.7868551074,100.0
74.2131448926,100.0,74.7868551074,100.0
75.2131448926,100.0,75.7868551074,100.0
76.2131448926,100.0,76.7868551074,100.0
77.2131448926,100.0,77.7868551074,100.0
78.2131448926,100.0,78.7868551074,100.0
79.2131448926,100.0,79.7868551074,100.0
80.2131448926,100.0,80.7868551074,100.0
81.2131448926,100.0,81.7868551074,100.0
82.2131448926,100.0,82.7868551074,100.0
83.2131448926,100.0,83.7868551074,100.0
84.2131448926,100.0,84.7868551074,100.0
85.2131448926,100.0,85.7868551074,100.0
86.2131448926,100.0,86.7868551074,100.0
87.2131448926,100.0,87.7868551074,100.0
88.2131448926,100.0,88.7868551074,100.0
89.2131448926,100.0,89.7868551074,100.0
90.2131448926,100.0,90.7868551074,100.0
91.2131448926,100.0,91.7868551074,100.0
92.2131448926,100.0,92.7868551074,100.0
93.2131448926,100.0,93.7868551074,100.0
94.2131448926,100.0,94.7868551074,100.0
95.2131448926,100.0,95.7868551074,100.0
96.2131448926,100.0,96.7868551074,100.0
97.2131448926,100.0,97.7868551074,100.0
98.2131448926,100.0,98.7868551074,100.0
99.2131448926,100.0,99.7868551074,100.0
100,100,100,100
